OBS#,CHK_ACCT,duration,history,new_car,used_car,furniture,radio/tv,education,retraining,amount,SAV_ACCT,employment,install_rate,MALE_DIV,male_single,MALE_MAR_or_WID,CO-APPLICANT,guarantor,present_resident,real_estate,PROP_UNKN_NONE,age,other_install,rent,OWN_RES,num_credits,job,num_dependents,telephone,foreign,response
35,2,12,2,0,0,1,0,0,0,1474,0,1,4,0,0,0,0,0,1,0,0,33,1,0,1,1,3,1,1,0,1
36,1,45,4,0,0,0,1,0,0,4746,0,1,4,0,1,0,0,0,2,0,0,25,0,0,1,2,1,1,0,0,0
37,3,48,4,0,0,0,0,1,0,6110,0,2,1,0,1,0,0,0,3,0,1,31,1,0,0,1,2,1,1,0,1
38,2,18,2,0,0,0,1,0,0,2100,0,2,4,0,1,0,1,0,2,1,0,37,1,0,1,1,2,1,0,0,0
39,2,10,2,0,0,0,0,0,0,1225,0,2,2,0,1,0,0,0,2,0,0,37,0,0,1,1,2,1,1,0,1
40,1,9,2,0,0,0,1,0,0,458,0,2,4,0,1,0,0,0,3,1,0,24,0,0,1,1,2,1,0,0,1
41,3,30,2,0,0,0,1,0,0,2333,2,4,4,0,1,0,0,0,2,0,0,30,1,0,1,1,3,1,0,0,1
42,1,12,2,0,0,0,1,0,0,1158,2,2,3,1,0,0,0,0,1,0,0,26,0,0,1,1,2,1,1,0,1
43,1,18,3,0,0,0,0,0,0,6204,0,2,2,0,1,0,0,0,4,1,0,44,0,0,1,1,1,2,1,0,1
44,0,30,4,0,1,0,0,0,0,6187,1,3,1,0,0,1,0,0,4,0,0,24,0,1,0,2,2,1,0,0,1
45,0,48,4,0,1,0,0,0,0,6143,0,4,4,0,0,0,0,0,4,0,1,58,1,0,0,2,1,1,0,0,0
46,3,11,4,1,0,0,0,0,0,1393,0,1,4,0,0,0,0,0,4,0,0,35,0,0,1,2,3,1,0,0,1
47,3,36,2,0,0,0,1,0,0,2299,2,4,4,0,1,0,0,0,4,0,0,39,0,0,1,1,2,1,0,0,1
48,0,6,2,0,1,0,0,0,0,1352,2,0,1,0,0,0,0,0,2,0,0,23,0,1,0,1,0,1,1,0,1
49,3,11,4,1,0,0,0,0,0,7228,0,2,1,0,1,0,0,0,4,0,0,39,0,0,1,2,1,1,0,0,1
50,3,12,2,0,0,0,1,0,0,2073,1,2,4,0,0,0,1,0,2,1,0,28,0,0,1,1,2,1,0,0,1
51,1,24,3,0,0,1,0,0,0,2333,4,1,4,0,1,0,0,0,2,0,0,29,1,0,1,1,1,1,0,0,1
52,1,27,3,0,1,0,0,0,0,5965,0,4,1,0,1,0,0,0,2,0,0,30,0,0,1,2,3,1,1,0,1
53,3,12,2,0,0,0,1,0,0,1262,0,2,3,0,1,0,0,0,2,0,0,25,0,0,1,1,2,1,0,0,1
54,3,18,2,0,1,0,0,0,0,3378,4,2,2,0,1,0,0,0,1,0,0,31,0,0,1,1,2,1,1,0,1
55,1,36,3,1,0,0,0,0,0,2225,0,4,4,0,1,0,0,0,4,0,1,57,1,0,0,2,2,1,1,0,0
56,3,6,1,1,0,0,0,0,0,783,4,2,1,0,1,0,0,1,2,1,0,26,1,0,1,1,1,2,0,0,1
57,1,12,2,0,0,0,1,0,0,6468,4,0,2,0,1,0,0,0,1,0,1,52,0,0,1,1,3,1,1,0,0
58,3,36,4,0,0,0,1,0,0,9566,0,2,2,0,0,0,0,0,2,0,0,31,1,0,1,2,2,1,0,0,1
59,2,18,2,1,0,0,0,0,0,1961,0,4,3,0,0,0,0,0,2,0,0,23,0,0,1,1,3,1,0,0,1
60,0,36,4,0,0,1,0,0,0,6229,0,1,4,0,0,0,1,0,4,0,1,23,0,1,0,2,1,1,1,0,0
61,1,9,2,0,0,0,0,0,1,1391,0,2,2,0,0,1,0,0,1,1,0,27,1,0,1,1,2,1,1,0,1
62,1,15,4,0,0,0,1,0,0,1537,4,4,4,0,1,0,0,1,4,1,0,50,0,0,1,2,2,1,1,0,1
63,1,36,0,0,0,0,0,0,1,1953,0,4,4,0,1,0,0,0,4,0,1,61,0,0,0,1,3,1,1,0,0
64,1,48,0,0,0,0,0,0,1,14421,0,2,2,0,1,0,0,0,2,0,0,25,0,0,1,1,2,1,1,0,0
65,3,24,2,0,0,0,1,0,0,3181,0,1,4,0,0,0,0,0,4,0,0,26,0,0,1,1,2,1,1,0,1
66,3,27,2,0,0,0,0,0,0,5190,4,4,4,0,1,0,0,0,4,0,0,48,0,0,1,4,2,2,1,0,1
67,3,12,2,0,0,0,1,0,0,2171,0,1,2,0,0,0,0,0,2,0,0,29,1,0,1,1,2,1,0,0,1
68,1,12,2,1,0,0,0,0,0,1007,3,2,4,0,0,1,0,0,1,1,0,22,0,0,1,1,2,1,0,0,1
69,3,36,2,0,0,0,0,1,0,1819,0,2,4,0,1,0,0,0,4,0,1,37,1,0,0,1,2,1,1,0,0
70,3,36,2,0,0,0,1,0,0,2394,4,2,4,0,0,0,0,0,4,0,0,25,0,0,1,1,2,1,0,0,1
71,3,36,2,0,1,0,0,0,0,8133,0,2,1,0,0,0,0,0,2,0,0,30,1,0,1,1,2,1,0,0,1
72,3,7,4,0,0,0,1,0,0,730,4,4,4,0,1,0,0,0,2,0,0,46,0,1,0,2,1,1,1,0,1
73,0,8,4,0,0,0,0,0,0,1164,0,4,3,0,1,0,0,0,4,0,1,51,1,0,0,2,3,2,1,0,1
74,1,42,4,0,0,0,0,0,1,5954,0,3,2,0,0,0,0,0,1,1,0,41,1,0,1,2,1,1,0,0,1
75,0,36,2,0,0,0,0,1,0,1977,4,4,4,0,1,0,0,0,4,0,1,40,0,0,1,1,3,1,1,0,0
76,0,12,4,0,1,0,0,0,0,1526,0,4,4,0,1,0,0,0,4,0,1,66,0,0,0,2,3,1,0,0,1
77,0,42,2,0,0,0,1,0,0,3965,0,1,4,0,1,0,0,0,3,0,0,34,0,0,1,1,2,1,0,0,0
78,1,11,3,0,0,0,1,0,0,4771,0,3,2,0,1,0,0,0,4,0,0,51,0,0,1,1,2,1,0,0,1
79,3,54,0,0,1,0,0,0,0,9436,4,2,2,0,1,0,0,0,2,0,0,39,0,0,1,1,1,2,0,0,1
80,1,30,2,0,0,1,0,0,0,3832,0,1,2,0,0,1,0,0,1,0,0,22,0,0,1,1,2,1,0,0,1
81,3,24,2,0,0,0,1,0,0,5943,4,1,1,0,0,0,0,0,1,0,0,44,0,0,1,2,2,1,1,0,0
82,3,15,2,0,0,0,1,0,0,1213,2,4,4,0,1,0,0,0,3,0,0,47,1,0,1,1,2,1,1,0,1
83,3,18,2,0,0,0,0,0,1,1568,1,2,3,0,0,0,0,0,4,0,0,24,0,1,0,1,1,1,0,0,1
84,0,24,2,0,0,0,0,0,0,1755,0,4,4,0,0,0,0,1,4,1,0,58,0,0,1,1,1,1,1,0,1
85,0,10,2,0,0,0,1,0,0,2315,0,4,3,0,1,0,0,0,4,1,0,52,0,0,1,1,1,1,0,0,1
86,3,12,4,0,0,0,0,0,1,1412,0,2,4,0,0,0,0,1,2,1,0,29,0,0,1,2,3,1,1,0,1
87,1,18,4,0,0,1,0,0,0,1295,0,1,4,0,0,0,0,0,1,0,0,27,0,0,1,2,2,1,0,0,1
88,1,36,2,0,0,0,0,1,0,12612,1,2,1,0,1,0,0,0,4,0,1,47,0,0,0,1,2,2,1,0,0
89,0,18,2,1,0,0,0,0,0,2249,1,3,4,0,1,0,0,0,3,0,0,30,0,0,1,1,3,2,1,0,1
90,0,12,0,0,0,0,0,0,0,1108,0,3,4,0,1,0,0,0,3,1,0,28,0,0,1,2,2,1,0,0,0
91,3,12,4,0,0,0,1,0,0,618,0,4,4,0,1,0,0,0,4,1,0,56,0,0,1,1,2,1,0,0,1
92,0,12,4,0,1,0,0,0,0,1409,0,4,4,0,1,0,0,0,3,1,0,54,0,0,1,1,2,1,0,0,1
93,3,12,4,0,0,0,1,0,0,797,4,4,4,0,0,0,0,0,3,0,0,33,1,0,1,1,1,2,0,0,0
94,2,24,4,0,0,1,0,0,0,3617,4,4,4,0,1,0,1,0,4,0,1,20,0,1,0,2,2,1,0,0,1
95,1,12,2,1,0,0,0,0,0,1318,3,4,4,0,1,0,0,0,4,1,0,54,0,0,1,1,2,1,1,0,1
96,1,54,0,0,0,0,0,0,1,15945,0,1,3,0,1,0,0,0,4,0,1,58,0,1,0,1,2,1,1,0,0
97,3,12,4,0,0,0,0,1,0,2012,4,3,4,0,0,0,0,0,2,0,0,61,0,0,1,1,2,1,0,0,1
98,1,18,2,0,0,0,0,0,1,2622,1,2,4,0,1,0,0,0,4,0,0,34,0,0,1,1,2,1,0,0,1
99,1,36,4,0,0,0,1,0,0,2337,0,4,4,0,1,0,0,0,4,1,0,36,0,0,1,1,2,1,0,0,1
100,1,20,3,0,1,0,0,0,0,7057,4,3,3,0,1,0,0,0,4,0,0,36,1,1,0,2,3,2,1,0,1
101,3,24,2,1,0,0,0,0,0,1469,1,4,4,0,0,1,0,0,4,1,0,41,0,1,0,1,1,1,0,0,1
102,1,36,2,0,0,0,1,0,0,2323,0,3,4,0,1,0,0,0,4,0,0,24,0,1,0,1,2,1,0,0,1
103,3,6,3,0,0,0,1,0,0,932,0,2,3,0,0,0,0,0,2,1,0,24,0,0,1,1,2,1,0,0,1
104,1,9,4,0,0,1,0,0,0,1919,0,3,4,0,1,0,0,0,3,0,0,35,0,1,0,1,2,1,1,0,1
105,3,12,2,0,1,0,0,0,0,2445,4,1,2,0,0,1,0,0,4,0,0,26,0,1,0,1,2,1,1,0,1
106,1,24,4,0,0,0,0,0,0,11938,0,2,2,0,1,0,1,0,3,0,0,39,0,0,1,2,3,2,1,0,0
107,3,18,1,1,0,0,0,0,0,6458,0,4,2,0,1,0,0,0,4,0,1,39,1,0,1,2,3,2,1,0,0
108,1,12,2,1,0,0,0,0,0,6078,0,3,2,0,1,0,0,0,2,0,0,32,0,0,1,1,2,1,0,0,1
109,0,24,2,0,0,1,0,0,0,7721,4,1,1,0,0,0,0,0,2,0,0,30,0,0,1,1,2,1,1,1,1
110,1,14,2,0,0,0,0,0,1,1410,2,4,1,0,0,1,0,0,2,1,0,35,0,0,1,1,2,1,1,0,1
111,1,6,3,0,0,0,0,0,1,1449,1,4,1,1,0,0,0,0,2,0,0,31,1,0,1,2,2,2,0,0,1
112,2,15,2,0,0,0,0,1,0,392,0,1,4,0,0,0,0,0,4,0,0,23,0,1,0,1,2,1,1,0,1
113,1,18,2,1,0,0,0,0,0,6260,0,3,3,0,1,0,0,0,3,1,0,28,0,1,0,1,1,1,0,0,1
114,3,36,4,1,0,0,0,0,0,7855,0,2,4,0,0,0,0,0,2,1,0,25,1,0,1,2,2,1,1,0,0
115,0,12,2,0,0,0,1,0,0,1680,2,4,3,0,0,1,0,0,1,1,0,35,0,0,1,1,2,1,0,0,1
116,3,48,4,0,0,0,1,0,0,3578,4,4,4,0,1,0,0,0,1,1,0,47,0,0,1,1,2,1,1,0,1
117,0,42,2,0,0,0,1,0,0,7174,4,3,4,0,0,0,0,0,3,0,0,30,0,0,1,1,3,1,1,0,0
118,0,10,4,0,0,1,0,0,0,2132,4,1,2,0,0,0,1,0,3,1,0,27,0,1,0,2,2,1,0,1,1
119,0,33,4,0,0,1,0,0,0,4281,2,2,1,0,0,0,0,0,4,0,0,23,0,0,1,2,2,1,0,0,0
120,1,12,4,1,0,0,0,0,0,2366,2,3,3,1,0,0,0,0,3,0,0,36,0,0,1,1,3,1,1,0,1
121,0,21,2,0,0,0,1,0,0,1835,0,2,3,0,0,0,0,0,2,1,0,25,0,0,1,2,2,1,1,0,0
122,3,24,4,0,1,0,0,0,0,3868,0,4,4,0,0,0,0,0,2,0,0,41,0,1,0,2,3,1,1,0,1
123,3,12,2,0,0,1,0,0,0,1768,0,2,3,0,1,0,0,0,2,1,0,24,0,1,0,1,1,1,0,0,1
124,2,10,4,1,0,0,0,0,0,781,0,4,4,0,1,0,0,0,4,0,1,63,0,0,0,2,2,1,1,0,1
125,1,18,2,0,0,1,0,0,0,1924,4,1,4,0,0,0,0,0,3,1,0,27,0,1,0,1,2,1,0,0,0
126,0,12,4,1,0,0,0,0,0,2121,0,2,4,0,1,0,0,0,2,0,0,30,0,0,1,2,2,1,0,0,1
127,0,12,2,0,0,0,1,0,0,701,0,2,4,0,0,1,0,0,2,1,0,40,0,0,1,1,1,1,0,0,1
128,1,12,2,0,0,0,0,0,0,639,0,2,4,0,1,0,0,0,2,0,0,30,0,0,1,1,2,1,0,0,0
129,1,12,4,0,1,0,0,0,0,1860,0,0,4,0,1,0,0,0,2,0,0,34,0,0,1,2,3,1,1,0,1
130,0,12,4,1,0,0,0,0,0,3499,0,2,3,0,0,0,1,0,2,1,0,29,0,0,1,2,2,1,0,0,0
131,1,48,2,1,0,0,0,0,0,8487,4,3,1,0,0,0,0,0,2,0,0,24,0,0,1,1,2,1,0,0,1
132,0,36,3,0,0,0,0,1,0,6887,0,2,4,0,1,0,0,0,3,0,0,29,1,0,1,1,2,1,1,0,0
133,3,15,2,0,0,1,0,0,0,2708,0,1,2,0,1,0,0,0,3,0,0,27,1,0,1,2,1,1,0,0,1
134,3,18,2,0,0,1,0,0,0,1984,0,2,4,0,1,0,0,0,4,0,1,47,1,0,0,2,2,1,0,0,1
135,3,60,2,0,0,0,1,0,0,10144,1,3,2,0,0,0,0,0,4,1,0,21,0,0,1,1,2,1,1,0,1
136,3,12,4,0,0,0,1,0,0,1240,4,4,4,0,0,0,0,0,2,1,0,38,0,0,1,2,2,1,1,0,1
137,3,27,3,0,1,0,0,0,0,8613,3,2,2,0,1,0,0,0,2,0,0,27,0,0,1,2,2,1,0,0,1
138,1,12,2,0,0,0,1,0,0,766,2,2,4,0,1,0,0,0,3,1,0,66,0,0,1,1,1,1,0,0,0
139,1,15,4,0,0,0,1,0,0,2728,4,3,4,0,1,0,0,1,2,1,0,35,1,0,1,3,2,1,1,0,1
140,2,12,2,0,0,0,1,0,0,1881,0,2,2,0,0,0,0,0,2,0,0,44,0,1,0,1,1,1,1,0,1
141,2,6,2,1,0,0,0,0,0,709,3,1,2,0,0,1,0,0,2,1,0,27,0,0,1,1,0,1,0,1,1
142,1,36,2,0,0,0,1,0,0,4795,0,1,4,0,0,0,0,0,1,0,1,30,0,0,1,1,3,1,1,0,1
143,0,27,2,0,0,0,1,0,0,3416,0,2,3,0,1,0,0,0,2,0,0,27,0,0,1,1,3,1,0,0,1
144,0,18,2,0,0,1,0,0,0,2462,0,2,2,0,1,0,0,0,2,0,0,22,0,0,1,1,2,1,0,0,0
145,3,21,4,0,0,1,0,0,0,2288,0,1,4,0,0,0,0,0,4,0,0,23,0,0,1,1,2,1,1,0,1
146,1,48,1,0,0,0,0,0,1,3566,1,3,4,0,1,0,0,0,2,0,0,30,0,0,1,1,2,1,0,0,1
147,0,6,4,1,0,0,0,0,0,860,0,4,1,0,0,0,0,0,4,0,1,39,0,0,1,2,2,1,1,0,1
148,3,12,4,1,0,0,0,0,0,682,1,3,4,0,0,0,0,0,3,0,0,51,0,0,1,2,2,1,1,0,1
149,0,36,4,0,0,1,0,0,0,5371,0,2,3,0,1,0,0,1,2,0,0,28,0,0,1,2,2,1,0,0,1
150,3,18,4,0,0,0,1,0,0,1582,3,4,4,0,1,0,0,0,4,0,0,46,0,0,1,2,2,1,0,0,1
151,3,6,2,0,0,0,1,0,0,1346,1,4,2,0,1,0,0,0,4,0,1,42,1,0,0,1,2,2,1,0,1
152,3,10,2,0,0,0,1,0,0,1924,0,2,1,0,1,0,0,0,4,0,0,38,0,0,1,1,2,1,1,1,1
153,2,36,2,0,0,0,1,0,0,5848,0,2,4,0,1,0,0,0,1,0,0,24,0,0,1,1,2,1,0,0,1
154,1,24,4,0,1,0,0,0,0,7758,3,4,2,0,0,0,0,0,4,0,1,29,0,1,0,1,2,1,0,0,1
155,1,24,3,0,0,0,0,0,1,6967,1,3,4,0,1,0,0,0,4,0,0,36,0,1,0,1,3,1,1,0,1
156,0,12,2,0,0,1,0,0,0,1282,0,2,2,0,0,0,0,0,4,0,0,20,0,1,0,1,2,1,0,0,0
157,0,9,4,0,0,0,0,0,0,1288,1,4,3,0,1,0,0,1,4,1,0,48,0,0,1,2,2,2,0,1,1
158,0,12,1,0,0,0,0,0,0,339,0,4,4,0,0,1,0,0,1,0,0,45,1,0,1,1,1,1,0,0,1
159,1,24,2,1,0,0,0,0,0,3512,1,3,2,0,1,0,0,0,3,0,0,38,1,0,1,2,2,1,1,0,1
160,3,6,4,0,0,0,1,0,0,1898,4,2,1,0,1,0,0,0,2,1,0,34,0,0,1,2,1,2,0,0,1
161,3,24,4,0,0,0,1,0,0,2872,1,4,3,0,1,0,0,0,4,1,0,36,0,0,1,1,2,2,1,0,1
162,3,18,4,1,0,0,0,0,0,1055,0,1,4,0,0,0,0,0,1,0,0,30,0,0,1,2,2,1,0,0,1
163,3,15,2,0,0,0,0,0,0,1262,2,3,4,0,1,0,0,0,3,0,0,36,0,0,1,2,2,1,1,0,1
164,1,10,2,1,0,0,0,0,0,7308,0,0,2,0,1,0,0,0,4,0,1,70,1,0,0,1,3,1,1,0,1
165,3,36,2,1,0,0,0,0,0,909,2,4,4,0,1,0,0,0,4,0,0,36,0,0,1,1,2,1,0,0,1
166,3,6,2,0,0,1,0,0,0,2978,2,2,1,0,1,0,0,0,2,0,0,32,0,0,1,1,2,1,1,0,1
167,0,18,2,0,0,1,0,0,0,1131,0,0,4,0,0,0,0,0,2,0,0,33,0,0,1,1,2,1,0,0,0
168,1,11,2,0,0,1,0,0,0,1577,3,1,4,0,0,0,0,0,1,1,0,20,0,0,1,1,2,1,0,0,1
169,3,24,2,0,0,1,0,0,0,3972,0,3,2,0,0,0,0,0,4,0,0,25,0,1,0,1,2,1,1,0,1
170,1,24,4,0,0,0,0,0,1,1935,0,4,4,1,0,0,0,0,4,1,0,31,0,0,1,2,2,1,1,0,0
171,0,15,0,1,0,0,0,0,0,950,0,4,4,0,1,0,0,0,3,0,0,33,0,1,0,2,2,2,0,0,0
172,3,12,2,0,0,1,0,0,0,763,0,2,4,0,0,0,0,0,1,1,0,26,0,0,1,1,2,1,1,0,1
173,1,24,3,0,0,1,0,0,0,2064,0,0,3,0,0,0,0,0,2,0,0,34,0,0,1,1,3,1,1,0,0
174,1,8,2,0,0,0,1,0,0,1414,0,2,4,0,1,0,0,1,2,1,0,33,0,0,1,1,2,1,0,1,1
175,0,21,3,0,0,0,0,1,0,3414,0,1,2,0,1,0,0,0,1,0,0,26,0,0,1,2,2,1,0,0,0
176,3,30,1,0,1,0,0,0,0,7485,4,0,4,0,0,0,0,0,1,1,0,53,1,0,1,1,3,1,1,0,0
177,0,12,2,0,0,1,0,0,0,2577,0,2,2,1,0,0,0,0,1,0,0,42,0,0,1,1,2,1,0,0,1
178,0,6,4,0,0,0,1,0,0,338,2,4,4,0,1,0,0,0,4,0,0,52,0,0,1,2,2,1,0,0,1
179,3,12,2,0,0,0,1,0,0,1963,0,3,4,0,1,0,0,0,2,0,0,31,0,1,0,2,3,2,1,0,1
180,0,21,4,1,0,0,0,0,0,571,0,4,4,0,1,0,0,0,4,1,0,65,0,0,1,2,2,1,0,0,1
181,3,36,3,0,0,0,0,0,1,9572,0,1,1,1,0,0,0,0,1,0,0,28,0,0,1,2,2,1,0,0,0
182,1,36,3,0,0,0,0,0,1,4455,0,2,2,1,0,0,0,0,2,1,0,30,1,0,1,2,3,1,1,0,0
183,0,21,1,1,0,0,0,0,0,1647,4,2,4,0,1,0,0,0,2,0,0,40,0,0,1,2,1,2,0,0,0
184,3,24,4,0,0,1,0,0,0,3777,3,2,4,0,1,0,0,0,4,1,0,50,0,0,1,1,2,1,1,0,1
185,1,18,4,1,0,0,0,0,0,884,0,4,4,0,1,0,0,0,4,0,0,36,1,0,1,1,2,2,1,0,0
186,3,15,4,0,0,0,1,0,0,1360,0,2,4,0,1,0,0,0,2,0,0,31,0,0,1,2,2,1,0,0,1
187,1,9,1,0,1,0,0,0,0,5129,0,4,2,0,0,0,0,0,4,0,1,74,1,0,0,1,3,2,1,0,0
188,1,16,4,1,0,0,0,0,0,1175,0,0,2,0,1,0,0,0,3,0,0,68,0,0,0,3,0,1,1,0,1
189,0,12,2,0,0,0,1,0,0,674,1,3,4,0,0,1,0,0,1,0,0,20,0,0,1,1,2,1,0,0,0
190,1,18,0,0,0,1,0,0,0,3244,0,2,1,0,0,0,0,0,4,0,0,33,1,0,1,2,2,1,1,0,1
191,3,24,2,0,0,0,0,0,1,4591,3,2,2,0,1,0,0,0,3,0,0,54,0,0,1,3,3,1,1,0,0
192,1,48,0,0,0,0,0,0,1,3844,1,3,4,0,1,0,0,0,4,0,1,34,0,0,0,1,1,2,0,0,0
193,1,27,2,0,0,0,0,0,1,3915,0,2,4,0,1,0,0,0,2,0,0,36,0,0,1,1,2,2,1,0,0
194,3,6,2,0,0,0,1,0,0,2108,0,3,2,0,0,1,0,0,2,1,0,29,0,1,0,1,2,1,0,0,1
195,1,45,2,0,0,0,1,0,0,3031,1,2,4,0,1,0,0,1,4,0,0,21,0,1,0,1,2,1,0,0,0
196,1,9,4,0,0,0,0,1,0,1501,0,4,2,0,0,0,0,0,3,0,0,34,0,0,1,2,3,1,1,0,0
197,3,6,4,0,0,0,1,0,0,1382,0,2,1,0,0,0,0,0,1,0,0,28,0,0,1,2,2,1,1,0,1
198,1,12,2,0,0,1,0,0,0,951,1,1,4,0,0,0,0,0,4,0,0,27,1,1,0,4,2,1,0,0,0
199,1,24,2,0,1,0,0,0,0,2760,4,4,4,0,1,0,0,0,4,0,1,36,1,0,0,1,2,1,1,0,1
200,1,18,3,0,0,1,0,0,0,4297,0,4,4,1,0,0,0,0,3,0,1,40,0,0,1,1,3,1,1,0,0
201,3,9,4,0,0,0,0,1,0,936,2,4,4,0,1,0,0,0,2,0,0,52,0,0,1,2,2,1,1,0,1
202,0,12,2,1,0,0,0,0,0,1168,0,2,4,0,0,1,0,0,3,1,0,27,0,0,1,1,1,1,0,0,1
203,3,27,3,0,0,0,0,0,1,5117,0,3,3,0,1,0,0,0,4,0,0,26,0,0,1,2,2,1,0,0,1
204,0,12,2,0,0,0,0,0,0,902,0,3,4,0,0,1,0,0,4,0,0,21,0,1,0,1,2,1,0,0,0
205,3,12,4,1,0,0,0,0,0,1495,0,4,4,0,1,0,0,0,1,1,0,38,0,0,1,2,1,2,0,0,1
206,0,30,4,0,1,0,0,0,0,10623,0,4,3,0,1,0,0,0,4,0,1,38,0,0,0,3,3,2,1,0,1
207,3,12,4,0,0,1,0,0,0,1935,0,4,4,0,1,0,0,0,4,1,0,43,0,0,1,3,2,1,1,0,1
208,1,12,4,0,0,0,0,0,0,1424,0,3,4,0,1,0,0,0,3,0,0,26,0,0,1,1,2,1,0,0,1
209,0,24,2,0,0,0,0,0,1,6568,0,2,2,0,0,1,0,0,2,0,0,21,1,0,1,1,1,1,0,0,1
210,3,12,2,0,1,0,0,0,0,1413,3,3,3,0,1,0,0,0,2,0,0,55,0,0,1,1,2,1,0,1,1
