NO,D,YR,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24
19,0,73,0.15,0.02,0.06,0.09,0.03,0.07,0.11,4.53,1.48,0.23,0.57,0.59,0.0,0.0,0.0,0.02,0.05,0.07,33.85,2.48,1.53,0.02,0.05,0.08
20,0,75,0.07,0.02,0.04,0.05,0.01,0.02,0.02,2.82,1.6,0.6,0.88,0.74,0.0,0.01,0.01,0.03,0.05,0.07,3.09,1.48,1.35,0.04,0.06,0.08
21,0,73,0.32,0.07,0.11,0.25,-0.06,-0.1,-0.22,4.46,1.42,0.3,0.49,0.79,0.01,0.01,0.03,0.01,0.01,0.02,16.19,1.64,2.27,0.01,0.01,0.02
22,0,74,0.07,0.01,0.03,0.04,0.01,0.02,0.03,8.7,1.11,0.11,0.42,0.5,0.0,0.0,0.0,0.02,0.07,0.09,100.61,3.92,1.34,0.02,0.07,0.09
23,0,82,0.24,0.1,0.07,0.1,0.03,0.02,0.04,5.62,1.5,0.61,0.43,0.44,0.08,0.06,0.09,0.23,0.16,0.25,2.67,0.7,1.54,0.22,0.15,0.24
24,0,73,0.11,0.09,0.03,0.03,0.2,0.06,0.07,3.3,0.84,0.69,0.21,0.29,0.03,0.01,0.01,0.14,0.04,0.05,2.42,0.31,1.14,0.16,0.05,0.06
25,0,70,0.0,0.0,0.0,0.0,-0.03,-0.04,-0.03,6.89,0.65,0.48,0.8,0.82,-0.28,-0.46,-0.31,-0.26,-0.43,-0.29,2.95,1.67,0.67,-0.26,-0.43,-0.29
26,0,70,0.02,0.01,0.01,0.01,-0.01,-0.02,-0.02,2.66,1.08,0.45,0.6,0.63,-0.31,-0.41,-0.47,-0.3,-0.4,-0.45,7.69,1.32,1.14,-0.29,-0.38,-0.44
27,0,70,0.04,0.02,0.02,0.03,0.01,0.01,0.01,11.02,1.01,0.4,0.5,0.74,0.01,0.02,0.03,0.03,0.04,0.06,4.7,1.26,1.48,-0.07,-0.09,-0.14
28,0,70,0.08,0.03,0.03,0.05,0.02,0.02,0.03,2.65,1.34,0.52,0.54,0.61,0.06,0.06,0.09,0.06,0.06,0.09,5.05,1.03,1.52,0.03,0.03,0.04
29,0,70,1.14,0.37,0.28,0.31,-0.02,-0.01,-0.01,1.66,3.3,1.06,0.8,0.27,0.01,0.01,0.01,0.03,0.02,0.02,3.28,0.75,1.11,0.03,0.02,0.03
30,0,70,0.03,0.01,0.02,0.02,-0.01,-0.03,-0.04,2.8,1.37,0.4,0.97,0.97,-0.02,-0.06,-0.08,-0.02,-0.05,-0.07,9.11,2.4,1.38,-0.02,-0.05,-0.07
31,0,70,0.55,0.04,0.07,0.16,0.05,0.1,0.23,4.64,2.38,0.16,0.31,0.29,0.0,0.01,0.02,0.05,0.09,0.2,9.08,1.99,2.26,0.05,0.09,0.2
32,0,70,0.25,0.04,0.04,0.05,0.04,0.04,0.06,34.93,0.96,0.14,0.15,0.22,0.06,0.07,0.1,0.06,0.07,0.09,17.69,1.08,1.42,0.06,0.06,0.09
33,0,70,0.07,0.04,0.05,0.06,0.04,0.05,0.06,2.68,1.19,0.66,0.84,0.96,-0.18,-0.23,-0.31,-0.16,-0.21,-0.28,4.35,1.28,1.36,-0.16,-0.21,-0.28
34,0,70,0.07,0.04,0.03,0.04,-0.01,-0.01,-0.02,2.09,1.53,0.81,0.64,0.62,0.02,0.01,0.02,0.05,0.04,0.05,2.49,0.79,1.49,0.04,0.03,0.04
35,0,71,0.06,0.01,0.03,0.05,0.03,0.09,0.14,2.97,1.45,0.26,0.76,0.8,-0.03,-0.09,-0.14,-0.01,-0.03,-0.04,37.85,2.94,1.53,-0.01,-0.03,-0.04
36,0,71,0.06,0.02,0.02,0.03,0.01,0.02,0.03,3.45,1.56,0.47,0.61,0.55,-0.01,-0.01,-0.02,0.02,0.02,0.03,5.11,1.3,1.41,0.03,0.03,0.05
37,0,71,0.03,0.01,0.02,0.03,0.14,0.2,0.3,0.38,1.31,0.47,0.71,0.81,-0.02,-0.03,-0.04,0.06,0.1,0.14,3.56,1.51,1.48,0.06,0.1,0.14
38,0,72,0.06,0.02,0.03,0.04,0.13,0.16,0.21,2.54,1.56,0.67,0.8,0.69,-0.08,-0.1,-0.13,0.05,0.05,0.07,3.27,1.2,1.35,0.04,0.04,0.06
39,0,72,0.08,0.01,0.02,0.03,0.02,0.03,0.04,8.45,1.02,0.16,0.29,0.35,-0.04,-0.06,-0.08,-0.01,-0.01,-0.02,20.02,1.75,1.23,-0.01,-0.02,-0.02
40,0,73,0.21,0.03,0.06,0.08,0.01,0.01,0.02,2.0,2.05,0.29,0.54,0.36,-0.05,-0.1,-0.14,-0.01,-0.02,-0.03,6.47,1.85,1.37,0.0,0.0,0.0
41,0,73,0.07,0.02,0.03,0.04,0.03,0.06,0.08,3.65,1.58,0.4,0.8,0.64,-0.02,-0.05,-0.06,-0.02,-0.04,-0.05,6.96,2.01,1.25,-0.02,-0.04,-0.05
42,0,73,0.03,0.01,0.02,0.03,0.1,0.13,0.27,36.74,1.16,0.43,0.55,0.96,-0.1,-0.13,-0.26,-0.02,-0.02,-0.04,3.0,1.29,2.01,-0.03,-0.04,-0.07
43,0,73,0.03,0.01,0.01,0.02,-0.04,-0.07,-0.1,6.88,1.1,0.36,0.57,0.76,-0.02,-0.03,-0.04,0.0,0.0,0.0,5.47,1.6,1.46,0.0,0.0,0.0
44,0,73,0.04,0.02,0.01,0.01,-1.4,-0.42,-0.3,0.35,0.27,0.19,0.06,0.14,-2.1,-0.63,-0.45,-0.59,-0.18,-0.12,6.23,0.3,0.71,-1.49,-0.45,-0.32
45,0,73,0.26,0.06,0.14,0.26,0.07,0.15,0.27,3.39,1.45,0.35,0.77,0.97,0.03,0.07,0.13,0.04,0.09,0.17,17.54,2.21,1.83,0.04,0.09,0.17
46,0,73,0.07,0.01,0.03,0.06,0.02,0.06,0.11,2.96,1.6,0.25,0.75,0.82,-0.02,-0.04,-0.08,0.0,0.01,0.02,48.93,2.95,1.74,0.0,0.01,0.02
47,0,74,0.17,0.02,0.06,0.08,0.02,0.04,0.05,14.62,1.43,0.2,0.53,0.48,0.01,0.02,0.03,0.01,0.04,0.05,9.26,2.66,1.29,0.01,0.03,0.04
48,0,74,0.29,0.04,0.1,0.14,0.02,0.04,0.06,4.51,1.88,0.26,0.62,0.48,0.0,0.01,0.02,0.02,0.04,0.06,93.23,2.41,1.45,0.01,0.03,0.05
49,0,74,0.15,1.0,0.06,0.08,0.26,0.01,0.02,4.54,1.48,10.18,0.57,0.59,0.04,0.0,0.0,0.43,0.02,0.04,0.76,0.06,1.53,0.5,0.03,0.04
50,0,74,0.09,0.03,0.04,0.06,-0.06,-0.09,-0.13,3.55,1.58,0.47,0.66,0.61,-0.02,-0.02,-0.03,0.0,0.01,0.01,12.44,1.42,1.45,0.01,0.01,0.01
51,0,75,0.02,0.0,0.01,0.01,0.01,0.05,0.06,21.82,1.1,0.11,0.76,0.83,0.0,0.03,0.04,0.01,0.05,0.06,15.24,6.75,1.2,0.01,0.06,0.08
52,0,75,0.08,0.04,0.05,0.07,0.09,0.12,0.17,2.16,1.58,0.74,0.98,0.88,0.12,0.16,0.22,0.13,0.17,0.24,3.08,1.33,1.43,0.15,0.19,0.28
53,0,75,0.12,0.02,0.04,0.06,0.01,0.02,0.03,2.85,1.81,0.33,0.59,0.45,0.01,0.02,0.03,0.03,0.05,0.07,14.08,1.8,1.39,0.03,0.05,0.07
54,0,75,0.04,0.01,0.02,0.03,-0.05,-0.07,-0.1,3.07,1.49,0.53,0.82,0.76,0.02,0.04,0.05,0.03,0.05,0.07,4.36,1.55,1.38,0.03,0.04,0.06
55,0,75,0.05,0.04,0.03,0.04,0.03,0.02,0.03,2.91,1.36,1.09,0.78,0.84,0.01,0.01,0.01,-0.02,-0.01,-0.02,1.17,0.72,1.47,0.02,0.02,0.02
56,0,75,0.07,0.02,0.04,0.05,-0.01,-0.02,-0.02,2.85,1.6,0.6,0.88,0.74,0.0,0.01,0.01,0.01,0.02,0.02,3.09,1.48,1.35,0.02,0.02,0.03
57,0,75,0.09,0.04,0.05,0.07,-0.06,-0.08,-0.11,2.92,1.3,0.53,0.71,0.72,-0.09,-0.12,-0.16,-0.08,-0.11,-0.14,6.38,1.34,1.32,-0.1,-0.13,-0.17
58,0,75,0.05,0.01,0.02,0.03,0.35,0.49,0.68,3.0,1.74,0.44,0.62,0.49,0.34,0.47,0.65,0.36,0.5,0.68,51.53,1.41,1.37,0.36,0.5,0.69
59,0,76,0.02,0.02,0.02,0.02,0.16,0.14,0.16,8.46,0.89,0.85,0.72,0.92,0.01,0.01,0.01,0.01,0.01,0.01,1.76,0.85,1.15,0.02,0.02,0.02
60,0,76,0.1,0.02,0.02,0.02,-0.05,-0.06,-0.06,4.4,1.89,0.37,0.46,0.26,-0.18,-0.22,-0.23,-0.14,-0.17,-0.18,8.05,1.23,1.06,-0.15,-0.18,-0.19
61,0,76,0.08,0.04,0.02,0.03,0.32,0.13,0.22,5.2,0.82,0.42,0.18,0.36,0.03,0.01,0.02,0.11,0.05,0.08,6.57,0.42,1.67,0.13,0.05,0.09
62,0,77,0.1,0.02,0.02,0.04,-0.01,-0.01,-0.02,8.91,1.17,0.24,0.27,0.4,-0.06,-0.07,-0.13,-0.01,-0.01,-0.02,13.66,1.15,1.74,-0.01,-0.01,-0.02
63,0,77,0.11,0.06,0.05,0.07,0.01,0.01,0.01,2.73,1.63,0.94,0.82,0.67,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,1.8,0.87,1.35,-0.01,-0.01,-0.01
64,0,78,0.03,0.01,0.01,0.02,0.02,0.02,0.03,5.04,1.25,0.36,0.57,0.59,-0.03,-0.05,-0.06,-0.01,-0.02,-0.03,6.76,1.57,1.28,-0.01,-0.02,-0.03
65,0,78,0.15,0.01,0.07,0.08,-0.02,-0.1,-0.12,10.78,1.13,0.1,0.52,0.55,-0.01,-0.06,-0.07,-0.01,-0.06,-0.08,97.63,4.98,1.2,-0.01,-0.06,-0.08
66,0,78,0.19,0.04,0.12,0.18,0.03,0.1,0.15,113.54,1.36,0.29,0.89,0.97,0.02,0.07,0.1,0.03,0.08,0.12,4.84,3.06,1.48,0.03,0.09,0.14
67,1,78,4.92,0.91,0.31,0.97,0.45,0.15,0.48,7.43,6.22,1.15,0.39,0.2,0.26,0.09,0.27,0.44,0.15,0.47,5.86,0.34,3.14,0.39,0.13,0.42
68,1,77,0.26,0.07,0.12,0.17,0.0,0.01,0.01,6.13,1.57,0.39,0.71,0.64,0.03,0.05,0.07,0.06,0.12,0.16,5.44,1.84,1.4,0.05,0.08,0.12
69,1,72,0.07,0.01,0.02,0.03,0.12,0.21,0.46,3.0,3.25,0.39,0.7,0.48,0.06,0.11,0.24,0.14,0.25,0.55,7.67,1.79,2.2,0.14,0.25,0.55
70,1,80,1.21,0.22,0.25,0.35,-0.04,-0.05,-0.06,2.52,3.35,0.6,0.7,0.29,0.06,0.07,0.1,0.12,0.14,0.19,8.44,1.17,1.39,0.07,0.08,0.11
71,1,81,0.18,0.02,0.02,0.04,0.05,0.06,0.09,6.79,2.21,0.26,0.3,0.23,0.04,0.04,0.08,0.13,0.15,0.26,10.22,1.15,1.68,0.08,0.09,0.15
72,1,70,0.13,0.03,0.04,0.09,0.13,0.19,0.42,2.79,2.01,0.44,0.65,0.7,0.05,0.07,0.15,0.12,0.18,0.38,6.06,1.47,2.16,0.13,0.19,0.41
73,1,76,0.16,0.07,0.04,0.07,0.39,0.24,0.35,11.12,0.58,0.26,0.16,0.41,0.05,0.03,0.05,0.14,0.08,0.12,9.37,0.6,1.48,0.06,0.04,0.06
74,1,77,0.37,0.05,0.07,0.14,0.03,0.04,0.08,3.6,2.49,0.37,0.48,0.37,0.06,0.08,0.16,0.14,0.18,0.36,10.03,1.31,1.93,0.1,0.13,0.25
75,1,73,0.35,0.05,0.11,0.35,0.01,0.02,0.06,3.77,2.74,0.41,0.86,1.0,0.02,0.04,0.14,0.05,0.1,0.31,8.79,2.12,3.18,0.05,0.1,0.31
76,1,71,0.08,0.03,0.03,0.07,0.06,0.08,0.16,1.86,2.0,0.67,0.84,0.85,0.07,0.08,0.17,0.17,0.21,0.43,3.72,1.25,2.01,0.17,0.21,0.43
77,1,78,0.29,0.06,0.09,0.09,-0.4,-0.6,-0.61,4.04,2.93,0.58,0.87,0.3,-0.18,-0.27,-0.28,-0.15,-0.23,-0.23,3.78,1.5,1.02,-0.18,-0.27,-0.28
78,1,75,0.78,0.07,0.19,0.78,0.01,0.02,0.08,5.74,2.62,0.23,0.66,1.0,0.0,0.01,0.03,0.05,0.13,0.52,40.7,2.86,3.99,0.02,0.05,0.19
79,1,81,0.09,0.02,0.04,0.06,0.05,0.09,0.14,4.36,1.64,0.38,0.74,0.71,0.02,0.05,0.07,0.09,0.18,0.28,5.0,1.92,1.59,0.06,0.11,0.18
80,1,78,1.45,0.18,0.24,0.45,0.09,0.13,0.23,3.63,3.98,0.5,0.67,0.31,0.03,0.04,0.08,0.12,0.16,0.29,7.8,1.36,1.85,0.07,0.09,0.17
81,1,70,0.17,0.02,0.03,0.08,0.12,0.18,0.47,2.63,3.54,0.45,0.68,0.5,0.05,0.07,0.19,0.13,0.2,0.51,6.41,1.5,2.6,0.13,0.2,0.52
82,1,74,0.32,0.06,0.05,0.06,0.14,0.1,0.13,14.41,1.35,0.26,0.19,0.18,0.03,0.02,0.03,0.18,0.13,0.17,7.8,0.75,1.28,0.16,0.12,0.15
83,1,72,0.58,0.06,0.12,0.28,0.06,0.1,0.25,4.08,3.25,0.35,0.66,0.49,0.04,0.08,0.2,0.11,0.2,0.48,8.62,1.87,2.39,0.11,0.2,0.49
84,1,72,0.21,0.03,0.06,0.09,0.08,0.13,0.21,4.12,1.61,0.27,0.45,0.45,0.01,0.02,0.03,0.06,0.1,0.17,16.1,1.66,1.6,0.07,0.12,0.19
85,1,73,0.27,0.03,0.05,0.12,0.05,0.08,0.19,3.85,2.77,0.35,0.55,0.45,0.04,0.06,0.14,0.08,0.13,0.3,7.01,1.57,2.25,0.06,0.09,0.21
86,1,75,0.04,0.01,0.01,0.02,0.03,0.05,0.09,5.24,2.12,0.31,0.52,0.41,0.02,0.03,0.06,0.07,0.12,0.2,6.39,1.69,1.69,0.04,0.07,0.11
87,1,73,1.07,0.11,0.26,0.92,0.03,0.07,0.23,4.52,3.47,0.36,0.86,0.86,0.05,0.11,0.4,0.09,0.21,0.72,12.47,2.4,3.48,0.06,0.14,0.48
88,1,74,0.13,0.01,0.08,0.11,-0.01,-0.04,-0.05,21.32,1.02,0.11,0.62,0.84,-0.01,-0.03,-0.04,0.0,0.0,0.0,31.86,5.89,1.38,-0.02,-0.1,-0.14
89,1,82,0.05,0.01,0.01,0.02,0.21,0.16,0.29,11.45,1.36,0.32,0.26,0.33,0.11,0.08,0.15,0.29,0.23,0.4,3.92,0.8,1.76,0.19,0.15,0.26
90,1,73,0.23,0.07,0.05,0.07,0.28,0.17,0.28,19.91,1.0,0.32,0.19,0.32,0.04,0.03,0.04,0.31,0.19,0.31,5.01,0.61,1.65,0.25,0.15,0.25
91,1,70,0.25,0.04,0.07,0.25,-0.08,-0.14,-0.5,2.03,3.33,0.51,0.92,1.0,0.1,0.18,0.67,0.13,0.24,0.87,4.23,1.79,3.62,0.13,0.24,0.87
92,1,70,0.58,0.08,0.13,0.36,0.08,0.12,0.35,2.16,3.14,0.46,0.69,0.63,0.08,0.13,0.36,0.1,0.15,0.44,5.67,1.51,2.85,0.1,0.15,0.44
93,1,70,0.39,0.04,0.07,0.17,-0.08,-0.13,-0.3,2.95,4.16,0.46,0.77,0.44,0.03,0.05,0.11,0.05,0.08,0.18,6.54,1.67,2.34,0.05,0.08,0.18
94,1,70,0.82,0.07,0.21,0.51,0.01,0.03,0.07,38.36,2.16,0.19,0.55,0.62,0.0,0.0,0.01,0.02,0.07,0.18,11.27,2.94,2.44,0.02,0.07,0.18
95,1,70,1.75,0.28,0.64,1.38,0.07,0.11,0.42,0.0,2.0,0.32,0.73,0.79,0.09,0.15,0.56,0.11,0.18,0.68,8.33,2.27,2.17,0.12,0.21,0.77
96,1,70,0.07,0.05,0.01,0.01,0.31,0.08,0.1,0.0,0.68,0.45,0.12,0.21,0.11,0.03,0.04,0.26,0.07,0.08,2.49,0.27,1.2,0.3,0.08,0.1
97,1,70,0.26,0.03,0.07,0.2,0.07,0.14,0.4,3.27,2.36,0.3,0.64,0.78,0.06,0.13,0.38,0.08,0.17,0.49,9.54,2.14,2.89,0.08,0.17,0.08
98,1,70,0.26,0.02,0.05,0.11,0.07,0.17,0.35,42.56,1.14,0.1,0.24,0.43,0.03,0.07,0.14,0.07,0.16,0.33,51.15,2.34,2.03,0.07,0.17,0.33
99,1,70,0.12,0.02,0.04,0.09,0.11,0.17,0.4,2.22,2.11,0.43,0.68,0.76,0.07,0.11,0.25,0.1,0.16,0.37,8.0,1.57,2.36,0.1,0.16,0.37
100,1,70,0.79,0.07,0.05,0.79,0.11,0.08,1.16,1.65,9.48,0.87,0.65,1.0,0.28,0.2,2.99,0.53,0.4,5.81,3.27,0.74,14.68,0.53,0.4,5.81
101,1,71,0.33,0.03,0.09,0.23,0.03,0.08,0.19,3.74,2.17,0.22,0.63,0.7,0.01,0.04,0.09,0.03,0.08,0.2,67.04,2.81,2.42,0.03,0.08,0.2
102,1,71,0.55,0.07,0.1,0.22,0.01,0.02,0.04,4.52,3.18,0.38,0.56,0.4,0.05,0.07,0.17,0.08,0.11,0.25,7.39,1.47,2.27,0.08,0.11,0.25
103,1,71,0.26,0.02,0.04,0.12,0.02,0.03,0.1,3.94,4.95,0.37,0.78,0.47,0.02,0.04,0.12,0.05,0.1,0.29,7.07,2.1,2.99,0.05,0.1,0.29
104,1,72,0.7,0.08,0.11,0.7,0.1,0.15,0.96,1.74,4.64,0.5,0.71,1.0,0.12,0.17,1.09,0.14,0.2,1.31,8.73,1.42,6.5,0.14,0.2,1.31
105,1,72,0.75,0.11,0.15,0.34,0.08,0.11,0.24,6.64,1.83,0.27,0.38,0.45,0.03,0.05,0.1,0.09,0.13,0.29,21.15,1.39,2.18,0.09,0.13,0.29
106,1,73,0.12,0.06,0.05,0.07,0.08,0.06,0.09,1.84,2.23,1.2,0.85,0.56,0.04,0.03,0.05,0.07,0.05,0.07,1.04,0.71,1.47,0.07,0.05,0.07
107,1,73,1.09,0.12,0.33,0.64,0.04,0.12,0.23,4.45,2.91,0.32,0.87,0.59,0.03,0.08,0.16,0.04,0.12,0.24,48.99,2.73,1.97,0.04,0.12,0.24
108,1,73,0.27,0.06,0.08,0.23,0.14,0.18,0.5,18.21,1.37,0.32,0.42,0.85,0.1,0.13,0.36,0.14,0.18,0.5,4.74,1.31,2.8,0.14,0.18,0.5
109,1,73,0.61,0.05,0.14,0.3,0.04,0.09,0.2,14.63,2.22,0.2,0.51,0.5,0.09,0.22,0.49,0.15,0.37,0.81,13.53,2.57,2.17,0.15,0.38,0.82
110,1,73,0.12,0.03,0.02,0.03,-0.1,-0.07,-0.1,0.0,1.5,0.4,0.27,0.25,0.04,0.02,0.03,0.09,0.06,0.09,2.83,0.68,1.38,0.09,0.06,0.09
111,1,73,0.15,0.02,0.03,0.1,0.03,0.04,0.11,3.76,2.55,0.42,0.6,0.69,0.04,0.06,0.17,0.06,0.08,0.23,4.91,1.43,2.94,0.06,0.08,0.23
112,1,73,0.1,0.03,0.05,0.07,0.03,0.06,0.09,3.97,1.47,0.41,0.73,0.76,0.0,0.01,0.01,0.01,0.02,0.03,4.97,1.77,1.53,0.01,0.03,0.04
113,1,74,0.19,0.03,0.09,0.17,0.08,0.24,0.43,5.77,1.36,0.22,0.66,0.87,0.05,0.16,0.29,0.07,0.2,0.35,21.97,3.01,1.8,0.07,0.2,0.36
114,1,74,0.45,0.05,0.15,0.38,0.0,0.01,0.03,3.9,2.11,0.25,0.7,0.83,0.02,0.05,0.13,0.04,0.12,0.29,138.71,2.76,2.52,0.05,0.13,0.32
115,1,74,0.29,0.04,0.09,0.13,0.02,0.06,0.08,3.92,1.98,0.25,0.64,0.45,0.01,0.03,0.04,0.02,0.06,0.08,75.85,2.51,1.39,0.03,0.07,0.1
116,1,74,0.27,0.12,0.16,0.24,0.1,0.13,0.2,2.71,1.23,0.58,0.74,0.91,0.03,0.04,0.07,0.06,0.08,0.12,5.56,1.29,1.51,0.06,0.08,0.12
117,1,75,0.34,0.02,0.11,0.34,0.01,0.04,0.14,16.34,1.81,0.12,0.59,1.0,0.01,0.05,0.14,0.02,0.1,0.29,22.93,4.82,3.1,0.02,0.1,0.29
118,1,75,0.21,0.04,0.05,0.2,0.08,0.1,0.38,1.8,2.74,0.55,0.68,0.96,0.08,0.09,0.36,0.11,0.14,0.54,4.05,1.25,3.84,0.13,0.16,0.63
119,1,75,0.13,0.01,0.05,0.08,0.02,0.08,0.14,4.16,2.0,0.21,0.72,0.62,0.01,0.04,0.07,0.02,0.07,0.12,49.07,3.37,1.74,0.02,0.07,0.13
120,1,75,0.28,0.04,0.08,0.24,0.01,0.03,0.09,5.52,2.7,0.35,0.81,0.85,0.05,0.12,0.35,0.07,0.17,0.48,6.62,2.34,2.82,0.07,0.17,0.48
121,1,75,0.19,0.03,0.04,0.07,0.04,0.06,0.11,3.21,2.76,0.41,0.58,0.37,0.06,0.09,0.15,0.1,0.14,0.25,8.14,1.42,1.77,0.1,0.14,0.26
122,1,75,0.36,0.12,0.14,0.32,0.07,0.08,0.19,4.0,1.96,0.66,0.78,0.88,0.02,0.02,0.05,0.04,0.05,0.11,2.94,1.18,2.23,0.04,0.05,0.12
123,1,75,0.02,0.01,0.01,0.02,0.0,0.0,-0.01,2.92,1.64,0.52,0.78,0.85,0.05,0.07,0.13,0.06,0.09,0.16,3.68,1.51,1.79,0.06,0.09,0.16
124,1,75,0.18,0.01,0.07,0.12,0.02,0.08,0.14,10.12,1.41,0.11,0.53,0.67,0.01,0.03,0.06,0.02,0.08,0.13,70.95,4.67,1.77,0.01,0.06,0.11
125,1,76,0.1,0.02,0.08,0.1,0.01,0.03,0.03,77.99,1.16,0.21,0.98,0.99,0.0,0.02,0.03,0.01,0.03,0.03,5.8,4.68,1.16,0.01,0.03,0.03
126,1,76,1.87,0.33,0.24,0.65,0.25,0.18,0.48,5.68,3.02,0.53,0.38,0.35,0.1,0.07,0.19,0.17,0.12,0.34,11.44,0.71,2.73,0.18,0.13,0.35
127,1,76,0.15,0.01,0.03,0.06,0.05,0.1,0.2,3.4,4.12,0.37,0.71,0.36,-0.01,-0.02,-0.03,0.03,0.06,0.13,7.41,1.95,2.1,0.03,0.06,0.13
128,1,77,0.27,0.03,0.07,0.1,0.09,0.18,0.26,7.58,2.24,0.28,0.57,0.37,0.04,0.07,0.11,0.06,0.12,0.17,7.56,2.07,1.45,0.06,0.13,0.19
129,1,77,0.32,0.03,0.03,0.09,0.05,0.06,0.16,3.24,5.44,0.46,0.58,0.29,0.05,0.06,0.17,0.07,0.09,0.26,5.99,1.27,2.74,0.06,0.08,0.21
130,1,78,0.08,0.01,0.02,0.05,0.04,0.07,0.15,3.82,2.41,0.37,0.69,0.6,0.05,0.09,0.19,0.07,0.12,0.26,7.14,1.89,2.1,0.07,0.12,0.26
131,1,78,0.14,0.01,0.05,0.07,0.02,0.09,0.14,8.18,1.57,0.11,0.51,0.47,0.01,0.05,0.07,0.02,0.1,0.15,170.96,4.55,1.45,0.02,0.1,0.14
132,1,78,0.26,0.07,0.12,0.17,0.0,0.01,0.01,6.13,1.57,0.39,0.71,0.64,0.02,0.03,0.05,0.04,0.07,0.1,5.44,1.84,1.4,0.05,0.08,0.12
