month,Air RPM (000s),Rail PM,VMT (billions)
Jun-98,"57,335,447","482,325,897",228.73
Jul-98,"59,441,840","537,481,124",239.94
Aug-98,"60,813,085","526,444,502",237.14
Sep-98,"49,560,508","430,364,874",219.46
Oct-98,"53,463,147","444,719,403",228.52
Nov-98,"49,561,082","427,669,956",211.18
Dec-98,"51,024,977","459,051,399",216.30
Jan-99,"48,861,094","384,824,724",194.44
Feb-99,"46,158,194","350,270,063",192.33
Mar-99,"57,761,057","436,837,107",221.74
Apr-99,"54,968,382","435,360,347",221.98
May-99,"55,469,960","450,054,655",231.81
Jun-99,"59,918,608","496,553,598",237.02
Jul-99,"64,397,523","543,923,323",244.20
Aug-99,"63,752,132","528,001,216",242.57
Sep-99,"53,733,696","393,137,094",225.30
Oct-99,"57,407,208","425,897,553",234.66
Nov-99,"53,866,781","421,595,015",222.83
Dec-99,"52,331,272","442,742,459",222.46
Jan-00,"49,745,428","366,607,410",203.58
Feb-00,"49,876,910","366,139,276",199.64
Mar-00,"61,378,569","453,096,388",232.63
Apr-00,"58,981,617","473,751,011",227.81
May-00,"61,165,486","481,725,263",242.11
Jun-00,"65,524,091","517,102,460",243.01
Jul-00,"67,883,256","564,747,276",245.08
Aug-00,"66,924,512","558,060,051",247.77
Sep-00,"56,441,629","446,489,429",227.33
Oct-00,"58,834,210","462,329,685",236.55
Nov-00,"56,283,261","442,268,378",222.80
Dec-00,"55,380,280","461,651,082",218.44
Jan-01,"53,129,922","379,458,113",209.26
Feb-01,"49,992,995","366,288,212",199.91
Mar-01,"62,323,049","448,912,584",231.49
Apr-01,"59,801,562","455,496,342",231.37
May-01,"60,246,477","462,376,555",244.25
Jun-01,"64,987,625","528,690,495",242.58
Jul-01,"68,573,410","564,037,290",248.79
Aug-01,"69,003,617","562,266,005",251.69
Sep-01,"39,106,905","446,266,947",224.57
Oct-01,"44,271,037","452,095,235",240.00
Nov-01,"45,245,063","446,094,295",229.48
Dec-01,"48,167,518","479,188,434",228.09
Jan-02,"46,587,818","398,440,459",213.81
Feb-02,"45,157,533","397,948,828",206.46
Mar-02,"57,423,155","461,087,451",234.01
Apr-02,"53,013,066","453,147,413",234.81
May-02,"55,663,570","461,648,459",249.89
Jun-02,"60,224,150","499,751,748",246.39
Jul-02,"62,570,110","564,046,073",254.19
Aug-02,"62,881,793","516,103,068",256.24
Sep-02,"48,925,997","385,097,846",230.60
Oct-02,"52,779,975","399,248,774",243.29
Nov-02,"48,902,677","375,996,408",228.39
Dec-02,"55,355,434","448,246,102",231.26
Jan-03,"50,602,700","393,287,373",216.60
Feb-03,"46,455,943","390,041,481",201.90
Mar-03,"56,033,121","472,573,962",236.70
Apr-03,"51,146,721","483,653,074",238.10
May-03,"53,591,384","489,484,678",253.20
Jun-03,"59,426,357","531,138,943",252.00
Jul-03,"65,041,408","578,767,927",261.30
Aug-03,"64,095,456","557,897,322",259.60
Sep-03,"51,347,366","427,807,444",236.00
Oct-03,"55,810,667","463,025,617",253.40
Nov-03,"53,249,129","448,181,812",233.30
Dec-03,"57,795,908","489,403,554",237.60
Jan-04,"53,447,972","410,338,691",217.30
Feb-04,"52,608,801","389,778,365",210.40
Mar-04,"63,600,019","453,014,590",247.50
Apr-04,"61,887,720","471,116,666",245.40
