date,time,BOROUGH,zip_code,latitude,longitude,location,on_street_name,cross_street_name,off_street_name,#_persons_injured,#_persons_killed,#_pedestrians_injured,#_pedestrians_killed,#_cyclist_injured,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
11/04/2017,7:00,QUEENS,11434.0,40.665863,-73.78205,"(40.665863, -73.78205)",155 STREET                      ,145 AVENUE,,0.0,0.0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,,,,3783005,TR,PASSENGER VEHICLE,,,
11/20/2016,22:50,,,40.666695000000004,-73.961624,"(40.666695, -73.961624)",WASHINGTON AVENUE               ,,,2.0,0.0,0,0,0,0,2,0,Following Too Closely,Unspecified,,,,3565097,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
07/27/2015,16:35,MANHATTAN,10035.0,40.8057427,-73.9427541,"(40.8057427, -73.9427541)",EAST 124 STREET                 ,5 AVENUE                        ,,0.0,0.0,0,0,0,0,0,0,Other Vehicular,Oversized Vehicle,,,,3266233,SPORT UTILITY / STATION WAGON,OTHER,,,
06/01/2014,13:30,,,40.598152299999995,-73.90640350000001,"(40.5981523, -73.9064035)",,,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2950485,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
12/14/2016,21:09,,,40.752262,-73.75965,"(40.752262, -73.75965)",220 STREET                      ,,,0.0,0.0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,,,3579953,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
06/22/2018,8:06,MANHATTAN,10013.0,40.714363,-74.000465,"(40.714363, -74.000465)",WORTH STREET                    ,BAXTER STREET,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3928483,Sedan,Station Wagon/Sport Utility Vehicle,,,
07/27/2014,14:00,BROOKLYN,11219,40.6349148,-73.99496309999999,"(40.6349148, -73.9949631)",NEW UTRECHT AVENUE              ,51 STREET                       ,,1.0,0.0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,999408,SPORT UTILITY / STATION WAGON,BICYCLE,,,
10/28/2016,23:48,MANHATTAN,10017.0,40.75457,-73.97169,"(40.75457, -73.97169)",3 AVENUE                        ,EAST 48 STREET,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3549766,TAXI,SPORT UTILITY / STATION WAGON,,,
02/26/2014,11:50,BROOKLYN,11230,40.6241708,-73.9704715,"(40.6241708, -73.9704715)",OCEAN PARKWAY                   ,AVENUE J                        ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,134920,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
11/23/2012,13:27,BROOKLYN,11229,40.5988172,-73.9367559,"(40.5988172, -73.9367559)",AVENUE V                        ,COYLE STREET                    ,,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,117473,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/24/2014,14:40,,,40.821186,-73.8892803,"(40.821186, -73.8892803)",,,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,2881439,UNKNOWN,PASSENGER VEHICLE,PASSENGER VEHICLE,,
05/20/2017,20:00,,,40.82677,-73.856155,"(40.82677, -73.856155)",BRUCKNER BOULEVARD              ,PUGSLEY AVENUE,,1.0,0.0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,,,,3674707,PICK-UP TRUCK,MOTORCYCLE,,,
03/15/2016,19:50,BROOKLYN,11204.0,,,,65 STREET                       ,18 AVENUE,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3415142,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/11/2015,8:38,MANHATTAN,10023,40.7698492,-73.9843135,"(40.7698492, -73.9843135)",WEST 60 STREET                  ,COLUMBUS AVENUE                 ,,1.0,0.0,1,0,0,0,0,0,Unspecified,,,,,3167483,TAXI,,,,
06/22/2013,7:21,BROOKLYN,11215.0,40.674467299999996,-73.97546750000001,"(40.6744673, -73.9754675)",7 AVENUE                        ,UNION STREET                    ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,177843,PASSENGER VEHICLE,UNKNOWN,,,
09/02/2018,22:54,QUEENS,11362.0,40.767340000000004,-73.73683,"(40.76734, -73.73683)",,,46-06     MARATHON PARKWAY              ,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,3974210,Sedan,,,,
12/08/2012,14:05,BRONX,10461,40.8463591,-73.84462099999999,"(40.8463591, -73.844621)",EASTCHESTER ROAD                ,WATERS PLACE                    ,,2.0,0.0,0,0,0,0,2,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,103821,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE
06/20/2017,12:00,,,40.58481,-73.98301,"(40.58481, -73.98301)",STILLWELL AVENUE                ,,,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,View Obstructed/Limited,,,,3695436,SPORT UTILITY / STATION WAGON,,,,
03/09/2017,8:55,QUEENS,11418.0,40.705659999999995,-73.81846999999999,"(40.70566, -73.81847)",87 AVENUE                       ,VANWYCK EXPRESSWAY,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3628591,PASSENGER VEHICLE,,,,
10/06/2012,21:00,,,,,,BROADWAY                        ,WEST 230 STREET                 ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,107286,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
09/15/2012,17:10,MANHATTAN,10036,40.75790739999999,-73.98929759999999,"(40.7579074, -73.9892976)",WEST 43 STREET                  ,8 AVENUE                        ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,26800,UNKNOWN,BUS,,,
11/07/2014,13:00,BROOKLYN,11207,40.652715,-73.8905965,"(40.652715, -73.8905965)",MALTA STREET                    ,COZINE AVENUE                   ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2820892,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/11/2016,11:30,BRONX,10475.0,40.885952,-73.8279,"(40.885952, -73.8279)",BOSTON ROAD                     ,CONNER STREET,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inexperience,,,,3516922,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,
04/10/2013,8:30,BRONX,10467,40.8585032,-73.8678194,"(40.8585032, -73.8678194)",THWAITES PLACE                  ,BOSTON ROAD                     ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,104672,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
11/07/2017,17:00,QUEENS,11354.0,40.771553000000004,-73.81407,"(40.771553, -73.81407)",BAYSIDE AVENUE                  ,MURRAY LANE,,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3785272,SPORT UTILITY / STATION WAGON,,,,
10/27/2016,7:00,,,40.853706,-73.871864,"(40.853706, -73.871864)",BRONX RIVER PARKWAY             ,,,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3548626,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/21/2017,4:30,,,40.86234,-73.910995,"(40.86234, -73.910995)",CEDAR AVENUE                    ,,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3602061,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,
11/27/2017,4:30,QUEENS,11429.0,40.711211999999996,-73.7477,"(40.711212, -73.7477)",,,104-12    211 STREET                    ,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,,3798021,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
10/29/2016,20:55,BROOKLYN,11234.0,40.6224,-73.936646,"(40.6224, -73.936646)",FLATBUSH AVENUE                 ,KINGS HIGHWAY,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3550730,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/24/2017,17:50,,,40.878,-73.90408000000001,"(40.878, -73.90408)",MAJOR DEEGAN EXPRESSWAY         ,,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3678721,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
07/20/2012,20:30,,,40.7425396,-73.8263032,"(40.7425396, -73.8263032)",,,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3055648,UNKNOWN,PASSENGER VEHICLE,,,
05/21/2014,11:50,QUEENS,11412,40.703725,-73.76750759999999,"(40.703725, -73.7675076)",BRINKERHOFF AVENUE              ,189 STREET                      ,,1.0,0.0,0,0,0,0,1,0,Other Vehicular,Other Vehicular,,,,339019,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
05/26/2017,7:50,BROOKLYN,11234.0,40.617325,-73.910965,"(40.617325, -73.910965)",AVENUE U                        ,EAST 66 STREET,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3679666,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/14/2016,5:20,,,40.7681,-73.90512,"(40.7681, -73.90512)",Grand Central Pkwy              ,,,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,3425270,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/12/2016,14:30,BROOKLYN,11226.0,,,,AVENUE D                        ,EAST 26 STREET,,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3416539,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/02/2016,15:15,BRONX,10453.0,40.85556,-73.90238000000001,"(40.85556, -73.90238)",,,2188      CRESTON AVENUE                ,1.0,0.0,1,0,0,0,0,0,Unspecified,,,,,3433621,PASSENGER VEHICLE,,,,
10/15/2013,17:50,BROOKLYN,11230,40.6255968,-73.95759579999999,"(40.6255968, -73.9575958)",EAST 19 STREET                  ,AVENUE J                        ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,151156,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/04/2018,21:00,BROOKLYN,11225.0,40.661854,-73.958725,"(40.661854, -73.958725)",,,78        LEFFERTS AVENUE               ,0.0,0.0,0,0,0,0,0,0,Passenger Distraction,Passing Too Closely,,,,3841015,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/09/2018,14:00,QUEENS,11411.0,40.695137,-73.74014,"(40.695137, -73.74014)",LINDEN BOULEVARD                ,220 STREET,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3825361,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
07/21/2012,6:50,MANHATTAN,10035,40.8040657,-73.93266340000001,"(40.8040657, -73.9326634)",EAST 127 STREET                 ,2 AVENUE                        ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,59718,PASSENGER VEHICLE,UNKNOWN,,,
03/19/2013,22:05,MANHATTAN,10022,40.7629631,-73.9718684,"(40.7629631, -73.9718684)",EAST 58 STREET                  ,MADISON AVENUE                  ,,0.0,0.0,0,0,0,0,0,0,Passenger Distraction,Unspecified,,,,40658,PASSENGER VEHICLE,TAXI,,,
09/18/2017,0:00,,,40.772327000000004,-73.94530999999999,"(40.772327, -73.94531)",FDR DRIVE                       ,,,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3752715,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,,
10/02/2016,10:30,BROOKLYN,11223.0,40.604637,-73.97614,"(40.604637, -73.97614)",WEST 3 STREET                   ,KINGS HIGHWAY,,0.0,0.0,0,0,0,0,0,0,Other Vehicular,Driver Inexperience,,,,3531479,SPORT UTILITY / STATION WAGON,,,,
12/30/2018,4:15,,,40.728092,-73.81444499999999,"(40.728092, -73.814445)",KISSENA BOULEVARD               ,72 ROAD,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4054585,Sedan,Sedan,,,
08/11/2014,6:08,,,,,,BRUCKNER BOULEVARD              ,ROSEDALE AVENUE                 ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,1007821,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/17/2013,18:30,BROOKLYN,11237,40.7080591,-73.9225385,"(40.7080591, -73.9225385)",JEFFERSON STREET                ,SAINT NICHOLAS AVENUE           ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,186061,PASSENGER VEHICLE,UNKNOWN,,,
11/23/2015,16:30,MANHATTAN,10037.0,40.81343820000001,-73.9413458,"(40.8134382, -73.9413458)",WEST 134 STREET                 ,LENOX AVENUE                    ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3340537,BUS,TAXI,,,
12/17/2016,18:43,,,40.68203,-73.93486999999999,"(40.68203, -73.93487)",LEWIS AVENUE                    ,,,1.0,0.0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3582455,PASSENGER VEHICLE,,,,
03/14/2016,23:00,QUEENS,11101.0,,,,QUEENS BOULEVARD                ,JACKSON AVENUE,,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Passing or Lane Usage Improper,,,,3425423,PASSENGER VEHICLE,,,,
04/12/2017,14:00,,,40.771038,-73.83413,"(40.771038, -73.83413)",WHITESTONE EXPRESSWAY           ,,,0.0,0.0,0,0,0,0,0,0,Unsafe Speed,,,,,3650035,PASSENGER VEHICLE,,,,
10/21/2012,0:01,,,40.8650713,-73.87183809999999,"(40.8650713, -73.8718381)",,,,1.0,0.0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,,,2929443,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
04/17/2017,0:16,QUEENS,11374.0,40.72844,-73.87116,"(40.72844, -73.87116)",ALDERTON STREET                 ,WOODHAVEN BOULEVARD,,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3651883,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/12/2015,18:06,,,,,,2 AVENUE                        ,EAST HOUSTON STREET             ,,0.0,0.0,0,0,0,0,0,0,Prescription Medication,Unspecified,,,,3238473,TAXI,SPORT UTILITY / STATION WAGON,,,
09/08/2015,13:34,,,,,,RICHMOND HILL ROAD              ,ESSEX DRIVE                     ,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3292766,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
08/18/2018,17:45,QUEENS,11373.0,40.74337,-73.87008,"(40.74337, -73.87008)",,,94-27     46 AVENUE                     ,0.0,0.0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3964495,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
01/26/2015,16:00,MANHATTAN,10013,40.7229804,-74.01160229999999,"(40.7229804, -74.0116023)",WEST STREET                     ,VESTRY STREET                   ,,0.0,0.0,0,0,0,0,0,0,Pavement Slippery,Unspecified,,,,3159418,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/06/2017,19:00,,,40.666354999999996,-73.80163,"(40.666355, -73.80163)",VAN WYCK EXPWY                  ,,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3764597,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/01/2018,11:00,BRONX,10458.0,40.8617,-73.89139,"(40.8617, -73.89139)",WEBSTER AVENUE                  ,EAST FORDHAM ROAD,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,3821610,SPORT UTILITY / STATION WAGON,,,,
04/17/2017,15:00,,,40.655495,-73.88833000000001,"(40.655495, -73.88833)",PENNSYLVANIA AVENUE             ,,,1.0,0.0,0,0,0,0,1,0,Oversized Vehicle,Unspecified,,,,3653171,SPORT UTILITY / STATION WAGON,,,,
08/31/2013,10:00,BROOKLYN,11238,40.6744323,-73.9669343,"(40.6744323, -73.9669343)",ST JOHNS PLACE                  ,UNDERHILL AVENUE                ,,1.0,0.0,1,0,0,0,0,0,Unspecified,,,,,174743,SPORT UTILITY / STATION WAGON,,,,
08/08/2013,15:00,MANHATTAN,10022.0,40.7599831,-73.96480179999999,"(40.7599831, -73.9648018)",EAST 58 STREET                  ,SECOND AVENUE                   ,,0.0,0.0,0,0,0,0,0,0,Lost Consciousness,Unspecified,,,,35740,BUS,PASSENGER VEHICLE,,,
06/05/2013,19:20,MANHATTAN,10019,40.767917100000005,-73.9857147,"(40.7679171, -73.9857147)",WEST 57 STREET                  ,9 AVENUE                        ,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,41545,PASSENGER VEHICLE,VAN,,,
07/24/2014,10:30,BROOKLYN,11235,40.5832701,-73.96004920000001,"(40.5832701, -73.9600492)",GUIDER AVENUE                   ,CONEY ISLAND AVENUE             ,,0.0,0.0,0,0,0,0,0,0,Lost Consciousness,Unspecified,,,,997922,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
12/03/2013,9:15,,,,,,ATLANTIC AVENUE                 ,VANWYCK EXPRESSWAY              ,,1.0,0.0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,Unspecified,,,207887,SMALL COM VEH(4 TIRES) ,PASSENGER VEHICLE,PASSENGER VEHICLE,,
10/03/2014,5:00,BROOKLYN,11236,40.6306299,-73.8990558,"(40.6306299, -73.8990558)",EAST 87 STREET                  ,AVENUE N                        ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,1033497,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/12/2018,0:30,,,40.77074,-73.87841,"(40.77074, -73.87841)",GRAND CENTRAL PKWY              ,,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3899310,Station Wagon/Sport Utility Vehicle,Sedan,,,
04/29/2014,13:30,QUEENS,11691,40.5951403,-73.75398659999999,"(40.5951403, -73.7539866)",SEAGIRT BOULEVARD               ,BEACH 20 STREET                 ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,327336,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/26/2017,15:55,,,40.817734,-73.8047,"(40.817734, -73.8047)",THROGS NECK BRIDGE              ,,,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Passing or Lane Usage Improper,,,,3657838,PASSENGER VEHICLE,,,,
11/29/2014,4:10,QUEENS,11416,40.6881494,-73.8488335,"(40.6881494, -73.8488335)",ATLANTIC AVENUE                 ,WOODHAVEN BOULEVARD             ,,1.0,0.0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,,,,3127949,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
08/01/2012,16:30,QUEENS,11413,40.6653874,-73.7449215,"(40.6653874, -73.7449215)",SOUTH CONDUIT AVENUE            ,231 STREET                      ,,0.0,0.0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,219822,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
06/23/2017,17:50,QUEENS,11378.0,40.724613,-73.89777,"(40.724613, -73.89777)",,,66-44     GRAND AVENUE                  ,1.0,0.0,0,0,1,0,0,0,Passing or Lane Usage Improper,Driver Inattention/Distraction,,,,3732497,BICYCLE,PASSENGER VEHICLE,,,
05/27/2016,12:00,,,40.736404,-73.795006,"(40.736404, -73.795006)",65 AVENUE                       ,,,1.0,0.0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,3451814,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/15/2019,17:30,,,40.77235,-73.94666,"(40.77235, -73.94666)",EAST END AVENUE                 ,,,0.0,0.0,0,0,0,0,0,0,Backing Unsafely,,,,,4067848,Sedan,,,,
10/13/2018,23:59,,,40.587326000000004,-73.99173,"(40.587326, -73.99173)",BELT PARKWAY                    ,,,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,3999984,Station Wagon/Sport Utility Vehicle,,,,
08/27/2012,18:32,QUEENS,11106,40.7603501,-73.94244300000001,"(40.7603501, -73.942443)",9 STREET                        ,37 AVENUE                       ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,273207,PASSENGER VEHICLE,PICK-UP TRUCK,,,
12/04/2018,14:00,BROOKLYN,11217.0,40.683464,-73.97569,"(40.683464, -73.97569)",,,625       ATLANTIC AVENUE               ,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4038084,Sedan,Sedan,,,
12/28/2012,11:17,BROOKLYN,11226,40.640767499999995,-73.9514066,"(40.6407675, -73.9514066)",ROGERS AVENUE                   ,AVENUE D                        ,,1.0,0.0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,136704,PASSENGER VEHICLE,BICYCLE,,,
06/05/2016,11:25,BRONX,10473.0,40.807507,-73.85369,"(40.807507, -73.85369)",MERMAID LANE                    ,ADMIRAL LANE,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3456833,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
07/10/2015,12:30,MANHATTAN,10013.0,40.7196953,-74.005938,"(40.7196953, -74.005938)",WEST BROADWAY                   ,NORTH MOORE STREET              ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3255819,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES) ,,,
10/06/2015,8:30,QUEENS,11379.0,40.7146219,-73.9011579,"(40.7146219, -73.9011579)",ELIOT AVENUE                    ,FRESH POND ROAD                 ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3310154,SMALL COM VEH(4 TIRES) ,PASSENGER VEHICLE,,,
08/24/2015,14:52,,,,,,,,PARKING LOT 2100 BARTOW                 ,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3283928,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/14/2016,18:00,QUEENS,11373.0,40.7356334,-73.876016,"(40.7356334, -73.876016)",55 AVENUE                       ,QUEENS BOULEVARD                ,,0.0,0.0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3371488,PASSENGER VEHICLE,UNKNOWN,,,
09/09/2016,5:40,STATEN ISLAND,10309.0,40.511734000000004,-74.21044,"(40.511734, -74.21044)",HYLAN BOULEVARD                 ,SHARROTT AVENUE,,1.0,0.0,0,0,0,0,1,0,Lost Consciousness,,,,,3516783,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/05/2016,14:20,,,40.798256,-73.92402,"(40.798256, -73.92402)",TRIBOROUGH BRIDGE               ,,,0.0,0.0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3517426,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
