Seq#,ID#,gender,M,R,F,first_purch,child_bks,youth_bks,cook_bks,DoItYBks,ref_bks,art_bks,geog_bks,ital_cook,ital_atlas,ital_art,florence,related_purchase,Mcode,Rcode,Fcode,yes_florence,no_florence
84,658,1,101,16,2,22,0,0,2,0,0,0,0,0,0,0,0,0,4,4,2,0,1
85,687,0,178,26,8,56,1,1,2,0,0,2,2,1,0,1,0,6,4,4,3,0,1
86,706,1,128,10,2,16,1,0,0,0,0,0,0,0,0,0,0,0,4,3,2,0,1
87,708,0,277,30,11,78,2,0,1,1,2,2,3,0,0,0,1,5,5,4,3,1,0
88,712,1,306,10,2,16,0,0,0,0,0,1,0,0,0,0,0,1,5,3,2,0,1
89,721,1,292,32,2,40,0,0,0,1,0,1,0,0,0,1,0,2,5,4,2,0,1
90,723,1,215,2,8,36,0,0,0,0,1,3,2,0,0,0,1,5,5,1,3,1,0
91,743,1,240,20,1,20,1,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,1
92,759,0,208,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,0,1
93,761,1,141,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,1
94,764,0,253,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,1
95,775,1,258,14,5,36,0,0,4,0,1,0,0,0,0,0,0,0,5,4,3,0,1
96,795,1,453,14,12,82,1,1,3,1,3,0,3,1,1,0,0,5,5,4,3,0,1
97,800,1,240,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,1
98,803,0,187,10,7,30,0,1,1,0,0,1,2,0,0,0,1,3,4,3,3,1,0
99,808,0,271,10,2,18,1,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,1
100,844,1,288,22,1,22,0,0,1,0,0,0,0,0,0,0,0,0,5,4,1,0,1
101,850,0,194,12,10,62,3,1,2,1,1,0,1,0,0,0,0,1,4,3,3,0,1
102,874,1,274,14,11,68,4,1,2,1,0,1,2,2,0,1,0,6,5,4,3,0,1
103,876,0,176,6,7,20,2,1,1,0,0,0,0,1,0,0,0,1,4,2,3,0,1
104,883,1,182,4,10,34,2,2,0,1,0,0,1,0,0,0,0,1,4,2,3,0,1
105,903,0,64,6,2,8,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,1
106,910,0,95,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1
107,915,1,308,16,1,16,0,0,1,0,0,0,0,0,0,0,0,0,5,4,1,0,1
108,931,1,166,16,1,16,0,0,1,0,0,0,0,0,0,0,0,0,4,4,1,0,1
109,940,1,224,28,2,32,0,0,0,1,0,1,0,0,0,1,0,2,5,4,2,0,1
110,942,0,123,14,4,32,1,0,1,0,0,1,0,0,0,0,0,1,4,4,3,0,1
111,950,1,75,14,1,14,0,1,0,0,0,0,0,0,0,0,0,0,3,4,1,0,1
112,954,1,137,16,1,16,0,0,0,0,1,0,0,0,0,0,0,0,4,4,1,0,1
113,966,1,266,2,6,30,1,1,0,0,0,1,1,0,0,0,0,2,5,1,3,0,1
114,985,1,258,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,1
115,999,1,419,14,8,48,1,1,4,1,0,0,1,0,0,0,0,1,5,4,3,0,1
116,1002,0,196,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,1
117,1010,1,31,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1
118,1011,1,284,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,1
119,1012,1,268,14,2,18,1,0,0,0,0,1,0,0,0,0,0,1,5,4,2,0,1
120,1048,1,189,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,1
121,1054,0,74,32,2,36,0,0,1,0,0,0,1,0,0,0,0,1,3,4,2,0,1
122,1075,1,145,16,2,22,1,1,0,0,0,0,0,0,0,0,0,0,4,4,2,0,1
123,1076,0,139,30,2,34,0,0,1,0,1,0,0,0,1,0,0,1,4,4,2,0,1
124,1082,1,252,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,1
125,1087,1,60,34,1,34,0,0,0,0,1,0,0,0,0,0,0,0,3,4,1,0,1
126,1088,0,98,12,2,16,1,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,1
127,1093,1,263,12,8,58,1,1,3,0,0,1,1,0,0,0,0,2,5,3,3,0,1
128,1095,1,312,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,1
129,1101,1,257,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,1
130,1103,1,205,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,0,1
131,1119,1,285,22,1,22,0,0,1,0,0,0,0,0,0,0,0,0,5,4,1,0,1
132,1121,1,122,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,1
133,1123,1,363,2,12,28,0,1,2,1,0,1,1,1,0,0,0,3,5,1,3,0,1
134,1131,1,302,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,1
135,1138,1,51,4,2,12,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,1
136,1141,1,35,18,2,22,1,0,1,0,0,0,0,1,0,0,0,1,2,4,2,0,1
137,1142,0,150,2,10,28,1,1,1,2,1,0,0,0,1,0,0,1,4,1,3,0,1
138,1149,1,136,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,1
139,1151,1,244,32,1,32,0,0,1,0,0,0,0,0,0,0,0,0,5,4,1,0,1
140,1160,1,64,32,1,32,0,0,0,0,0,0,1,0,0,0,0,1,3,4,1,0,1
141,1161,1,89,4,2,6,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,1,0
142,1169,1,265,16,1,16,0,0,1,0,0,0,0,0,0,0,0,0,5,4,1,0,1
143,1170,0,163,14,1,14,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,1
144,1172,1,216,14,2,20,1,0,1,0,0,0,0,0,0,0,0,0,5,4,2,0,1
145,1185,1,283,14,9,46,1,2,3,0,2,0,1,2,1,0,0,4,5,4,3,0,1
146,1195,1,294,14,2,22,0,1,0,0,1,0,0,0,0,0,0,0,5,4,2,0,1
147,1222,1,307,36,5,60,1,0,2,0,0,0,2,1,0,0,0,3,5,4,3,0,1
148,1227,1,131,16,1,16,0,0,0,0,0,1,0,0,0,0,0,1,4,4,1,0,1
149,1230,1,359,18,9,48,1,0,3,2,0,2,1,0,0,0,0,3,5,4,3,0,1
150,1238,0,101,14,4,26,0,2,0,0,2,0,0,0,0,0,0,0,4,4,3,0,1
151,1248,1,246,18,1,18,0,0,0,1,0,0,0,0,0,0,0,0,5,4,1,0,1
152,1253,0,285,12,2,14,1,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,1
153,1261,1,157,26,1,26,1,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,1
154,1263,1,120,8,5,24,0,0,0,2,0,0,0,0,0,0,0,0,4,3,3,0,1
155,1283,1,217,14,2,20,1,0,0,0,1,0,0,0,0,0,0,0,5,4,2,0,1
156,1300,1,200,4,9,30,2,2,1,0,2,0,0,0,0,0,0,0,4,2,3,0,1
157,1313,1,100,12,4,32,0,0,0,2,1,0,0,0,0,0,0,0,3,3,3,0,1
158,1319,1,309,4,11,40,1,1,2,2,0,0,1,1,0,0,0,2,5,2,3,0,1
159,1323,0,354,6,10,56,1,3,4,1,0,0,0,0,0,0,0,0,5,2,3,0,1
160,1329,1,163,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,1
161,1333,1,66,12,2,20,0,0,1,0,0,0,0,0,0,0,0,0,3,3,2,0,1
162,1352,1,169,16,4,34,1,0,0,0,0,0,3,0,0,0,0,3,4,4,3,0,1
163,1353,1,224,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,0,1
164,1357,0,222,16,2,20,0,1,1,0,0,0,0,1,0,0,0,1,5,4,2,0,1
165,1364,1,477,20,12,68,2,1,5,0,0,1,3,1,0,0,0,5,5,4,3,0,1
166,1366,1,143,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,1
167,1371,1,295,32,2,40,2,0,0,0,0,0,0,0,0,0,0,0,5,4,2,0,1
168,1392,1,69,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1
169,1394,1,275,8,10,62,1,1,1,2,1,2,0,1,1,2,0,6,5,3,3,0,1
170,1406,1,54,12,3,24,1,0,0,0,0,1,0,0,0,0,0,1,3,3,3,0,1
171,1411,0,201,34,6,54,3,1,0,0,1,0,1,0,0,0,0,1,5,4,3,0,1
172,1442,1,149,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,1
173,1455,1,364,14,8,54,2,2,2,0,0,1,1,1,0,0,0,3,5,4,3,0,1
174,1474,0,86,14,5,40,1,0,0,0,2,2,0,0,0,0,1,2,3,4,3,1,0
175,1484,1,151,12,4,34,0,1,0,1,1,0,0,0,0,0,0,0,4,3,3,0,1
176,1486,1,229,8,2,12,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,1
177,1494,1,227,2,9,42,1,0,0,1,0,2,0,0,0,0,0,2,5,1,3,0,1
178,1496,1,246,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,0,1
179,1505,1,43,10,2,16,1,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,1
180,1515,1,158,12,2,14,0,1,0,0,0,0,0,0,0,0,0,0,4,3,2,0,1
181,1518,0,327,16,2,24,0,0,0,1,0,0,1,0,0,0,0,1,5,4,2,0,1
182,1521,1,164,2,3,16,1,0,0,0,0,0,0,0,0,0,1,0,4,1,3,1,0
183,1526,0,158,6,9,56,1,1,1,1,1,0,3,0,0,0,1,3,4,2,3,1,0
184,1529,0,206,10,2,16,1,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,1
185,1530,1,319,4,2,10,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,0,1
186,1531,0,39,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,1
187,1543,1,295,6,2,14,0,0,1,0,0,0,0,0,0,0,0,0,5,2,2,0,1
188,1552,1,178,14,1,14,0,1,0,0,0,0,0,0,0,0,0,0,4,4,1,0,1
189,1554,1,128,32,5,48,1,0,1,0,0,0,3,0,0,0,0,3,4,4,3,0,1
190,1577,1,311,2,9,34,2,1,2,2,0,0,0,0,0,0,0,0,5,1,3,0,1
191,1610,0,391,8,9,48,1,1,2,1,3,0,0,0,0,0,0,0,5,3,3,0,1
192,1641,0,88,18,2,22,1,0,0,0,1,0,0,0,0,0,0,0,3,4,2,0,1
193,1652,1,97,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,1
194,1671,0,250,12,12,36,1,1,3,2,1,3,0,1,1,1,1,6,5,3,3,1,0
195,1672,1,102,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,1
196,1685,1,273,14,2,20,0,0,0,1,0,1,0,0,0,0,0,1,5,4,2,0,1
197,1690,1,362,14,5,42,1,0,2,0,1,0,1,1,1,0,0,3,5,4,3,0,1
198,1705,0,271,12,2,14,0,1,0,0,0,0,0,0,0,0,0,0,5,3,2,0,1
199,1740,0,24,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1
200,1741,1,280,14,2,22,0,0,1,0,0,0,0,0,0,0,0,0,5,4,2,0,1
201,1748,1,203,18,1,18,0,0,1,0,0,0,0,0,0,0,0,0,5,4,1,0,1
202,1749,1,304,16,2,18,1,0,0,1,0,0,0,0,0,0,0,0,5,4,2,0,1
203,1766,0,164,12,3,24,0,1,1,0,0,0,0,0,0,0,0,0,4,3,3,0,1
204,1784,1,32,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,1
205,1785,1,178,30,2,34,0,0,1,0,0,0,1,0,0,0,0,1,4,4,2,0,1
206,1788,1,130,12,1,12,0,0,0,0,0,0,0,0,0,0,1,0,4,3,1,1,0
207,1796,0,177,30,9,76,1,2,2,1,1,2,0,0,0,0,0,2,4,4,3,0,1
208,1799,1,90,10,2,14,0,1,0,0,0,0,0,0,0,0,0,0,3,3,2,0,1
209,1805,1,292,14,1,14,0,1,0,0,0,0,0,0,0,0,0,0,5,4,1,0,1
210,1813,1,226,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,1
211,1815,1,73,12,2,18,0,1,0,0,0,0,0,0,0,0,0,0,3,3,2,0,1
212,1817,0,123,4,2,10,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,1
213,1825,1,432,12,11,76,3,2,2,0,0,1,2,0,0,0,0,3,5,3,3,0,1
214,1837,1,218,22,1,22,0,0,0,1,0,0,0,0,0,0,0,0,5,4,1,0,1
215,1838,1,448,12,12,48,4,5,1,0,0,1,0,1,0,1,0,3,5,3,3,0,1
216,1844,1,37,16,2,22,0,0,0,2,0,0,0,0,0,0,0,0,2,4,2,0,1
217,1845,1,246,6,9,40,1,2,4,0,1,0,0,0,0,0,0,0,5,2,3,0,1
218,1846,0,200,8,3,24,0,1,0,0,0,0,1,0,0,0,0,1,4,3,3,0,1
219,1858,1,220,16,3,24,1,0,2,0,0,0,0,1,0,0,0,1,5,4,3,0,1
220,1878,0,238,24,1,24,0,0,0,0,0,1,0,0,0,0,0,1,5,4,1,0,1
221,1886,0,152,16,9,66,0,1,4,0,2,1,1,0,0,0,0,2,4,4,3,0,1
222,1889,1,361,6,6,36,1,0,2,0,0,1,1,1,0,1,1,4,5,2,3,1,0
223,1923,0,60,14,4,32,1,1,2,0,0,0,0,1,0,0,0,1,3,4,3,0,1
224,1941,0,438,12,11,76,4,0,2,4,0,0,0,1,0,0,0,1,5,3,3,0,1
225,1960,1,58,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1
226,1962,0,61,10,3,20,2,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,1
227,1977,1,194,14,2,22,0,0,0,0,0,2,0,0,0,0,0,2,4,4,2,0,1
228,1984,1,239,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,1
229,2020,1,68,16,1,16,0,0,0,0,0,1,0,0,0,0,0,1,3,4,1,0,1
230,2046,1,88,16,1,16,0,0,0,1,0,0,0,0,0,0,0,0,3,4,1,0,1
231,2052,1,300,14,1,14,0,0,1,0,0,0,0,0,0,0,0,0,5,4,1,0,1
232,2062,0,363,14,7,42,1,2,1,1,1,0,1,0,0,0,0,1,5,4,3,0,1
233,2065,1,234,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,1
234,2068,1,191,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,1
235,2073,1,178,26,2,28,0,0,0,1,1,0,0,0,0,0,0,0,4,4,2,0,1
236,2074,1,146,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,1
237,2079,0,374,36,11,66,3,1,2,1,2,0,2,0,0,0,0,2,5,4,3,0,1
238,2081,0,109,14,2,20,0,0,1,0,1,0,0,0,0,0,0,0,4,4,2,0,1
239,2096,1,120,14,1,14,0,0,1,0,0,0,0,0,0,0,0,0,4,4,1,0,1
240,2099,1,210,16,1,16,1,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,1
241,2108,0,282,14,2,18,0,0,0,1,0,1,0,0,0,0,0,1,5,4,2,0,1
242,2119,1,260,32,1,32,0,0,0,0,0,0,1,0,0,0,0,1,5,4,1,0,1
243,2121,1,340,12,6,30,2,1,1,0,0,0,1,0,0,0,0,1,5,3,3,0,1
244,2124,1,441,10,12,72,2,1,0,2,1,2,3,0,0,0,1,5,5,3,3,1,0
245,2171,0,95,8,2,12,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,1
246,2172,0,34,10,2,16,1,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,1
247,2183,1,125,32,1,32,0,0,0,0,0,0,1,0,0,0,0,1,4,4,1,0,1
248,2184,1,329,14,3,24,0,0,1,0,0,2,0,0,0,0,0,2,5,4,3,0,1
249,2185,1,79,16,1,16,0,0,1,0,0,0,0,0,0,0,0,0,3,4,1,0,1
250,2198,1,96,26,2,28,0,0,0,0,1,0,1,0,0,0,0,1,3,4,2,0,1
251,2203,1,173,20,2,28,0,0,1,1,0,0,0,0,0,0,0,0,4,4,2,0,1
252,2204,1,364,16,8,60,0,1,3,0,0,1,3,0,0,0,0,4,5,4,3,0,1
253,2213,0,212,16,5,38,1,0,1,2,0,0,1,1,0,0,1,2,5,4,3,1,0
254,2226,1,124,16,2,22,2,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,1
255,2227,1,167,18,5,32,1,0,1,3,0,0,0,0,0,0,0,0,4,4,3,0,1
256,2238,1,80,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,1
257,2245,1,318,8,2,10,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,1
258,2253,1,260,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,1
259,2262,0,148,6,4,20,0,0,0,0,0,1,0,0,0,0,1,1,4,2,3,1,0
260,2263,0,243,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,0,1
261,2268,0,40,22,1,22,0,0,0,1,0,0,0,0,0,0,0,0,2,4,1,0,1
262,2294,1,121,12,5,32,1,0,0,1,0,0,0,0,0,0,0,0,4,3,3,0,1
263,2296,1,384,10,8,46,3,0,1,1,1,1,0,0,0,0,0,1,5,3,3,0,1
264,2299,1,90,10,5,38,0,0,2,0,0,0,1,1,0,0,0,2,3,3,3,0,1
265,2304,1,107,14,6,36,1,0,2,0,2,0,1,0,0,0,0,1,4,4,3,0,1
266,2313,1,53,12,2,14,0,0,1,0,0,0,0,0,0,0,0,0,3,3,2,0,1
267,2324,1,232,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,1
268,2339,0,329,16,5,36,2,0,1,1,0,1,0,0,0,0,0,1,5,4,3,0,1
269,2341,0,90,12,3,26,1,0,0,0,1,0,0,0,0,0,0,0,3,3,3,0,1
270,2342,1,192,34,6,52,0,0,3,2,0,1,0,0,0,0,0,1,4,4,3,0,1
271,2376,0,419,14,12,50,2,0,4,1,2,1,2,2,1,1,0,7,5,4,3,0,1
272,2377,1,153,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,1
273,2382,1,305,16,8,60,2,0,0,2,2,0,2,0,0,0,0,2,5,4,3,0,1
274,2383,1,218,14,8,48,1,0,3,1,0,1,2,0,0,0,0,3,5,4,3,0,1
275,2385,1,33,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1
276,2392,0,135,16,4,26,0,0,2,0,1,0,1,0,0,0,0,1,4,4,3,0,1
277,2394,1,320,6,2,12,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,0,1
278,2431,1,174,16,2,22,0,0,0,0,1,0,1,0,0,0,1,1,4,4,2,1,0
279,2435,1,285,6,9,56,1,1,2,1,0,0,2,1,0,0,0,3,5,2,3,0,1
280,2471,0,208,4,2,8,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,0,1
281,2473,1,45,26,2,34,2,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,1
282,2475,0,77,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,1
283,2503,0,90,10,2,14,1,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,1
