high_bid,seller_feedback,category,subcategory,brand
24.5,5,Sports,Golf,Callaway_Golfballs
29,95,Sports,Golf,Titleist_Golfballs
20.51,1560,Collectibles,Premium Pens,Waterman_Pen
10,140,Sports,Golf,Callaway_Golfballs
20.5,932,Collectibles,Premium Pens,Cross_Pen
83,107,Sports,Golf,Ping_Golfbag
51,18,Sports,Golf,Titleist_Golfballs
81,308,Sports,Golf,Titleist_Golfballs
1100,139,Consumer Electronics,Telescopes,Celestron_Telescope
92,11,Sports,Golf,Callaway_Golfballs
46,22,Sports,Golf,Titleist_Golfballs
56,4,Collectibles,Premium Pens,Waterman_Pen
26,3451,Collectibles,Premium Pens,Cross_Pen
20.45,3451,Collectibles,Premium Pens,Cross_Pen
56,4,Collectibles,Premium Pens,Waterman_Pen
30.95,403,Collectibles,Premium Pens,Waterman_Pen
102.51,1,Sports,Golf,Titleist_Golfballs
29,81,Sports,Golf,Titleist_Golfballs
96,292,Sports,Golf,Callaway_Golfbag
42,11,Sports,Golf,Ping_Golfbag
40.01,18,Sports,Golf,Ping_Golfbag
574.03,54,Sports,Golf,Titleist_Golfballs
12.3,2730,Collectibles,Premium Pens,Waterman_Pen
8.5,27,Sports,Golf,Titleist_Golfballs
31,77,Sports,Golf,Titleist_Golfballs
11,485,Sports,Golf,Titleist_Golfballs
11.5,485,Sports,Golf,Titleist_Golfballs
10.5,485,Sports,Golf,Titleist_Golfballs
30.99,484,Sports,Golf,Callaway_Golfballs
95,31,Sports,Golf,Titleist_Golfballs
25,439,Collectibles,Premium Pens,Waterman_Pen
34,485,Sports,Golf,Titleist_Golfballs
8,1,Sports,Golf,Titleist_Golfballs
18.5,14,Sports,Golf,Ping_Golfbag
7.5,1,Sports,Golf,Titleist_Golfballs
151.03,6,Sports,Golf,Titleist_Golfballs
35,5,Sports,Golf,Titleist_Golfballs
36.01,110,Sports,Golf,Callaway_Golfballs
28,2119,Collectibles,Premium Pens,Waterman_Pen
5.74,94,Sports,Golf,Titleist_Golfballs
24,1206,Sports,Golf,Callaway_Golfballs
58,340,Sports,Golf,Ping_Golfbag
11.5,580,Sports,Golf,Callaway_Golfballs
13.5,580,Sports,Golf,Callaway_Golfballs
11.26,580,Sports,Golf,Callaway_Golfballs
11,580,Sports,Golf,Callaway_Golfballs
51.29,11,Sports,Golf,Callaway_Golfballs
11.51,580,Sports,Golf,Callaway_Golfballs
51,110,Sports,Golf,Callaway_Golfballs
11.5,580,Sports,Golf,Callaway_Golfballs
14.5,112,Collectibles,Premium Pens,Cross_Pen
20.5,581,Sports,Golf,Titleist_Golfballs
21.52,581,Sports,Golf,Titleist_Golfballs
19.02,581,Sports,Golf,Titleist_Golfballs
20.26,581,Sports,Golf,Titleist_Golfballs
17,581,Sports,Golf,Titleist_Golfballs
16.51,581,Sports,Golf,Titleist_Golfballs
17.4,35,Sports,Golf,Titleist_Golfballs
91,242,Sports,Golf,Callaway_Golfbag
15,580,Sports,Golf,Callaway_Golfballs
15.5,51,Collectibles,Premium Pens,Cross_Pen
13.5,35,Sports,Golf,Titleist_Golfballs
11.99,580,Sports,Golf,Callaway_Golfballs
10.5,580,Sports,Golf,Callaway_Golfballs
8.51,41,Sports,Golf,Titleist_Golfballs
11.99,580,Sports,Golf,Callaway_Golfballs
10.49,581,Sports,Golf,Callaway_Golfballs
26.1,581,Sports,Golf,Titleist_Golfballs
23.07,581,Sports,Golf,Titleist_Golfballs
87.5,1,Sports,Golf,Ping_Golfbag
306,182,Collectibles,Premium Pens,Waterman_Pen
55,10,Sports,Golf,Titleist_Golfballs
22.5,35,Sports,Golf,Titleist_Golfballs
81,10,Sports,Golf,Titleist_Golfballs
102.5,361,Sports,Golf,Titleist_Golfballs
15.53,3,Sports,Golf,Titleist_Golfballs
101.02,361,Sports,Golf,Titleist_Golfballs
11,35,Sports,Golf,Titleist_Golfballs
16.5,327,Health & Beauty,Hair Care,Hair_Dryer
90,356,Sports,Golf,Callaway_Golfbag
41,214,Collectibles,Premium Pens,Cross_Pen
61,39,Sports,Golf,Titleist_Golfballs
63.51,39,Sports,Golf,Titleist_Golfballs
66,0,Sports,Golf,Titleist_Golfballs
810,1254,Consumer Electronics,Telescopes,Celestron_Telescope
40.5,13,Sports,Golf,Titleist_Golfballs
20,307,Sports,Golf,Titleist_Golfballs
11,306,Sports,Golf,Callaway_Golfballs
76,411,Collectibles,Premium Pens,Cross_Pen
62,1726,Sports,Golf,Ping_Golfbag
44,76,Collectibles,Premium Pens,Cross_Pen
107.5,414,Sports,Golf,Ping_Golfbag
30,1,Collectibles,Premium Pens,Cross_Pen
101,364,Sports,Golf,Ping_Golfbag
305,30,Sports,Golf,Titleist_Golfballs
135,185,Sports,Golf,Ping_Golfbag
290,377,Sports,Golf,Titleist_Golfballs
24.5,204,Sports,Golf,Titleist_Golfballs
11,0,Sports,Golf,Titleist_Golfballs
7,21,Sports,Golf,Titleist_Golfballs
83,30,Sports,Golf,Titleist_Golfballs
22.5,21,Sports,Golf,Callaway_Golfballs
15.01,21,Sports,Golf,Titleist_Golfballs
11.5,45,Sports,Golf,Titleist_Golfballs
25.47,91,Sports,Golf,Titleist_Golfballs
46,91,Sports,Golf,Titleist_Golfballs
108.5,75,Sports,Golf,Titleist_Golfballs
15.5,63,Sports,Golf,Titleist_Golfballs
25,185,Sports,Golf,Titleist_Golfballs
84,1,Sports,Golf,Titleist_Golfballs
144.01,0,Sports,Golf,Callaway_Golfbag
17.51,700,Sports,Golf,Titleist_Golfballs
194,372,Consumer Electronics,Telescopes,Celestron_Telescope
202.5,79,Sports,Golf,Callaway_Golfballs
17.99,14,Collectibles,Premium Pens,Cross_Pen
182.5,32,Sports,Golf,Titleist_Golfballs
81,389,Collectibles,Premium Pens,Cross_Pen
125,185,Sports,Golf,Ping_Golfbag
61.33,1618,Collectibles,Premium Pens,Waterman_Pen
26,111,Collectibles,Premium Pens,Waterman_Pen
129.5,185,Sports,Golf,Ping_Golfbag
31.01,10,Sports,Golf,Callaway_Golfballs
20.5,10,Sports,Golf,Callaway_Golfballs
31.09,1059,Sports,Golf,Titleist_Golfballs
18.5,10,Sports,Golf,Callaway_Golfballs
90,11,Sports,Golf,Callaway_Golfballs
14.5,697,Sports,Golf,Callaway_Golfballs
29,4,Sports,Golf,Titleist_Golfballs
30.28,1057,Sports,Golf,Callaway_Golfballs
11.5,1059,Sports,Golf,Titleist_Golfballs
15.5,1059,Sports,Golf,Titleist_Golfballs
12.52,1059,Sports,Golf,Titleist_Golfballs
17.75,1059,Sports,Golf,Titleist_Golfballs
71.01,1059,Sports,Golf,Titleist_Golfballs
17,1059,Sports,Golf,Titleist_Golfballs
47,53,Sports,Golf,Ping_Golfbag
24.5,24,Sports,Golf,Titleist_Golfballs
24.01,8,Sports,Golf,Titleist_Golfballs
50,288,Collectibles,Premium Pens,Cross_Pen
58,288,Collectibles,Premium Pens,Cross_Pen
57,10,Sports,Golf,Titleist_Golfballs
83,14,Collectibles,Premium Pens,Waterman_Pen
46.27,10,Sports,Golf,Titleist_Golfballs
15.5,694,Sports,Golf,Titleist_Golfballs
26,1,Sports,Golf,Titleist_Golfballs
46.5,477,Sports,Golf,Callaway_Golfballs
54,19,Sports,Golf,Titleist_Golfballs
51,19,Sports,Golf,Titleist_Golfballs
91,480,Sports,Golf,Titleist_Golfballs
20,110,Sports,Golf,Titleist_Golfballs
8.5,81,Sports,Golf,Titleist_Golfballs
66,698,Sports,Golf,Ping_Golfbag
73,698,Sports,Golf,Callaway_Golfbag
13,2671,Sports,Golf,Titleist_Golfballs
96,87,Sports,Golf,Callaway_Golfbag
14.5,2671,Sports,Golf,Titleist_Golfballs
76,15,Sports,Golf,Ping_Golfbag
71,75,Sports,Golf,Callaway_Golfbag
90,11,Sports,Golf,Titleist_Golfballs
21,61,Sports,Golf,Titleist_Golfballs
80,75,Sports,Golf,Callaway_Golfbag
70,75,Sports,Golf,Callaway_Golfbag
7.5,196,Sports,Golf,Titleist_Golfballs
31,245,Sports,Golf,Callaway_Golfballs
26,245,Sports,Golf,Callaway_Golfballs
22.01,245,Sports,Golf,Callaway_Golfballs
61,245,Sports,Golf,Titleist_Golfballs
42,4,Sports,Golf,Titleist_Golfballs
165,143,Sports,Golf,Callaway_Golfbag
40,2,Sports,Golf,Callaway_Golfbag
133.5,16,Sports,Golf,Titleist_Golfballs
6.27,195,Sports,Golf,Titleist_Golfballs
40.99,288,Collectibles,Premium Pens,Waterman_Pen
90.04,34,Sports,Golf,Titleist_Golfballs
14.5,3715,Health & Beauty,Hair Care,Hair_Dryer
24.05,3719,Health & Beauty,Men's electric shavers,Shaver
14.2,3715,Health & Beauty,Hair Care,Hair_Dryer
15.5,461,Sports,Golf,Ping_Golfbag
21.5,61,Sports,Golf,Titleist_Golfballs
122.5,30,Sports,Golf,Callaway_Golfbag
36,17,Collectibles,Premium Pens,Waterman_Pen
14.51,3107,Sports,Golf,Titleist_Golfballs
28,131,Collectibles,Premium Pens,Cross_Pen
24,115,Sports,Golf,Titleist_Golfballs
152.51,1708,Sports,Golf,Callaway_Golfbag
3.25,46,Sports,Golf,Titleist_Golfballs
10.5,267,Collectibles,Premium Pens,Cross_Pen
3.25,46,Sports,Golf,Titleist_Golfballs
35,48,Sports,Golf,Titleist_Golfballs
5.51,1443,Sports,Golf,Titleist_Golfballs
29,87,Collectibles,Premium Pens,Cross_Pen
17.3,33,Sports,Golf,Titleist_Golfballs
21.5,55,Sports,Golf,Callaway_Golfballs
30,87,Collectibles,Premium Pens,Cross_Pen
20.5,351,Sports,Golf,Titleist_Golfballs
70,7,Sports,Golf,Titleist_Golfballs
23,87,Collectibles,Premium Pens,Cross_Pen
51,87,Collectibles,Premium Pens,Cross_Pen
306,12,Collectibles,Premium Pens,Waterman_Pen
51,87,Collectibles,Premium Pens,Cross_Pen
46,1,Sports,Golf,Titleist_Golfballs
47.58,87,Collectibles,Premium Pens,Cross_Pen
9.5,1006,Collectibles,Premium Pens,Cross_Pen
24.49,2567,Collectibles,Premium Pens,Cross_Pen
127.5,156,Sports,Golf,Callaway_Golfbag
78,573,Collectibles,Premium Pens,Waterman_Pen
60,750,Sports,Golf,Ping_Golfbag
19,573,Collectibles,Premium Pens,Waterman_Pen
23.5,50,Sports,Golf,Titleist_Golfballs
142.5,368,Sports,Golf,Titleist_Golfballs
151.5,382,Sports,Golf,Titleist_Golfballs
87,48,Sports,Golf,Callaway_Golfballs
152.5,361,Sports,Golf,Titleist_Golfballs
35,351,Sports,Golf,Titleist_Golfballs
39.87,452,Sports,Golf,Titleist_Golfballs
43.5,452,Sports,Golf,Titleist_Golfballs
26.02,573,Collectibles,Premium Pens,Waterman_Pen
41.1,504,Sports,Golf,Titleist_Golfballs
71,6,Sports,Golf,Callaway_Golfbag
82.01,2209,Collectibles,Premium Pens,Cross_Pen
26,50,Sports,Golf,Titleist_Golfballs
60,15,Sports,Golf,Titleist_Golfballs
23.5,50,Sports,Golf,Titleist_Golfballs
150.05,252,Sports,Golf,Titleist_Golfballs
25,4,Sports,Golf,Titleist_Golfballs
32.57,15,Sports,Golf,Titleist_Golfballs
13.01,3,Sports,Golf,Titleist_Golfballs
15.5,4,Sports,Golf,Callaway_Golfballs
26,10,Sports,Golf,Titleist_Golfballs
11.5,3,Sports,Golf,Titleist_Golfballs
84,102,Sports,Golf,Titleist_Golfballs
24.03,102,Sports,Golf,Titleist_Golfballs
22.56,102,Sports,Golf,Titleist_Golfballs
46.02,102,Sports,Golf,Titleist_Golfballs
31,102,Sports,Golf,Titleist_Golfballs
71,102,Sports,Golf,Titleist_Golfballs
46.67,54,Sports,Golf,Titleist_Golfballs
41,75,Sports,Golf,Titleist_Golfballs
38,2178,Sports,Golf,Titleist_Golfballs
47.44,111,Sports,Golf,Titleist_Golfballs
20.5,16,Sports,Golf,Titleist_Golfballs
56,203,Collectibles,Premium Pens,Cross_Pen
81,30,Sports,Golf,Titleist_Golfballs
28,30,Sports,Golf,Titleist_Golfballs
70,718,Collectibles,Premium Pens,Waterman_Pen
21.5,0,Sports,Golf,Titleist_Golfballs
8.01,919,Collectibles,Premium Pens,Cross_Pen
810,383,Consumer Electronics,Telescopes,Celestron_Telescope
144.5,194,Sports,Golf,Callaway_Golfbag
5.5,0,Sports,Golf,Callaway_Golfballs
90.99,19,Sports,Golf,Callaway_Golfbag
16,27,Sports,Golf,Titleist_Golfballs
21.5,240,Collectibles,Premium Pens,Cross_Pen
24,404,Collectibles,Premium Pens,Waterman_Pen
18.5,13808,Collectibles,Premium Pens,Cross_Pen
25,240,Collectibles,Premium Pens,Cross_Pen
86,19,Sports,Golf,Callaway_Golfbag
30.52,13808,Collectibles,Premium Pens,Cross_Pen
11,27,Sports,Golf,Titleist_Golfballs
65,7,Sports,Golf,Callaway_Golfbag
28.5,742,Sports,Golf,Titleist_Golfballs
10.99,27,Sports,Golf,Titleist_Golfballs
51,148,Sports,Golf,Callaway_Golfbag
10.49,27,Sports,Golf,Titleist_Golfballs
9,100,Sports,Golf,Titleist_Golfballs
14.25,27,Sports,Golf,Titleist_Golfballs
11.01,27,Sports,Golf,Titleist_Golfballs
147.5,226,Sports,Golf,Ping_Golfbag
22,21,Consumer Electronics,Calculators,Casio_Calculator
24.5,30,Sports,Golf,Titleist_Golfballs
113.5,10,Sports,Golf,Titleist_Golfballs
32.01,29,Sports,Golf,Callaway_Golfballs
57,18,Sports,Golf,Titleist_Golfballs
66.01,10,Sports,Golf,Titleist_Golfballs
10.49,27,Sports,Golf,Titleist_Golfballs
56.09,41,Sports,Golf,Titleist_Golfballs
56.09,41,Sports,Golf,Titleist_Golfballs
10.09,1075,Collectibles,Premium Pens,Cross_Pen
10.49,27,Sports,Golf,Titleist_Golfballs
15.5,29,Sports,Golf,Callaway_Golfballs
10.49,687,Sports,Golf,Titleist_Golfballs
37,167,Collectibles,Premium Pens,Cross_Pen
48,187,Sports,Golf,Titleist_Golfballs
15,29,Sports,Golf,Callaway_Golfballs
10.49,27,Sports,Golf,Titleist_Golfballs
16.5,10,Sports,Golf,Titleist_Golfballs
15.51,29,Sports,Golf,Callaway_Golfballs
8.5,187,Sports,Golf,Callaway_Golfballs
16.3,29,Sports,Golf,Callaway_Golfballs
12.12,1264,Collectibles,Premium Pens,Waterman_Pen
32,31,Sports,Golf,Titleist_Golfballs
20,583,Collectibles,Premium Pens,Cross_Pen
57.66,41,Sports,Golf,Titleist_Golfballs
93,120,Sports,Golf,Titleist_Golfballs
11.5,74,Sports,Golf,Titleist_Golfballs
21.55,15,Collectibles,Premium Pens,Waterman_Pen
155.01,485,Sports,Golf,Ping_Golfbag
100.01,143,Sports,Golf,Callaway_Golfbag
32.31,10,Sports,Golf,Titleist_Golfballs
31,10,Sports,Golf,Titleist_Golfballs
32,10,Sports,Golf,Titleist_Golfballs
30,10,Sports,Golf,Titleist_Golfballs
31,10,Sports,Golf,Titleist_Golfballs
28.09,10,Sports,Golf,Titleist_Golfballs
32.5,10,Sports,Golf,Titleist_Golfballs
20.5,10,Sports,Golf,Callaway_Golfballs
21,10,Sports,Golf,Callaway_Golfballs
74,414,Collectibles,Premium Pens,Waterman_Pen
22.5,414,Collectibles,Premium Pens,Waterman_Pen
23.5,61,Sports,Golf,Titleist_Golfballs
80.01,413,Collectibles,Premium Pens,Cross_Pen
79,11,Sports,Golf,Titleist_Golfballs
24.3,970,Sports,Golf,Titleist_Golfballs
51,29,Sports,Golf,Ping_Golfbag
405,12,Sports,Golf,Titleist_Golfballs
66,103,Sports,Golf,Titleist_Golfballs
18,804,Sports,Golf,Titleist_Golfballs
13.52,804,Sports,Golf,Titleist_Golfballs
21.5,804,Sports,Golf,Titleist_Golfballs
32,32,Sports,Golf,Titleist_Golfballs
48,804,Sports,Golf,Titleist_Golfballs
45,133,Sports,Golf,Titleist_Golfballs
20,1915,Sports,Golf,Titleist_Golfballs
183.5,13,Sports,Golf,Titleist_Golfballs
13.01,252,Sports,Golf,Titleist_Golfballs
12,3108,Sports,Golf,Titleist_Golfballs
112.5,327,Sports,Golf,Callaway_Golfbag
26,142,Sports,Golf,Callaway_Golfballs
26.03,50,Sports,Golf,Titleist_Golfballs
10.5,50,Sports,Golf,Titleist_Golfballs
23.25,219,Collectibles,Premium Pens,Waterman_Pen
91,6,Sports,Golf,Callaway_Golfbag
127.5,151,Collectibles,Premium Pens,Waterman_Pen
36,3,Sports,Golf,Titleist_Golfballs
19,116,Collectibles,Premium Pens,Cross_Pen
32.55,142,Sports,Golf,Titleist_Golfballs
31,4957,Sports,Golf,Ping_Golfbag
33,4957,Sports,Golf,Ping_Golfbag
81,19,Sports,Golf,Callaway_Golfbag
77,19,Sports,Golf,Callaway_Golfbag
6,142,Sports,Golf,Titleist_Golfballs
140,151,Collectibles,Premium Pens,Waterman_Pen
21.5,14,Collectibles,Premium Pens,Waterman_Pen
15.5,2037,Sports,Golf,Titleist_Golfballs
12,29,Sports,Golf,Titleist_Golfballs
69,2037,Sports,Golf,Titleist_Golfballs
15.5,29,Sports,Golf,Titleist_Golfballs
51,482,Sports,Golf,Titleist_Golfballs
109.5,482,Sports,Golf,Titleist_Golfballs
28.8,482,Sports,Golf,Titleist_Golfballs
53,482,Sports,Golf,Titleist_Golfballs
67,490,Sports,Golf,Callaway_Golfballs
156.5,171,Sports,Golf,Callaway_Golfbag
168,372,Sports,Golf,Callaway_Golfbag
38.5,482,Sports,Golf,Titleist_Golfballs
61,1,Sports,Golf,Titleist_Golfballs
127.5,369,Sports,Golf,Titleist_Golfballs
115.5,369,Sports,Golf,Titleist_Golfballs
202.5,95,Sports,Golf,Titleist_Golfballs
27,178,Sports,Golf,Ping_Golfbag
35,3881,Sports,Golf,Titleist_Golfballs
14.5,10,Sports,Golf,Callaway_Golfballs
107.5,5,Sports,Golf,Ping_Golfbag
25,1,Sports,Golf,Titleist_Golfballs
24.5,2190,Sports,Golf,Titleist_Golfballs
2.5,2190,Sports,Golf,Titleist_Golfballs
16,74,Sports,Golf,Titleist_Golfballs
19.5,2,Sports,Golf,Titleist_Golfballs
52.5,770,Sports,Golf,Titleist_Golfballs
93,770,Sports,Golf,Titleist_Golfballs
44,27,Sports,Golf,Titleist_Golfballs
51,36,Sports,Golf,Titleist_Golfballs
2.25,185,Sports,Golf,Titleist_Golfballs
51.43,36,Sports,Golf,Titleist_Golfballs
40.09,57,Sports,Golf,Titleist_Golfballs
17.51,1163,Health & Beauty,Hair Care,Hair_Dryer
49,0,Sports,Golf,Titleist_Golfballs
31,900,Collectibles,Premium Pens,Waterman_Pen
5.5,2,Sports,Golf,Callaway_Golfballs
15.5,2,Sports,Golf,Callaway_Golfballs
15.51,1045,Collectibles,Premium Pens,Cross_Pen
75,2,Sports,Golf,Titleist_Golfballs
13.5,980,Collectibles,Premium Pens,Waterman_Pen
12.5,2123,Collectibles,Premium Pens,Waterman_Pen
9.49,107,Collectibles,Premium Pens,Cross_Pen
22,18,Sports,Golf,Titleist_Golfballs
46,542,Sports,Golf,Titleist_Golfballs
49,544,Sports,Golf,Titleist_Golfballs
280,0,Sports,Golf,Titleist_Golfballs
102.5,607,Sports,Golf,Titleist_Golfballs
14,82,Sports,Golf,Titleist_Golfballs
41,2,Sports,Golf,Titleist_Golfballs
290,25,Sports,Golf,Titleist_Golfballs
21.5,367,Sports,Golf,Callaway_Golfballs
15.5,807,Sports,Golf,Titleist_Golfballs
22,807,Sports,Golf,Titleist_Golfballs
31,807,Sports,Golf,Titleist_Golfballs
20.5,3134,Sports,Golf,Titleist_Golfballs
31,3079,Sports,Golf,Titleist_Golfballs
13.5,3134,Sports,Golf,Titleist_Golfballs
13,3134,Sports,Golf,Titleist_Golfballs
13.45,899,Sports,Golf,Titleist_Golfballs
15.5,3107,Sports,Golf,Titleist_Golfballs
13.51,3079,Sports,Golf,Titleist_Golfballs
23,132,Sports,Golf,Titleist_Golfballs
44,64,Sports,Golf,Titleist_Golfballs
92,0,Sports,Golf,Titleist_Golfballs
81.01,25,Sports,Golf,Callaway_Golfbag
81.5,25,Sports,Golf,Callaway_Golfbag
75.21,25,Sports,Golf,Callaway_Golfbag
73.22,25,Sports,Golf,Callaway_Golfbag
72,25,Sports,Golf,Callaway_Golfbag
73,25,Sports,Golf,Callaway_Golfbag
5.57,144,Sports,Golf,Titleist_Golfballs
41,2,Sports,Golf,Titleist_Golfballs
34,7,Sports,Golf,Titleist_Golfballs
39,7,Sports,Golf,Titleist_Golfballs
20.5,645,Sports,Golf,Titleist_Golfballs
36.66,642,Sports,Golf,Titleist_Golfballs
32.51,20,Sports,Golf,Titleist_Golfballs
11.55,642,Sports,Golf,Titleist_Golfballs
10.5,642,Sports,Golf,Titleist_Golfballs
24.49,642,Sports,Golf,Titleist_Golfballs
17.45,2190,Sports,Golf,Titleist_Golfballs
33,7,Sports,Golf,Titleist_Golfballs
10.5,131,Health & Beauty,Hair Care,Hair_Dryer
27.85,7,Sports,Golf,Titleist_Golfballs
26.65,2190,Sports,Golf,Titleist_Golfballs
15.95,2190,Sports,Golf,Titleist_Golfballs
37,0,Sports,Golf,Titleist_Golfballs
98.01,452,Sports,Golf,Titleist_Golfballs
32.51,464,Sports,Golf,Titleist_Golfballs
93,38,Sports,Golf,Titleist_Golfballs
84,508,Sports,Golf,Callaway_Golfbag
27.5,7,Sports,Golf,Titleist_Golfballs
11.5,141,Sports,Golf,Titleist_Golfballs
11,33,Sports,Golf,Titleist_Golfballs
17.5,7,Sports,Golf,Titleist_Golfballs
15.5,33,Sports,Golf,Titleist_Golfballs
18.5,33,Sports,Golf,Titleist_Golfballs
38,22,Sports,Golf,Titleist_Golfballs
13.5,141,Sports,Golf,Titleist_Golfballs
21.49,1390,Sports,Golf,Titleist_Golfballs
47.51,1390,Sports,Golf,Titleist_Golfballs
17,1390,Sports,Golf,Titleist_Golfballs
6.5,64,Sports,Golf,Titleist_Golfballs
65,472,Sports,Golf,Titleist_Golfballs
49.04,813,Sports,Golf,Titleist_Golfballs
10.45,970,Sports,Golf,Titleist_Golfballs
16.5,589,Sports,Golf,Titleist_Golfballs
24,193,Sports,Golf,Titleist_Golfballs
24,193,Sports,Golf,Titleist_Golfballs
15.5,589,Sports,Golf,Titleist_Golfballs
40,394,Sports,Golf,Titleist_Golfballs
14.5,2692,Sports,Golf,Titleist_Golfballs
11.03,2725,Sports,Golf,Titleist_Golfballs
31,398,Sports,Golf,Titleist_Golfballs
30.99,398,Sports,Golf,Titleist_Golfballs
52,0,Sports,Golf,Callaway_Golfbag
13,3135,Sports,Golf,Titleist_Golfballs
11.5,3135,Sports,Golf,Titleist_Golfballs
20.01,3108,Sports,Golf,Titleist_Golfballs
21.01,3080,Sports,Golf,Titleist_Golfballs
16.5,3135,Sports,Golf,Titleist_Golfballs
36,7,Sports,Golf,Titleist_Golfballs
25.49,1215,Sports,Golf,Titleist_Golfballs
21.5,46,Sports,Golf,Titleist_Golfballs
8.5,46,Sports,Golf,Titleist_Golfballs
24.5,411,Sports,Golf,Titleist_Golfballs
152.5,9,Sports,Golf,Titleist_Golfballs
17.5,2725,Sports,Golf,Titleist_Golfballs
14.5,173,Sports,Golf,Titleist_Golfballs
15.5,173,Sports,Golf,Titleist_Golfballs
15.5,173,Sports,Golf,Titleist_Golfballs
18.01,173,Sports,Golf,Titleist_Golfballs
14.5,173,Sports,Golf,Titleist_Golfballs
12.5,173,Sports,Golf,Titleist_Golfballs
10.49,173,Sports,Golf,Titleist_Golfballs
15.5,173,Sports,Golf,Titleist_Golfballs
10.49,173,Sports,Golf,Titleist_Golfballs
11.5,1477,Sports,Golf,Titleist_Golfballs
10.5,1490,Sports,Golf,Titleist_Golfballs
30.51,7,Sports,Golf,Titleist_Golfballs
34.25,240,Sports,Golf,Titleist_Golfballs
43.75,242,Sports,Golf,Titleist_Golfballs
69.75,247,Sports,Golf,Titleist_Golfballs
22.75,247,Sports,Golf,Titleist_Golfballs
13,242,Sports,Golf,Titleist_Golfballs
10.49,240,Sports,Golf,Titleist_Golfballs
7,144,Sports,Golf,Titleist_Golfballs
51.27,242,Sports,Golf,Titleist_Golfballs
21.99,18,Sports,Golf,Titleist_Golfballs
21.5,3758,Health & Beauty,Men's electric shavers,Shaver
18.09,3755,Health & Beauty,Hair Care,Hair_Dryer
41.01,24,Sports,Golf,Titleist_Golfballs
10.5,350,Sports,Golf,Titleist_Golfballs
30,13,Sports,Golf,Titleist_Golfballs
29,13,Sports,Golf,Titleist_Golfballs
11.03,2191,Sports,Golf,Titleist_Golfballs
15,1102,Sports,Golf,Titleist_Golfballs
20.5,2200,Sports,Golf,Titleist_Golfballs
46,1102,Sports,Golf,Titleist_Golfballs
25,1102,Sports,Golf,Titleist_Golfballs
31.02,2200,Sports,Golf,Titleist_Golfballs
49,36,Sports,Golf,Titleist_Golfballs
48.56,36,Sports,Golf,Titleist_Golfballs
13,2200,Sports,Golf,Titleist_Golfballs
12,2200,Sports,Golf,Titleist_Golfballs
15.5,54,Sports,Golf,Titleist_Golfballs
150,0,Sports,Golf,Titleist_Golfballs
167.5,121,Sports,Golf,Titleist_Golfballs
127.5,14,Sports,Golf,Titleist_Golfballs
91,5,Sports,Golf,Titleist_Golfballs
101,128,Sports,Golf,Titleist_Golfballs
144.51,17,Sports,Golf,Titleist_Golfballs
39,958,Sports,Golf,Titleist_Golfballs
53.06,315,Sports,Golf,Titleist_Golfballs
47,32,Sports,Golf,Titleist_Golfballs
47,8,Sports,Golf,Titleist_Golfballs
162.5,13,Sports,Golf,Titleist_Golfballs
162.5,13,Sports,Golf,Titleist_Golfballs
18,2706,Sports,Golf,Titleist_Golfballs
10.49,178,Sports,Golf,Titleist_Golfballs
11,178,Sports,Golf,Titleist_Golfballs
12.55,178,Sports,Golf,Titleist_Golfballs
