Trans. ,Bag,Blush,Nail Polish,Brushes,Concealer,Eyebrow Pencils,Bronzer,Lip liner,Mascara,Eye shadow,Foundation,Lip Gloss,Lipstick,Eyeliner
69,0,0,0,0,1,0,0,0,1,1,0,0,1,0
70,0,1,0,0,1,0,1,1,1,1,1,1,0,1
71,0,0,1,1,1,0,0,0,0,0,1,1,0,0
72,0,0,1,1,1,0,0,0,0,0,0,0,0,1
73,0,0,1,1,1,0,1,1,1,1,1,1,0,1
74,0,1,1,1,1,0,1,0,1,1,1,0,1,0
75,0,0,0,0,1,0,1,1,1,1,0,1,0,1
76,0,0,0,0,0,0,1,0,0,0,0,1,1,1
77,0,0,0,0,1,0,0,0,0,0,1,1,1,1
78,0,1,1,1,1,0,1,1,0,0,0,0,0,1
79,0,0,0,0,0,0,0,0,1,1,1,1,0,0
80,0,1,1,1,1,1,1,1,1,1,1,1,1,0
81,0,0,1,1,1,0,1,1,0,1,0,0,1,1
82,0,1,0,0,1,0,1,0,1,1,1,1,0,1
83,0,0,0,0,1,0,0,0,0,0,1,1,1,1
84,1,0,0,0,1,0,0,0,1,1,1,1,0,0
85,1,0,1,1,1,0,0,0,1,0,1,1,0,0
86,0,1,0,0,1,0,0,0,0,0,1,1,0,1
87,0,1,1,0,0,0,0,0,0,0,0,0,0,0
88,0,0,0,0,1,0,0,0,1,1,0,0,0,0
89,0,1,1,1,1,0,1,1,0,0,0,0,0,1
90,0,0,1,1,1,0,1,0,0,0,0,1,0,1
91,0,1,1,0,1,0,0,1,1,1,0,1,0,1
92,0,1,0,0,1,0,0,0,0,0,1,1,0,1
93,0,1,0,0,0,0,0,0,0,1,1,1,0,1
94,0,0,1,1,1,0,1,1,0,0,0,0,0,1
95,0,0,0,0,0,0,0,1,0,0,0,1,0,1
96,0,1,0,0,1,0,0,1,1,1,0,0,1,0
97,0,1,0,0,1,0,0,0,1,1,1,1,0,1
98,0,1,1,1,1,0,1,0,1,1,1,1,0,1
99,0,1,0,0,0,0,1,0,0,0,1,0,0,0
100,0,1,1,1,1,0,1,1,0,0,0,1,0,0
101,0,1,0,0,0,0,1,0,0,0,1,0,0,0
102,0,0,0,0,0,0,1,0,1,1,1,1,0,0
103,0,1,1,1,1,0,1,1,1,1,0,0,0,0
104,0,1,0,0,1,0,1,0,1,1,1,0,0,1
105,0,1,1,1,1,0,1,0,1,1,0,1,0,1
106,0,1,0,0,0,0,1,0,0,0,0,1,0,1
107,0,0,1,1,0,0,0,0,1,1,1,1,1,0
108,0,0,0,0,1,0,1,1,0,0,0,1,0,0
109,0,0,1,0,0,0,0,0,1,0,1,1,1,0
110,1,1,1,1,1,0,1,1,1,1,1,1,0,1
111,0,0,0,0,0,0,0,0,0,0,1,1,0,0
112,0,0,0,0,1,0,0,0,0,0,1,1,1,0
113,0,0,0,0,1,0,0,0,0,0,0,0,1,1
114,0,1,0,0,1,0,0,0,0,0,1,0,0,1
115,0,1,0,0,0,0,0,0,0,0,0,0,0,0
116,1,1,1,0,1,0,1,0,1,1,0,1,0,1
117,0,0,1,1,0,1,1,0,0,0,1,1,0,0
118,0,0,0,0,1,0,0,0,0,1,1,1,0,0
119,0,1,0,0,1,0,1,1,0,0,1,1,1,1
120,0,1,1,1,1,0,1,1,0,0,0,1,0,1
121,0,1,0,0,0,0,1,0,1,1,0,1,0,0
122,1,0,0,0,1,0,0,0,1,1,1,1,1,1
123,1,0,1,1,0,0,1,0,0,0,1,0,0,0
124,1,0,0,0,1,0,0,0,1,0,1,1,1,1
125,0,0,1,0,1,0,0,0,0,0,1,0,1,0
126,0,1,0,0,1,0,0,1,1,1,0,1,1,1
127,0,0,1,0,1,0,0,0,0,0,0,0,0,1
128,0,0,1,1,0,1,0,0,1,1,0,0,0,1
129,0,1,0,0,1,0,0,0,0,0,0,0,0,1
130,0,1,1,1,1,0,0,1,0,0,1,0,0,0
131,0,1,1,0,1,1,1,0,0,0,1,0,1,1
132,1,1,0,0,1,0,1,0,1,1,0,1,0,0
133,0,0,1,1,0,0,1,0,0,0,0,1,1,0
134,0,1,1,1,1,0,1,1,1,1,0,0,1,1
135,0,0,0,0,0,0,0,0,1,1,1,1,0,0
136,0,1,0,0,0,0,1,0,1,1,1,0,1,0
137,0,0,0,0,0,0,0,0,0,1,1,1,0,0
138,1,1,0,0,1,0,1,1,0,0,0,0,0,0
139,0,0,0,0,0,0,0,0,0,0,0,0,1,1
140,0,1,0,0,1,0,0,1,0,0,1,0,0,1
141,0,0,0,0,0,0,1,0,0,0,0,1,0,1
142,0,1,1,0,0,0,0,0,1,1,0,0,0,0
143,0,0,0,0,0,0,1,0,0,1,1,0,0,0
144,0,1,1,0,1,0,1,1,1,1,1,1,1,0
145,0,0,0,0,0,0,0,0,0,0,0,0,1,1
146,0,0,0,0,1,0,1,1,0,0,1,1,0,1
147,0,1,1,1,1,1,1,1,1,1,0,0,1,1
148,0,0,1,1,1,0,1,1,1,0,0,0,0,1
149,0,1,0,0,0,0,0,0,1,0,1,1,0,0
150,0,1,0,0,1,0,0,1,1,1,1,0,0,1
151,0,0,1,0,1,0,0,0,0,1,1,1,0,1
152,1,1,0,0,1,0,1,1,1,1,1,1,0,1
153,0,1,0,0,1,0,1,1,0,0,0,1,1,1
154,0,1,0,0,1,0,1,1,1,1,0,0,0,0
155,0,0,0,0,0,0,1,1,0,0,0,1,1,0
156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,0,0,0,0,1,0,0,0,0,0,1,1,0,0
158,1,1,0,0,1,0,0,1,0,0,0,1,0,1
159,0,1,1,1,1,0,1,1,1,1,1,1,0,1
160,0,0,1,0,1,0,0,1,0,0,0,0,1,1
161,0,0,1,1,0,0,1,0,0,0,1,0,1,0
162,0,1,0,0,1,0,1,1,1,1,1,1,0,0
163,0,0,1,1,0,0,1,0,0,0,1,0,1,0
164,0,0,0,0,0,0,0,0,1,1,1,1,0,0
165,0,1,0,0,0,1,0,0,0,0,1,0,0,0
166,0,0,1,1,1,0,1,1,0,0,0,0,1,1
167,0,1,0,0,1,0,0,1,1,1,0,0,1,1
168,0,0,0,0,0,0,0,0,0,0,0,0,1,1
169,0,0,0,0,1,0,0,0,0,0,1,1,0,1
170,0,0,0,0,0,0,1,0,1,0,1,0,1,0
171,0,0,0,0,1,0,1,0,1,1,1,0,0,1
172,0,0,0,0,1,0,1,0,1,1,0,1,1,1
173,0,1,0,0,0,0,0,1,0,0,1,0,0,0
174,0,0,1,1,0,0,1,0,0,0,1,1,1,0
175,0,1,1,0,1,0,1,1,0,0,1,1,0,1
176,0,0,0,0,1,0,1,1,1,1,0,0,1,0
177,0,1,1,1,1,0,1,0,1,1,1,0,0,1
178,0,0,0,0,0,0,0,0,1,1,1,1,0,0
179,0,0,1,1,1,0,0,0,0,0,1,1,0,1
180,0,0,0,0,1,0,0,1,0,0,1,0,0,1
181,0,1,0,0,1,1,1,0,0,1,1,0,0,1
182,0,1,0,0,1,0,1,0,0,0,1,0,0,1
183,0,0,0,0,1,0,0,0,0,1,1,1,0,0
184,0,0,1,1,0,0,1,0,1,1,0,1,0,0
185,0,1,1,1,1,0,1,1,1,1,1,1,0,1
186,0,1,1,1,1,0,1,0,0,0,1,1,1,0
187,0,0,0,0,1,0,1,0,0,0,0,1,0,1
188,0,0,0,0,1,0,1,0,1,1,1,0,0,1
189,1,0,0,0,0,0,1,0,1,1,0,1,0,1
190,0,0,0,0,1,0,1,1,1,1,0,0,0,1
191,0,1,0,0,1,0,1,1,0,0,0,0,0,0
192,0,0,0,0,0,0,0,0,1,1,1,1,1,1
193,0,0,0,0,1,0,0,0,1,0,1,1,0,1
194,0,1,0,0,1,0,0,1,1,1,0,1,0,1
195,0,0,1,1,0,0,1,0,0,0,0,1,1,1
196,0,0,1,1,0,0,1,0,1,1,1,0,0,0
197,0,0,0,0,0,0,0,0,0,0,1,1,1,1
198,0,0,0,0,1,0,0,0,0,0,0,0,0,1
199,0,0,1,0,0,0,0,1,0,0,0,1,0,0
200,0,0,0,0,0,0,1,1,0,0,0,0,1,1
201,0,1,0,0,0,0,0,0,0,0,0,0,0,0
202,0,0,0,0,0,0,0,0,0,0,1,1,1,1
203,0,0,0,0,0,0,1,0,1,1,0,1,1,0
204,0,0,0,0,1,0,1,0,0,0,0,1,1,1
205,0,1,0,0,1,0,1,0,0,1,1,0,1,1
206,0,0,1,0,0,0,0,0,1,1,0,0,0,0
207,0,1,0,0,1,0,1,0,0,0,1,0,1,0
208,0,0,0,0,0,0,0,0,1,1,0,0,0,0
209,0,1,0,0,1,0,1,1,0,0,0,0,1,0
210,0,1,0,0,1,0,1,1,1,1,0,0,1,1
211,0,1,0,0,0,0,0,0,1,1,0,0,1,0
212,0,1,0,0,0,0,1,0,0,0,0,1,1,0
213,1,1,0,0,0,0,0,0,0,0,1,0,0,0
214,0,0,0,0,1,0,1,1,1,1,1,1,0,1
215,0,0,0,0,1,0,0,0,0,0,0,0,0,1
216,0,0,0,0,1,0,0,0,0,0,1,1,0,0
217,0,0,1,0,1,0,0,0,1,1,1,1,0,1
218,0,0,0,0,1,0,0,1,0,0,1,0,0,0
219,0,0,1,1,0,0,1,1,0,1,0,0,0,1
220,1,0,1,1,1,0,1,1,1,0,0,0,0,1
221,0,0,0,0,0,0,0,0,0,0,1,1,1,0
222,0,1,0,0,1,0,0,0,1,1,0,0,0,1
223,0,1,0,0,1,0,0,1,0,0,0,1,0,0
224,0,0,1,0,1,0,0,1,0,0,1,0,0,1
225,0,1,0,0,0,0,0,1,1,1,0,1,0,1
226,0,1,1,0,1,0,0,0,0,0,0,0,0,0
227,0,1,1,1,1,0,1,1,1,1,0,1,1,1
228,1,0,1,1,1,1,0,1,0,0,0,1,1,0
229,0,1,0,0,1,0,0,0,1,1,0,0,0,1
230,0,0,1,1,0,0,1,1,0,0,1,1,0,0
231,0,0,0,0,1,1,0,0,1,1,0,0,1,1
232,0,0,0,0,0,0,0,0,0,0,1,1,0,1
233,0,0,0,0,1,0,0,0,1,1,1,1,0,1
234,0,1,1,1,1,0,1,1,1,1,1,1,0,1
235,0,1,0,0,1,0,0,0,0,0,0,0,0,1
236,0,0,0,0,1,0,0,0,0,0,0,0,0,0
237,0,0,1,1,1,0,0,0,0,0,0,0,0,0
238,1,1,0,0,1,0,0,0,1,0,1,1,0,1
239,1,1,1,1,1,0,1,1,1,1,1,1,0,0
240,0,1,1,1,1,0,1,1,1,1,0,0,0,1
241,0,1,0,0,0,0,0,0,0,0,0,0,1,0
242,0,0,0,0,0,0,0,0,0,1,1,1,1,1
243,0,1,1,1,0,0,0,0,1,1,1,1,1,0
244,0,1,0,0,1,0,0,0,0,1,1,1,0,1
245,0,1,0,0,1,0,0,1,0,0,0,1,0,1
246,1,1,0,0,1,1,0,0,1,1,0,0,0,1
247,0,0,0,0,1,0,1,1,1,1,0,0,0,0
248,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,0,0,1,1,0,0,1,0,0,0,1,0,0,0
250,0,0,0,0,1,0,1,1,1,1,0,0,0,1
251,0,0,0,0,1,0,1,0,0,0,1,0,0,1
252,0,0,0,0,0,0,1,0,1,1,1,0,0,0
253,0,0,0,0,0,0,0,0,0,1,1,1,0,1
254,0,0,0,0,1,0,0,0,1,1,0,0,0,0
255,0,1,0,0,0,0,0,0,0,0,1,1,1,0
256,0,0,0,0,1,0,0,0,0,0,0,0,0,1
257,0,1,0,0,1,0,1,1,0,0,1,1,0,0
258,0,0,1,1,0,0,0,0,1,1,0,0,1,0
259,0,0,0,0,0,0,0,0,0,0,1,1,0,0
260,0,0,1,0,0,0,0,0,1,1,0,0,1,0
261,0,0,1,0,0,0,1,0,0,0,1,0,0,0
262,0,0,0,0,1,0,0,0,1,1,1,1,1,0
263,0,0,1,1,1,0,1,1,0,0,0,0,0,0
264,0,0,1,1,0,0,0,0,1,1,0,0,0,1
265,0,0,0,0,0,0,0,0,0,0,0,0,0,1
266,0,0,0,0,0,0,0,1,0,0,0,1,0,0
267,0,1,1,0,1,0,0,0,0,0,1,1,1,0
268,0,0,0,0,0,0,0,0,1,1,0,0,0,0
269,0,0,1,0,0,0,0,0,0,0,1,0,1,0
270,0,0,0,0,0,0,0,0,1,1,1,1,0,0
271,0,1,1,1,0,0,1,0,0,0,1,0,0,0
272,0,0,0,0,1,0,0,0,0,0,0,0,1,1
273,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,0,1,0,0,0,0,0,0,0,0,0,0,1,0
275,0,0,0,0,0,0,0,0,1,1,1,1,1,1
276,0,0,1,1,0,0,1,0,1,1,0,1,0,0
277,0,1,1,0,1,0,1,0,1,1,0,1,0,0
278,0,1,0,0,0,0,1,1,1,1,0,0,0,0
279,0,1,0,0,1,0,0,0,1,1,0,0,0,1
280,0,0,0,0,0,0,0,0,0,0,1,1,0,1
281,0,0,1,1,0,0,1,0,0,0,1,0,0,0
282,0,1,0,0,0,0,1,1,1,1,1,1,1,0
283,0,1,0,0,1,0,0,0,1,1,1,1,1,1
284,0,1,1,0,1,1,1,1,0,0,0,0,0,1
285,0,0,0,0,0,0,0,0,0,0,1,1,0,1
286,0,1,0,0,1,0,0,0,0,0,0,0,0,1
287,0,0,0,0,1,0,0,0,0,0,1,1,0,1
288,0,0,0,0,1,0,0,0,0,0,0,0,1,0
289,0,0,0,0,0,0,0,0,0,0,1,0,1,0
290,0,0,0,0,1,0,1,1,1,0,0,0,1,1
291,0,0,0,0,0,1,0,0,0,0,1,0,1,0
292,0,1,0,0,1,0,1,1,1,1,0,0,0,1
293,0,0,0,0,0,0,0,0,0,0,0,0,1,1
294,0,1,0,0,1,0,0,0,1,1,1,1,1,1
295,0,0,0,0,1,0,0,0,1,1,1,1,1,1
296,0,1,0,0,1,0,0,1,1,1,1,0,0,0
297,0,0,0,0,1,0,0,0,0,0,1,1,0,1
298,0,1,0,0,1,0,1,1,1,1,0,0,1,1
299,1,1,1,0,1,0,1,1,1,1,1,1,0,0
300,0,0,1,1,0,0,1,1,1,1,0,0,0,0
301,0,1,0,0,1,0,1,0,0,0,1,0,0,1
302,0,1,0,0,1,0,0,0,1,1,1,0,1,1
303,0,0,1,1,1,0,1,1,1,1,0,0,0,1
304,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,0,0,0,0,0,0,0,0,0,1,1,1,0,0
306,0,0,1,1,1,0,1,0,0,0,1,0,0,0
307,0,0,0,0,1,0,1,0,1,1,1,0,0,1
308,0,0,0,0,0,0,0,0,0,1,1,1,0,0
309,1,1,0,0,0,0,0,0,0,0,1,1,1,1
310,0,1,0,0,0,0,0,0,0,0,0,0,1,0
311,0,0,0,0,0,0,0,0,0,0,1,1,0,0
312,0,1,1,0,1,0,0,0,1,1,0,0,1,1
313,0,0,0,0,1,0,0,1,0,0,0,0,1,1
314,0,0,0,0,1,0,0,0,0,0,0,0,0,0
315,0,0,0,0,1,0,0,1,0,0,0,1,0,1
316,0,0,0,0,1,0,0,0,0,0,0,0,0,1
317,0,1,0,0,1,0,0,0,1,1,1,1,0,0
318,0,0,0,0,0,0,1,0,0,0,0,1,0,1
319,0,0,0,0,0,0,0,0,0,0,1,1,0,0
320,0,0,0,0,1,0,1,0,1,0,1,0,0,1
321,0,1,0,0,0,0,0,0,0,0,0,0,0,0
322,0,0,1,0,1,0,1,0,0,0,1,0,1,0
323,0,1,0,0,1,0,1,0,1,1,0,1,0,1
324,0,0,1,1,0,0,1,0,0,0,1,0,0,0
325,0,0,0,0,0,0,0,1,1,1,0,1,1,0
326,0,0,0,0,1,0,0,0,0,0,0,0,0,0
327,0,0,0,0,0,0,0,0,0,0,1,1,0,0
328,0,0,0,0,0,0,0,0,1,1,1,1,0,0
329,0,0,0,0,0,0,0,0,1,1,0,0,0,0
330,0,1,1,1,1,0,1,1,0,0,0,0,0,0
331,0,1,0,0,0,0,1,1,1,1,0,0,0,0
332,0,0,0,0,0,0,0,0,0,0,1,1,0,0
333,0,0,1,0,0,0,0,0,0,0,0,0,1,1
334,0,0,0,0,1,0,0,0,1,1,1,1,1,1
335,0,0,0,0,1,0,1,1,1,1,1,1,1,0
336,0,1,1,1,1,1,0,0,1,1,1,1,1,1
337,0,0,1,1,1,0,1,0,0,1,1,0,0,1
338,1,1,1,1,1,0,0,0,1,1,1,1,0,0
339,0,0,1,0,0,0,1,0,0,0,0,1,0,0
340,1,1,0,0,1,0,0,0,1,1,1,1,0,0
341,0,0,1,0,0,0,0,0,0,1,1,1,0,0
342,0,0,0,0,1,0,0,0,0,0,1,1,0,0
343,0,0,0,0,0,0,0,0,0,1,1,1,1,0
344,0,1,1,1,1,0,0,1,1,1,1,0,0,0
345,0,1,0,0,0,0,0,0,0,0,0,0,0,0
346,0,1,0,0,1,0,0,0,0,0,1,0,0,0
347,0,1,1,1,1,0,1,1,0,0,0,0,0,1
348,0,1,0,0,1,0,0,0,0,0,1,1,0,1
349,0,0,0,0,0,0,0,0,1,1,1,1,0,0
350,0,1,0,0,0,0,0,0,0,0,0,0,1,0
351,0,1,1,0,0,1,0,0,0,0,1,0,0,0
352,0,1,0,0,1,0,0,0,0,0,0,0,0,1
353,0,0,0,0,1,0,1,1,1,1,0,0,0,1
354,0,0,1,0,1,0,0,1,0,0,1,0,1,1
355,0,0,1,0,0,0,0,0,0,0,0,0,0,0
356,0,1,1,1,1,1,1,0,1,1,1,0,1,0
357,0,0,0,0,0,0,1,0,0,0,1,1,0,0
358,0,0,0,0,0,0,1,0,0,0,0,1,1,0
359,0,0,0,0,1,0,0,0,1,1,0,0,1,0
360,0,0,0,0,0,0,0,0,0,0,1,1,0,0
361,0,1,1,1,1,0,1,1,0,0,0,0,1,1
362,0,0,0,0,0,0,0,0,0,1,1,1,0,1
363,0,1,0,0,1,0,1,0,0,0,0,1,0,1
364,0,0,0,0,0,0,1,0,0,0,0,1,0,0
365,0,0,0,0,1,0,1,1,0,0,1,1,0,1
366,0,1,0,0,1,0,0,0,0,0,1,0,0,0
367,0,0,0,0,0,0,0,0,0,0,1,1,0,0
368,0,1,0,0,1,0,0,1,1,1,0,1,1,1
369,0,1,0,0,1,0,0,0,0,1,1,1,1,1
370,0,1,1,0,1,0,0,0,1,1,1,0,1,1
371,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,0,1,1,0,1,0,0,1,0,0,0,1,0,0
373,0,1,1,0,1,0,1,0,0,0,0,1,0,0
374,0,0,0,0,0,0,1,0,0,0,1,1,0,1
375,0,1,0,0,1,0,0,0,1,1,0,0,0,1
376,0,1,1,0,1,0,1,0,1,1,0,1,0,0
377,0,0,0,0,0,0,0,0,0,0,1,1,0,0
378,0,1,1,1,1,0,1,1,0,0,0,1,0,1
379,0,0,1,1,1,0,0,0,1,1,1,1,0,1
380,0,1,0,0,0,0,1,0,0,0,0,1,1,0
381,1,0,0,0,1,0,1,1,0,1,0,0,0,1
382,0,0,1,0,0,0,0,0,0,1,1,1,0,1
383,0,1,0,0,0,0,0,0,0,0,1,0,0,1
384,0,0,1,0,0,0,0,0,1,1,1,0,0,0
385,0,0,1,0,0,0,0,0,0,0,1,0,0,1
386,0,0,0,0,1,0,0,0,0,0,1,0,0,0
387,0,1,0,0,1,0,0,0,1,0,1,1,1,1
388,0,0,0,0,0,0,1,0,0,0,0,1,1,0
389,0,0,0,0,0,0,0,0,0,0,0,0,1,0
390,0,0,0,0,1,0,0,1,0,0,0,1,0,1
391,0,1,1,0,0,0,0,0,0,0,1,1,0,1
392,0,0,1,0,0,0,0,0,1,1,0,0,1,0
393,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394,0,1,0,0,0,0,1,0,1,1,1,0,0,0
395,0,0,0,0,0,0,0,0,0,0,1,1,0,1
396,0,1,1,1,1,1,0,0,1,1,1,1,1,1
397,0,1,0,0,0,0,0,0,1,1,1,1,0,0
398,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399,0,0,1,1,0,0,1,1,1,1,0,0,1,0
400,0,1,0,0,0,0,1,1,0,0,0,0,0,0
401,0,0,0,0,1,0,0,0,0,0,1,1,0,1
402,0,0,0,0,0,1,0,0,1,1,1,1,1,0
403,0,0,1,0,0,0,0,0,0,0,1,1,0,1
404,0,0,0,0,1,0,1,0,0,0,0,1,0,0
405,0,0,1,1,0,0,0,1,0,0,0,1,0,0
406,0,0,0,0,1,0,0,1,0,1,0,1,1,0
407,0,0,1,1,1,0,1,0,1,1,0,1,0,1
408,0,0,0,0,0,0,0,0,1,1,1,1,1,0
409,0,0,0,0,0,0,0,0,0,0,0,0,1,0
410,0,0,0,0,0,0,0,0,0,0,1,1,0,0
411,0,0,0,0,0,0,0,0,1,1,1,1,0,0
412,0,1,0,0,1,0,0,0,1,1,1,1,1,0
413,0,0,0,0,0,0,0,1,0,0,1,0,0,0
414,0,0,0,0,0,0,0,0,1,1,1,1,0,0
415,0,0,0,0,0,0,1,0,0,1,1,0,0,0
416,0,0,1,1,0,0,0,0,1,1,0,0,1,0
417,0,0,0,0,1,0,1,0,0,0,0,1,0,1
418,0,0,0,0,0,0,0,0,0,0,1,1,0,1
419,0,1,0,0,0,0,0,0,0,0,1,1,1,1
420,0,0,0,0,0,0,1,0,0,0,0,1,0,0
421,0,0,0,0,1,0,0,0,0,0,1,1,1,1
422,0,0,0,0,0,0,0,0,0,0,1,1,0,1
423,0,0,0,0,0,0,1,0,0,0,1,0,0,0
424,0,0,1,0,0,0,0,0,0,0,1,1,0,1
425,0,0,1,0,1,0,0,1,0,0,1,0,0,0
426,0,1,1,0,0,0,0,0,0,0,0,0,1,0
427,0,0,0,0,1,0,0,0,0,0,1,1,0,1
428,0,0,0,0,0,0,0,0,0,1,1,1,0,1
429,0,0,1,1,1,0,1,0,0,1,1,0,1,0
430,1,1,0,0,1,0,1,0,1,1,1,0,0,1
431,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432,0,0,0,0,0,0,0,0,0,0,1,1,0,0
433,0,0,1,0,0,0,0,0,0,0,0,0,1,0
434,0,0,0,0,0,0,0,0,0,0,1,1,0,0
435,0,0,1,0,0,0,0,0,0,0,0,0,1,0
436,0,0,0,0,1,0,1,0,0,0,0,1,0,1
437,0,0,0,0,0,0,0,0,0,0,0,0,1,1
438,0,1,0,0,1,0,0,0,0,0,0,0,0,0
439,0,1,1,1,1,0,1,0,1,0,1,0,0,1
440,0,1,0,0,1,1,0,1,1,1,1,0,1,1
441,0,1,0,0,1,0,0,0,1,1,1,0,0,1
442,0,0,0,0,0,0,0,0,1,0,1,1,1,1
443,0,0,0,0,1,0,0,0,0,0,1,1,0,0
444,0,0,0,0,0,0,1,0,0,0,1,0,1,0
445,0,0,1,0,0,0,0,0,0,0,0,0,0,0
446,0,0,0,0,0,0,0,0,0,0,1,1,0,1
447,0,0,0,0,0,0,0,0,0,0,1,1,1,1
448,0,1,0,0,0,0,0,0,0,1,1,1,1,0
449,0,0,0,0,0,0,0,0,0,0,1,1,1,0
450,0,1,0,0,0,0,0,0,0,0,0,0,1,0
451,0,1,0,0,1,0,0,1,0,0,0,1,1,1
452,0,0,1,0,1,0,0,0,1,1,0,0,1,1
453,0,0,0,0,0,0,1,1,0,0,1,1,0,0
454,0,1,0,0,1,0,0,1,1,1,1,0,0,1
455,0,1,1,1,0,0,1,0,0,0,1,0,0,1
456,0,1,0,0,1,0,1,1,1,1,1,1,0,0
457,0,0,1,0,0,0,0,1,0,0,1,0,0,0
458,0,1,1,0,1,0,0,1,1,1,1,0,1,1
459,0,1,1,0,1,0,1,0,0,0,1,1,1,1
460,0,0,0,0,1,0,0,1,0,0,0,1,1,1
