total_value,tax,LOT_SQFT,year_built,gross_area,living_area,floors,rooms,bedrooms,full_bath,half_bath,kitchen,fireplace,remodel
337.2,4241,13250,1950,2508,1075,1,6,3,1,1,1,1,None
313.7,3946,4288,1965,2368,1368,2,9,4,1,1,1,1,None
280.2,3524,4200,1955,2164,1200,2,6,3,1,1,1,1,None
297.8,3746,5975,1955,2628,1469,1.5,7,3,2,0,1,0,None
474.4,5967,5604,2008,3526,2118,2,8,4,2,1,1,0,None
269,3384,5301,1910,3714,2428,2,9,5,2,0,1,0,None
313.6,3945,4998,1959,2203,1589,1,7,3,1,1,1,2,None
322.1,4052,7163,1965,2116,1487,1,7,3,1,1,1,0,None
204.9,2577,4200,1920,2296,990,1,5,3,1,0,1,1,None
563.1,7083,9021,2005,4065,2605,2,8,4,2,1,1,1,None
313.1,3938,4696,1965,2184,1368,2,7,4,1,1,1,1,None
282.5,3553,6000,1960,2212,1538,1,8,3,1,1,1,0,None
337,4239,6047,1950,2568,1490,1.5,7,3,2,0,1,1,Recent
331.2,4166,13494,1950,2340,1306,1.5,6,3,2,0,1,1,None
311.1,3913,6000,1960,2140,1966,1,7,3,2,0,1,0,None
355.9,4477,5998,1960,2184,1726,1,8,4,2,0,1,0,Recent
315,3962,6725,1964,2064,1372,2,6,3,1,1,1,1,None
177.4,2231,3624,1910,821,600,1,5,2,1,0,1,0,None
298.1,3750,6000,1960,2212,1692,1,7,3,1,1,1,0,None
331,4163,3603,1930,3063,1612,2,5,2,1,0,1,0,Recent
396.8,4991,14065,1940,2424,1306,1.5,9,3,2,1,1,1,Recent
349.3,4394,5050,1900,3502,1842,2,9,3,1,1,1,0,Recent
338.2,4254,9733,1920,2902,1377,1.5,6,3,2,0,1,0,None
276.6,3479,4200,1955,2000,1200,2,6,3,1,1,1,1,None
255,3207,4200,1960,1940,970,1,7,3,1,1,1,1,None
277.7,3493,4759,1959,1989,918,1,5,3,1,1,1,1,None
347.9,4376,4269,1960,2236,1368,2,6,4,1,1,1,1,None
440.2,5537,8247,1940,3210,1980,2,7,3,1,0,1,1,Recent
357.3,4494,7939,1964,2136,1726,1,9,4,1,1,1,0,None
558.8,7029,8317,2005,4133,2605,2,8,4,2,1,1,1,None
305,3836,3861,1965,2191,1369,2,7,4,1,1,1,1,None
322.4,4055,4265,1900,2307,1350,2,6,3,1,1,1,0,Recent
105,1320,997,1910,1319,504,1,4,2,1,0,1,0,None
380.6,4787,6074,1965,2668,2014,1,8,3,2,0,2,1,Recent
350.1,4404,14707,1942,3057,1529,1.5,7,4,2,0,1,1,None
302.8,3809,5975,1960,2326,1380,2,7,3,1,1,1,0,None
310.7,3908,6465,1960,1948,1404,1,5,3,1,1,1,1,None
290.2,3650,6000,1960,2212,1692,1,7,3,1,1,1,0,None
320.2,4028,6047,1957,2486,1387,1.5,6,3,2,0,1,1,Recent
313.6,3945,8104,1955,3202,1492,1,5,3,1,1,1,1,None
320,4025,4411,1960,2284,1558,1,7,3,1,1,1,2,None
282.2,3550,5823,1963,2100,1320,2,6,3,1,1,1,0,None
287.4,3615,5277,1959,2092,952,1,7,3,1,1,1,1,None
336.6,4234,4200,1960,3870,1953,1.5,7,3,1,1,2,0,None
307.2,3864,6100,1960,2184,1583,1,8,3,1,1,1,0,None
277,3484,4749,1961,1953,1404,1,7,3,1,1,1,1,None
347.2,4367,10050,1942,3104,1706,2,8,3,1,2,1,1,None
201,2528,4435,1900,2823,1637,2,7,4,1,1,1,0,None
353.5,4447,9747,1960,2100,1726,1,9,4,2,0,2,0,Old
423.4,5326,9730,1992,2776,2188,1,8,3,2,0,2,0,None
323.5,4069,6022,1961,3246,1679,1.5,7,3,1,1,1,0,None
576,7246,6864,2005,5122,3108,2,8,4,2,1,1,1,None
301.1,3787,6271,1961,1530,1360,1,8,4,2,0,1,1,None
374,4704,7550,1943,2623,1306,1.5,6,3,1,0,1,1,Recent
300,3774,5975,1955,2736,1469,1.5,7,3,1,1,1,0,None
348.8,4387,5999,1960,2556,1966,1,7,3,1,1,1,0,None
308.6,3882,5742,1960,2120,1320,2,7,3,1,1,1,0,None
320.9,4036,8088,1967,2240,1726,1,8,3,2,0,1,0,None
326.8,4111,4880,1960,2556,1354,1.5,6,3,2,0,1,1,Old
354.4,4458,6710,1925,3196,1786,2,7,3,2,0,1,0,Recent
265.3,3337,7045,1920,2697,1378,1.5,6,3,1,1,1,0,None
376.2,4732,2700,1990,2448,1536,2,8,3,2,1,1,1,None
296.9,3735,4659,1950,1984,1404,1,5,3,1,0,1,1,None
252.985,3182,7270,1920,2210,1326,2,7,3,1,1,1,0,None
339.1,4265,5273,1943,2769,1734,2,7,5,2,0,1,1,Recent
299.4,3766,4949,1960,2088,1726,1,6,3,2,0,1,0,Recent
323.5,4069,5204,1965,2508,1402,1.5,6,3,1,1,1,1,None
359.3,4519,5918,1988,2574,1930,1,8,4,2,0,2,0,None
361.7,4550,5376,1920,2156,1370,2,7,4,1,1,1,0,Recent
256.4,3225,2410,1950,2535,1632,2,7,3,2,0,1,0,None
236.7,2977,3248,1920,1620,1270,2,6,3,1,0,1,0,None
250.3,3148,4270,1920,2017,1232,2,6,3,1,0,1,0,None
340.7,4286,5941,1962,2712,1469,1.5,7,3,2,0,1,0,Recent
312.5,3931,5939,1957,3160,1609,1.5,7,3,1,1,1,0,None
287.4,3615,6100,1960,2076,1701,1,7,3,1,1,1,0,None
320.8,4035,6000,1967,2425,1151,1,7,3,1,1,1,1,None
329.4,4143,6043,1957,2628,1536,1.5,7,4,1,0,1,1,None
307.4,3867,10067,1960,2238,1726,1,8,4,1,1,1,0,None
327,4113,10030,1950,2344,1275,1.5,6,3,1,0,1,1,None
406.9,5118,6756,1996,2604,1680,2,7,3,2,0,1,1,None
270.4,3401,5246,1940,2568,1360,1.5,6,3,2,0,1,1,None
278.6,3504,6076,1940,2264,1320,2,6,3,1,1,1,1,None
392,4931,5671,1958,3412,2010,2,9,4,2,0,1,1,Old
310.7,3908,4407,1960,1968,1404,1,6,3,1,1,1,0,None
283,3560,4514,1959,2140,1404,1,5,3,1,1,1,1,None
353.5,4447,5885,1988,2418,1930,1,9,4,2,0,2,0,None
302.3,3802,6043,1964,2244,1641,1,8,3,2,0,1,0,None
424.9,5345,5518,2003,2500,1560,2,6,3,1,1,1,0,None
348.3,4381,5441,1960,2416,1726,1,8,4,2,0,1,1,Recent
354.3,4457,9351,1960,2296,1247,1,7,4,1,1,1,0,None
297.9,3747,5151,1962,2652,1469,1.5,7,3,2,0,1,0,None
327.2,4116,6042,1954,2840,1550,1.5,7,3,1,0,1,1,None
306.1,3850,6877,1963,2240,1808,1,6,3,1,1,1,0,None
428.2,5386,5965,1963,2998,1637,1.5,8,3,3,0,1,1,Old
366.3,4608,5662,1961,2805,1750,2,7,4,2,0,1,1,Recent
263.1,3309,5273,1950,2448,1306,1.5,6,2,1,0,1,1,None
388.7,4889,5775,1988,2906,1469,1.5,8,3,3,0,1,0,None
313.6,3945,5715,1960,2540,1940,2,6,3,1,1,1,1,None
