customer_number,clothing_division,housewares_division,health_products_division,automotive_division,personal_electronics_division,computers_division,garden_division,novelty_gift_division,jewelry_division
3971132,0,0,1,1,1,0,1,1,1
3978319,0,0,1,0,1,0,1,1,0
4012043,0,1,1,1,1,0,1,1,1
4050027,0,1,1,0,1,1,0,0,1
4057725,0,1,1,0,1,0,0,0,0
4060216,0,1,1,1,1,0,1,0,0
4063939,0,0,1,0,1,0,1,0,0
4064424,0,0,1,0,0,1,1,0,0
4067625,0,0,1,0,1,0,0,1,1
4071684,0,1,1,0,1,0,0,0,0
4081790,0,1,1,0,1,0,0,0,0
4092896,0,0,1,1,1,0,1,1,0
4096772,0,0,1,0,0,0,0,0,0
4105128,0,1,1,1,1,0,1,1,1
4111597,0,1,1,1,1,0,1,1,1
4125175,0,0,1,0,0,0,0,0,0
4133948,0,0,1,0,1,0,0,1,1
4135414,0,0,1,0,1,0,0,0,0
4140190,1,1,1,0,0,0,0,0,1
4151825,0,1,1,0,1,0,0,1,1
4152963,0,0,1,1,0,0,0,0,1
4159604,0,1,1,1,1,0,1,1,1
4162376,0,1,1,0,1,0,1,1,1
4165528,0,1,1,1,0,0,1,1,1
4171278,0,0,1,0,0,0,1,0,0
4171690,0,1,1,0,0,0,0,0,0
4173720,0,0,1,0,0,0,0,0,1
4182663,0,0,1,0,0,0,1,0,1
4190179,0,0,1,1,1,0,0,0,0
4193652,0,0,1,1,1,1,1,1,1
4197505,0,1,1,0,1,0,0,1,1
4215463,0,0,1,1,1,0,1,1,1
4216057,0,1,1,0,1,0,1,0,1
4217857,0,0,1,0,0,0,0,0,1
4222535,0,1,1,1,1,0,0,0,1
4224614,0,0,1,0,0,0,0,0,0
4227419,0,1,1,0,0,0,1,0,0
4230082,0,0,1,0,1,0,0,1,0
4231569,0,0,1,1,0,0,0,1,1
4240552,0,0,1,0,1,0,0,0,1
4248290,0,1,1,0,1,0,0,0,0
4249744,0,1,1,0,1,0,0,0,1
4252995,0,0,1,0,1,0,0,0,0
4256020,0,1,1,1,1,0,1,1,0
4256293,0,0,1,1,1,0,1,1,1
4259198,0,0,1,0,1,0,0,0,1
4261178,0,1,1,1,1,0,0,1,1
4268082,0,0,1,0,0,1,0,0,1
4270419,0,1,1,1,1,0,0,1,1
4290540,0,0,1,1,0,0,1,0,0
4293973,0,0,1,0,0,1,0,0,1
4303434,0,0,1,1,1,0,1,1,1
4309696,0,1,1,0,1,0,1,1,0
4313904,0,0,1,0,1,1,0,0,1
4318408,0,1,1,0,1,0,1,1,1
4329520,0,0,1,0,1,0,0,0,0
4335949,0,1,1,1,1,0,1,1,1
4337580,0,1,1,0,1,0,0,0,0
4341962,0,0,1,1,1,0,1,1,0
4348314,0,0,1,1,1,0,1,0,0
4350765,0,1,1,0,0,0,0,1,1
4352985,0,0,1,1,1,0,0,0,0
4354122,0,0,1,0,1,0,0,0,1
4365227,0,0,1,0,0,0,0,0,1
4366621,0,0,1,0,1,0,1,1,1
4377149,0,0,1,1,1,0,0,0,0
4385860,0,0,1,1,1,0,1,1,1
4386587,0,1,1,0,1,1,1,1,1
4394003,0,0,1,0,1,0,1,0,1
4395760,0,0,1,0,0,0,0,0,0
4403952,0,0,1,1,1,0,0,0,0
4404117,0,1,1,1,1,1,1,1,1
4411914,1,1,1,0,1,0,0,0,1
4413142,0,1,1,0,0,0,0,1,1
4413985,0,1,1,1,1,0,1,0,1
4416590,0,1,1,0,0,0,0,0,1
4417531,0,1,1,0,1,0,0,1,1
4423414,0,0,1,0,1,0,0,1,0
4435152,0,0,1,0,1,0,1,1,1
4437406,0,0,1,0,0,0,1,0,0
4439063,0,0,1,0,1,0,0,0,0
4443735,0,1,1,0,1,0,1,0,1
4447892,0,1,1,1,1,0,1,1,0
4450391,0,0,1,0,0,0,0,0,1
4451225,0,1,1,0,1,0,0,1,1
4451951,0,0,1,0,1,0,0,1,1
4455903,0,1,1,1,0,1,1,0,1
4459517,0,1,1,0,1,0,1,0,1
4462420,0,1,1,1,1,1,1,1,1
4463196,0,1,1,1,1,0,1,0,1
4470969,0,0,1,1,1,0,1,1,0
4474334,0,0,1,1,1,0,1,1,0
4478525,0,1,1,0,1,0,1,0,1
4485173,0,0,1,0,0,0,0,0,0
4486932,0,0,1,0,1,0,0,0,0
4488821,0,1,1,0,1,0,0,0,0
4493557,0,1,1,1,1,0,0,1,1
4495834,0,1,1,0,1,0,0,0,0
4499471,0,1,1,0,1,0,1,0,1
4501847,0,0,1,0,1,0,0,0,0
4509626,0,0,1,0,0,0,0,0,0
4509808,0,0,1,0,0,0,0,1,1
4519781,0,0,1,1,0,0,0,0,1
4520003,0,1,1,1,1,0,0,1,1
4522348,0,0,1,0,1,0,0,0,1
4522892,0,0,1,1,1,0,0,0,1
4528121,0,0,1,1,1,0,1,0,0
4530473,0,1,1,0,0,0,0,0,0
4532891,0,0,1,0,1,0,1,0,0
4534509,0,1,1,0,1,0,0,0,0
4535225,0,1,1,1,0,0,1,0,0
4538369,0,0,1,0,1,0,0,0,0
4542551,1,1,1,1,0,0,1,1,1
4543500,0,0,1,0,0,0,0,0,0
4545034,0,1,1,0,1,1,1,1,0
4549903,0,1,1,0,1,0,1,1,1
4551503,0,0,1,0,1,0,1,0,0
4551909,0,0,1,0,1,0,1,1,1
4553426,0,0,1,0,0,0,1,0,0
4578498,0,0,1,0,1,0,0,0,1
4606331,0,1,1,0,0,0,0,0,0
4612792,0,0,1,0,1,0,1,0,1
4628145,0,0,1,0,0,0,1,0,0
4629606,0,0,1,0,1,0,1,1,1
4633293,0,0,1,0,0,0,0,0,0
4639456,0,0,1,0,0,0,0,0,0
4641403,0,0,1,0,0,0,0,0,0
4643979,0,1,1,1,0,0,1,0,0
4650438,0,0,1,0,1,0,0,1,0
4652665,0,0,1,0,1,0,0,0,1
4653374,0,0,1,1,1,0,1,1,1
4658266,0,0,1,1,1,0,1,0,1
4661187,0,0,1,0,1,0,0,0,1
4668588,0,1,1,1,1,0,1,0,0
4669727,0,0,1,0,1,0,1,0,0
4674206,0,1,1,1,1,0,1,1,0
4676151,0,0,1,0,1,0,1,0,0
4687000,0,0,1,0,1,0,0,0,0
4689337,0,1,1,0,1,0,0,0,0
4691879,0,0,1,0,0,0,0,0,1
4695300,0,0,1,1,1,1,0,0,0
4696290,0,0,1,0,0,0,0,0,0
4698544,0,0,1,0,0,0,1,0,0
4702205,0,0,1,1,1,0,0,0,1
4705091,0,0,1,0,1,0,0,0,0
4706594,0,0,1,0,0,0,0,0,0
4708772,0,0,1,0,1,0,0,1,1
4713467,0,0,1,1,1,0,0,0,1
4722948,0,0,1,0,1,0,1,1,1
4724563,0,0,1,0,0,0,0,0,0
4726634,0,1,1,0,0,0,0,1,1
4731535,0,0,1,0,0,0,0,0,1
4743043,0,0,1,1,1,0,1,0,0
4744686,0,1,1,1,1,0,0,0,1
4750634,0,0,1,0,1,0,0,0,0
4766721,0,0,1,1,1,0,1,0,0
4771051,0,1,1,0,1,0,1,0,1
4773735,0,0,1,0,1,0,0,0,0
4775193,0,0,1,0,1,0,1,0,0
4775755,0,0,1,0,1,0,0,0,0
4776837,0,1,1,1,0,0,0,0,1
4785374,0,0,1,0,0,0,1,0,1
4798583,0,0,1,0,0,0,0,0,0
4809943,0,0,1,0,0,0,0,0,0
4813671,0,1,1,0,1,0,1,0,1
4821062,0,0,1,0,1,0,0,0,0
4828612,0,0,1,0,0,0,0,0,1
4837324,0,0,1,0,0,0,0,0,1
4838009,0,1,1,0,0,0,0,0,0
4842589,0,1,1,1,0,0,0,0,0
4848735,0,0,1,0,1,0,0,1,1
4853487,0,0,1,0,0,0,0,0,1
4855185,0,0,1,0,1,0,0,0,0
4860300,0,0,1,0,0,0,0,0,0
4869913,0,1,1,0,0,0,0,0,1
4872719,0,0,1,1,0,0,1,0,0
4872909,0,0,1,0,0,0,0,0,0
4888988,0,0,1,0,0,0,0,0,0
4892949,0,0,1,0,0,0,0,0,1
4901302,0,0,1,0,0,0,0,0,1
4905105,0,0,1,0,1,0,0,0,0
4909271,0,1,1,0,1,0,0,1,1
4910485,0,0,1,0,1,0,0,1,0
4917662,0,0,1,1,1,0,1,0,1
4918181,0,0,1,0,1,0,0,0,1
4921144,0,1,1,0,1,0,0,0,0
4924858,0,1,1,0,1,0,0,1,1
4927968,0,1,1,0,0,0,0,0,0
4930335,0,0,1,1,1,0,1,1,0
4932836,0,0,1,0,0,0,0,0,0
6002711,0,0,1,0,0,0,0,1,0
6012736,0,1,1,0,1,0,0,1,1
6040489,0,1,1,0,1,0,0,0,1
6053672,0,1,1,1,1,0,1,0,1
6070676,0,0,1,1,1,0,1,1,1
6078877,0,1,1,0,1,0,1,1,1
6083372,0,0,1,1,1,0,1,0,0
6099261,0,1,1,1,1,0,1,0,0
6113542,0,1,1,0,1,0,1,0,0
6122386,0,1,1,0,0,0,1,0,0
6134381,0,0,1,0,0,0,0,0,1
6160675,0,1,1,1,1,0,1,0,0
6166581,0,1,1,1,1,0,1,1,1
6189294,0,0,1,1,1,0,1,0,0
6194187,0,0,1,0,1,0,0,1,0
6200190,0,0,1,1,0,0,1,1,0
7004112,0,0,1,0,1,0,0,0,0
7018880,0,1,1,0,0,0,1,0,1
7024839,0,1,1,1,1,0,1,1,0
7037609,0,0,1,1,1,0,1,0,1
7044571,0,1,1,1,1,0,1,1,1
7047640,0,1,1,0,0,0,1,0,0
7047871,0,0,1,0,0,0,1,0,1
7052111,0,0,1,0,0,0,0,1,1
7099211,0,1,1,1,0,0,1,0,1
7106503,0,0,1,0,0,0,1,0,1
7132905,0,1,1,0,1,0,1,1,0
7144447,0,0,1,0,0,0,1,0,0
7157340,0,0,1,0,1,0,0,0,0
7188402,0,0,1,0,1,0,0,0,1
7190770,0,0,1,1,1,0,1,1,1
7334352,0,1,1,0,1,0,1,1,1
7517535,0,1,1,1,1,1,1,1,1
7519861,0,1,1,0,1,0,0,1,1
7526171,0,1,1,1,1,0,1,1,1
7547326,0,1,1,0,1,0,1,0,1
7554777,0,1,1,1,1,0,1,1,1
7561061,0,1,1,0,1,0,0,1,0
8012429,0,1,1,0,1,0,1,1,1
8023046,0,1,1,1,1,0,1,0,1
8032609,0,0,1,0,1,0,0,0,1
8052144,0,1,1,0,0,0,0,0,0
8053472,0,1,1,0,0,0,1,0,0
8055105,0,1,1,1,1,0,1,1,1
8070948,0,0,1,1,0,0,0,0,1
8078818,0,1,1,1,1,0,1,1,1
8083909,1,1,1,0,1,0,0,1,0
8091670,0,1,1,1,1,0,1,1,1
8114712,0,1,1,0,1,0,1,1,1
8836199,0,0,1,0,0,0,0,0,1
8953028,0,0,1,0,1,0,1,1,0
9079542,0,0,1,0,0,0,0,0,1
15104771,0,0,1,0,1,0,0,1,0
15233240,0,0,1,0,1,0,0,1,1
15387988,0,1,1,1,1,0,1,1,1
15472798,0,1,1,0,0,0,0,0,0
15522881,0,0,1,0,0,0,0,0,0
15623895,0,0,1,0,1,0,0,0,0
15676539,0,1,1,0,0,0,1,0,1
15724412,0,0,1,0,1,0,0,1,0
15964208,0,0,1,1,1,0,1,1,1
16093809,0,0,1,0,0,0,1,0,0
16166027,0,1,1,0,1,0,0,0,0
16208027,0,0,1,0,0,0,1,0,0
16705618,0,1,1,0,1,0,0,0,0
16718868,0,1,1,0,1,0,0,0,1
16737504,0,1,1,0,0,0,0,0,0
16770513,1,0,1,0,0,0,0,0,0
16798142,0,0,1,0,1,0,0,0,0
16828469,0,0,1,0,1,0,1,0,0
16920126,0,0,1,0,0,0,1,0,0
16944019,0,0,1,0,1,0,1,0,1
17254889,0,0,1,0,0,0,0,0,1
17392135,0,0,1,0,1,0,1,1,0
17419532,0,0,1,0,1,0,0,0,0
17695024,0,1,1,0,1,0,1,1,0
17710856,0,1,1,0,1,0,0,0,0
17753369,0,1,1,0,0,0,0,0,0
17855008,0,0,1,0,1,0,1,0,0
17868076,0,0,1,0,0,0,0,0,0
17906405,0,1,1,1,1,0,0,1,1
17930165,0,0,1,0,0,0,0,0,1
18082669,1,1,1,0,1,0,1,0,1
18092072,0,0,1,0,1,0,1,0,0
18200865,0,0,1,0,1,0,1,0,1
18228049,0,0,1,1,0,1,1,0,0
18326272,0,1,1,0,1,0,0,1,1
18482844,0,0,1,1,1,0,1,0,1
18729061,0,0,1,0,1,0,0,0,0
18878868,0,1,1,0,0,0,0,0,1
18935437,0,1,1,0,1,0,1,1,0
19058924,0,1,1,1,1,0,1,0,1
19204395,0,0,1,0,0,0,0,0,0
19264670,0,1,1,0,1,0,0,0,1
19706852,0,1,1,1,1,0,1,1,0
19811827,1,1,1,0,0,0,0,0,0
19836170,0,1,1,0,0,0,1,1,0
20196226,0,1,1,1,1,0,1,1,0
20212460,0,0,1,0,1,0,0,1,1
20235354,0,0,1,0,1,0,1,0,0
20429700,0,1,1,0,1,0,1,1,1
20551453,0,0,1,0,0,0,0,1,1
20589594,0,1,1,0,0,0,1,0,0
20704169,0,1,1,0,0,0,1,0,1
20766119,0,1,1,0,1,0,0,0,0
21096177,0,0,1,0,1,0,0,0,1
21241013,0,1,1,1,0,0,1,0,0
21462338,0,1,1,0,0,0,1,1,0
21532510,0,1,1,0,1,0,0,0,0
21658182,0,0,1,0,1,0,0,0,1
21873591,1,1,1,0,1,1,0,0,1
21904271,0,1,1,0,0,0,0,1,1
22332167,0,0,1,1,0,0,1,1,0
22603963,0,0,1,1,0,0,1,0,0
22715379,0,0,1,0,0,1,0,0,1
22899306,0,0,1,0,1,0,0,0,1
23154420,0,0,1,0,0,0,0,0,0
23181209,0,1,1,0,1,0,1,1,1
23457989,0,0,1,0,1,0,1,1,0
23565955,0,0,1,0,0,0,1,0,0
23681745,0,0,1,0,0,0,1,1,1
23721632,0,0,1,0,0,0,0,0,1
23852536,0,0,1,0,0,0,0,0,0
24060279,0,1,1,1,1,0,1,1,0
24174559,0,0,1,0,1,0,1,0,0
24229718,0,0,1,0,1,0,0,0,0
24418071,0,1,1,0,1,0,0,1,1
24557803,1,1,1,0,1,0,1,1,0
24575946,0,0,1,0,1,0,0,0,0
24889602,0,0,1,1,1,1,0,0,0
24950206,0,1,1,0,1,0,0,1,1
25139858,0,1,1,0,1,1,0,1,1
25210253,1,1,1,0,1,0,1,1,1
25344581,0,1,1,1,1,0,0,0,1
25558263,0,0,1,0,0,1,1,0,1
25669508,0,1,1,0,0,0,1,1,0
25789637,0,1,1,0,0,0,0,0,0
25973389,0,1,1,0,1,0,1,0,0
26061481,0,0,1,1,0,0,0,0,1
26297903,0,0,1,0,1,0,0,0,0
26725424,0,0,1,0,1,0,0,1,0
26928333,0,0,1,0,1,0,0,0,0
27059294,0,0,1,0,0,0,1,0,0
27220664,1,0,1,0,0,1,1,1,0
27302074,0,1,1,1,1,0,1,1,0
27400118,0,0,1,1,0,1,0,0,1
27572866,0,1,1,0,1,0,1,0,0
27839018,0,0,1,0,0,0,1,0,0
28041499,0,0,1,0,0,0,0,0,1
28696151,0,1,1,0,1,0,0,0,0
28781557,0,0,1,0,0,0,0,0,0
28819738,0,0,1,0,1,0,0,0,1
28969533,0,1,1,1,1,0,0,1,0
29044476,0,1,1,0,0,0,1,0,1
29047073,0,0,1,0,1,0,0,0,0
29057361,0,1,1,1,1,0,1,1,0
29247319,0,1,1,0,1,0,1,0,0
29502135,0,1,1,0,1,0,0,0,1
29612769,0,1,1,0,1,1,1,0,0
29909090,0,0,1,0,1,0,0,0,0
29952819,1,1,1,0,1,0,1,0,1
30054860,0,0,1,1,0,0,1,0,0
30083786,0,1,1,0,1,0,0,0,0
30307235,0,1,1,0,0,1,1,1,0
30485809,0,1,1,1,1,0,1,1,1
30736300,0,1,1,0,0,0,0,0,0
30858708,0,0,1,1,0,0,1,0,0
30901227,0,0,1,0,0,0,0,0,1
30915631,0,1,1,0,1,0,1,1,1
30925275,0,1,1,0,0,0,1,0,1
