ID#,Topflight,balance,qual_miles,cc1_miles?,cc2_miles?,cc3_miles?,bonus_miles,bonus_trans,flight_miles_12mo,flight_trans_12,online_12,email,club_member,Any_cc_miles_12mo,Phone_sale
162,0,46823,0,1,0,0,5860,12,0,0,0,1,0,1,0
163,0,69110,0,1,0,0,18500,19,0,0,0,0,0,1,0
164,0,120700,0,1,0,0,55323,17,1500,1,0,1,0,1,0
165,1,152945,0,0,0,0,18604,6,3604,2,0,1,0,0,0
166,0,10302,0,1,0,0,30298,19,0,0,0,1,0,1,0
167,0,80331,0,1,0,0,15489,18,0,0,0,1,0,1,0
168,0,69882,0,1,0,0,180,6,0,0,0,0,0,1,0
169,0,95658,0,1,1,0,5269,18,0,0,0,0,1,1,0
170,1,402874,0,1,0,0,74800,15,0,0,0,1,0,1,0
171,1,370941,0,1,0,0,44615,16,0,0,0,1,1,1,0
172,0,21694,0,1,0,0,45230,20,700,2,0,1,0,1,0
173,0,71767,0,1,0,0,67335,13,0,0,0,0,0,1,0
174,0,35820,0,0,0,0,0,0,0,0,0,0,0,0,0
175,1,352508,0,1,0,0,23740,6,1000,2,0,1,1,1,0
176,1,149285,0,1,0,0,15656,13,3250,6,0,1,1,1,0
177,0,120941,0,1,0,0,42301,21,0,0,0,1,0,1,0
178,1,451673,0,1,0,0,43533,19,900,4,0,0,0,1,0
179,1,106961,0,1,0,0,7357,19,200,2,0,1,0,1,0
180,0,28086,1745,1,0,0,7368,12,0,0,0,0,1,1,0
181,0,60230,0,0,0,0,500,1,0,0,0,1,0,0,0
182,0,6663,0,0,0,0,1125,7,750,4,0,1,1,0,0
183,0,48145,0,1,0,0,10735,27,0,0,0,1,1,1,0
184,0,127807,0,1,0,0,17086,16,1500,3,0,0,0,1,0
186,0,32948,0,0,0,0,50,1,50,1,0,1,1,0,0
187,0,8933,0,1,0,0,8860,14,0,0,0,1,1,1,1
188,0,49885,0,1,0,0,23640,17,0,0,0,0,0,1,0
189,0,89999,0,1,0,0,11694,13,0,0,0,1,0,1,0
190,1,707079,0,1,0,0,57173,40,3450,12,1,1,1,1,0
191,0,211595,0,0,0,0,3250,8,0,0,0,0,0,0,0
192,0,410795,0,1,0,0,73679,31,0,0,0,0,0,1,0
193,0,72173,0,1,0,0,2954,13,232,1,0,1,1,1,0
194,1,123516,0,1,0,0,240544,31,500,2,0,1,1,1,1
195,1,143080,733,1,0,0,44373,38,3928,17,0,1,1,1,0
196,1,386061,0,1,0,0,107813,24,0,0,0,1,0,1,0
197,0,52738,2398,0,0,0,0,0,0,0,0,0,0,0,0
198,0,24523,0,0,0,0,100,1,0,0,0,1,1,0,0
199,0,134601,0,0,0,0,0,0,0,0,0,1,1,0,0
200,0,32742,0,1,0,0,61857,26,0,0,0,1,1,1,1
201,0,108341,0,1,0,0,19670,21,0,0,0,0,0,1,1
202,0,8669,0,1,1,0,11397,16,0,0,0,0,0,1,0
203,0,118940,0,1,0,0,36001,17,150,1,0,1,0,1,1
204,0,41385,0,1,0,0,26948,14,0,0,0,0,1,1,0
205,1,28621,0,1,0,0,13878,20,1400,10,0,1,0,1,0
206,0,16230,0,0,1,0,486,2,0,0,0,0,0,1,0
207,1,152881,0,1,0,0,79687,18,500,1,0,1,0,1,0
208,0,37348,0,0,0,0,0,0,0,0,0,0,0,0,0
209,0,51468,0,0,0,0,2278,9,0,0,0,1,0,0,1
210,0,95989,0,1,0,0,92159,30,1329,4,0,1,1,1,0
211,1,23184,1250,0,0,0,3694,12,1150,3,0,1,0,0,1
212,0,27381,0,1,0,0,18009,18,0,0,0,1,1,1,0
213,0,6854,0,0,0,0,0,0,0,0,0,0,0,0,0
214,0,201346,0,1,0,0,99612,34,600,4,0,1,0,1,1
215,0,31588,0,1,0,0,2947,8,0,0,0,1,0,1,0
216,0,204582,0,1,0,0,4671,14,0,0,0,0,0,1,0
217,0,8298,0,1,0,0,20087,15,0,0,0,1,0,1,1
218,0,10097,0,0,0,0,2700,1,2700,1,0,0,1,0,0
219,0,114356,0,1,0,0,27308,14,0,0,0,0,0,1,0
220,0,1344,0,1,1,0,1134,9,0,0,0,0,0,1,0
221,0,59797,0,1,0,0,7069,4,0,0,0,1,1,1,0
222,1,189053,0,1,0,0,24156,22,0,0,0,1,0,1,0
223,0,143481,0,1,0,0,45891,15,0,0,0,1,1,1,0
224,1,1302051,2706,1,0,0,90653,32,3050,7,0,1,1,1,0
225,1,229744,0,1,0,0,68754,35,550,2,0,1,1,1,0
226,0,75039,0,0,0,0,2750,10,250,1,1,1,1,0,0
227,0,20203,0,0,0,0,750,6,0,0,0,1,1,0,0
228,0,193976,0,1,0,0,10849,14,0,0,0,1,0,1,0
229,0,98224,0,1,0,0,5570,11,0,0,0,0,1,1,0
230,0,117329,0,1,1,0,6448,11,0,0,0,1,0,1,0
231,0,119239,0,1,0,0,36362,15,250,1,0,0,1,1,0
232,0,53715,0,1,0,0,7164,15,300,2,0,1,0,1,0
233,0,153747,0,1,0,0,58689,15,0,0,0,1,0,1,0
234,0,133309,0,1,0,0,23987,13,0,0,0,0,0,1,0
235,0,81380,0,1,0,0,56524,22,0,0,8,1,0,1,0
236,0,22074,0,1,1,0,6039,15,0,0,0,0,0,1,0
237,0,24051,0,1,0,0,8764,13,0,0,0,1,0,1,1
238,0,11449,0,1,0,0,9057,13,0,0,0,1,0,1,0
239,1,182317,0,1,0,0,19489,17,273,1,0,1,0,1,0
240,0,46184,0,0,0,0,3125,12,500,1,0,1,0,0,0
241,1,285116,0,1,0,0,8471,18,500,1,0,0,0,1,0
242,1,30962,0,1,0,0,97683,37,6400,18,0,1,1,1,1
243,0,15525,0,1,0,0,3853,6,0,0,0,1,0,1,0
244,0,163530,0,1,0,0,88987,25,0,0,0,1,0,1,0
245,0,2075,0,1,0,0,5002,14,0,0,0,1,0,1,0
246,0,227881,0,1,0,0,41186,13,0,0,0,0,0,1,0
247,0,118934,0,1,0,0,66222,37,2250,17,0,0,0,1,0
248,1,468175,0,1,0,0,141615,22,0,0,0,1,1,1,0
249,0,12526,0,1,0,0,56076,19,3850,11,0,1,0,1,0
250,1,176090,0,0,0,0,5300,9,2200,6,0,1,0,0,1
251,0,15221,0,1,0,0,4425,9,0,0,0,1,1,1,0
252,0,92875,0,1,0,0,60990,14,0,0,0,1,0,1,0
253,1,88702,0,1,0,0,9620,13,50,1,0,0,0,1,0
254,0,62882,0,1,0,0,1925,8,0,0,0,0,1,1,0
255,0,30015,0,0,0,0,5875,32,0,0,0,1,0,0,0
256,0,87293,0,1,0,0,21584,17,1050,2,0,1,0,1,0
257,0,45225,0,1,0,0,14711,15,0,0,0,0,0,1,0
258,1,96098,0,0,0,0,12500,4,0,0,0,0,0,0,0
259,0,236274,0,1,0,0,61515,12,0,0,0,1,1,1,0
260,1,423540,0,0,0,0,8534,14,2100,9,0,1,0,0,0
261,0,25279,0,1,0,0,14938,26,0,0,0,1,0,1,0
262,0,198137,0,0,0,0,6303,6,500,1,0,1,0,0,0
263,0,402312,0,1,0,0,77122,18,250,3,0,1,1,1,1
264,0,149733,0,0,0,0,605,3,500,1,0,0,0,0,0
265,0,70730,0,1,1,0,1319,12,0,0,0,0,0,1,0
266,0,164613,0,1,0,0,11095,13,0,0,0,0,0,1,1
267,0,47557,0,1,0,0,10267,18,200,3,0,1,0,1,0
268,1,35065,0,0,0,0,5400,5,1400,3,0,1,0,0,1
269,0,105769,0,1,0,0,23097,16,0,0,0,0,0,1,0
270,0,35900,0,0,0,0,0,0,0,0,0,0,0,0,0
271,0,43088,0,0,0,0,4000,1,0,0,0,1,0,0,0
272,0,58703,0,1,0,0,46473,34,950,4,0,1,0,1,0
273,1,70354,0,1,0,0,120907,22,0,0,0,1,1,1,1
274,0,145726,0,1,0,0,19019,15,0,0,0,1,0,1,0
275,0,121639,0,1,0,0,67286,7,0,0,0,0,0,1,0
276,0,70676,0,1,0,0,74993,15,0,0,0,0,0,1,0
277,0,18263,0,0,0,0,2100,4,1000,2,0,1,0,0,1
278,0,51250,0,0,0,0,0,0,0,0,0,1,0,0,1
279,1,1704838,0,0,0,0,17108,32,4823,23,0,1,1,0,0
280,0,12895,0,0,0,0,0,0,0,0,0,0,1,0,0
281,0,120073,0,1,0,0,12423,29,0,0,0,1,1,1,1
282,0,2003,0,0,0,0,980,2,0,0,0,0,0,0,0
283,1,22652,0,1,0,0,57642,14,0,0,0,1,0,1,0
284,1,168515,0,0,0,0,4600,4,0,0,0,1,0,0,1
285,1,44873,0,1,0,0,38740,18,850,2,0,1,1,1,0
286,0,190542,1745,1,0,0,8487,9,0,0,0,1,0,1,0
287,1,156230,0,0,0,0,5300,8,1300,5,0,1,0,0,0
288,0,79211,0,1,0,0,36776,14,0,0,0,1,0,1,0
289,0,98006,0,1,0,0,46349,20,2309,3,0,0,0,1,0
290,0,33982,0,1,0,0,68320,17,0,0,0,1,0,1,0
291,0,62998,0,1,0,0,11326,24,0,0,1,1,0,1,0
292,0,137908,0,1,0,0,57713,19,0,0,5,1,0,1,0
293,0,45586,0,1,0,0,37459,15,0,0,0,1,1,1,0
294,1,568174,0,1,0,0,67121,16,1000,2,0,1,0,1,0
295,1,145993,0,1,0,0,95082,17,500,1,0,1,1,1,1
296,0,294881,0,1,0,0,84800,20,0,0,0,1,0,1,0
297,0,12195,0,0,0,0,3875,17,0,0,0,1,0,0,0
298,0,16622,0,0,0,0,0,0,0,0,0,1,1,0,0
299,0,141813,0,1,0,0,39743,14,0,0,0,0,0,1,0
300,1,58139,500,1,0,0,38408,16,150,1,0,0,0,1,0
301,0,238868,0,1,0,0,20521,16,0,0,0,0,0,1,1
302,1,149286,0,1,0,0,42141,30,2400,13,0,1,1,1,0
303,0,35945,0,0,0,0,0,0,0,0,0,1,1,0,0
304,0,28218,0,0,0,0,750,4,750,4,0,0,1,0,0
305,0,7061,0,0,1,0,7100,12,0,0,0,0,0,1,0
306,0,217846,0,1,0,0,49198,20,0,0,0,1,0,1,1
307,0,364387,0,1,0,0,28200,27,0,0,0,1,0,1,0
308,0,125465,0,1,0,0,14750,9,0,0,0,0,0,1,0
309,0,94222,0,1,0,0,52081,24,0,0,0,1,0,1,0
310,1,123370,0,1,0,0,7478,16,0,0,0,0,1,1,0
311,0,383030,2998,1,1,0,8001,25,3226,15,0,1,1,1,0
312,0,112969,0,1,0,0,7572,7,0,0,0,0,0,1,0
313,0,46430,0,0,0,0,2100,4,500,1,0,1,0,0,0
314,0,179433,0,1,0,0,30476,15,0,0,0,0,0,1,0
315,0,20746,0,1,0,0,37534,17,0,0,0,1,0,1,0
316,1,61455,0,1,0,0,28765,17,0,0,0,1,1,1,0
317,1,714717,0,1,0,0,119162,20,1750,4,0,1,0,1,0
318,1,179559,0,1,0,0,17819,12,1000,2,0,0,0,1,0
319,1,119977,2556,0,0,0,9275,16,1400,4,0,1,1,0,1
320,0,16928,0,0,0,0,1000,1,0,0,0,1,0,0,0
321,0,65316,0,1,0,0,3917,10,0,0,0,1,0,1,0
322,1,766419,0,0,0,0,11398,3,398,1,0,1,1,0,0
323,1,52060,0,0,0,0,6500,3,0,0,0,1,0,0,0
324,0,84700,0,1,0,0,13544,17,0,0,0,0,0,1,1
325,1,205523,0,1,0,0,32404,20,1000,2,0,1,0,1,0
326,0,20457,0,1,0,0,51399,16,0,0,0,1,0,1,0
327,1,278727,0,0,0,0,21666,19,9166,16,0,1,0,0,0
328,0,50325,0,1,0,0,11930,14,0,0,0,1,0,1,0
329,0,455228,0,0,0,0,258,2,258,2,0,0,1,0,0
330,0,73849,0,1,0,0,11793,21,0,0,0,0,0,1,0
331,1,388455,0,1,0,0,114329,26,6078,8,2,1,1,1,0
332,1,138999,0,1,0,0,63738,29,600,4,0,1,0,1,0
333,0,65573,0,0,0,0,3875,23,0,0,0,1,0,0,0
334,0,172288,0,1,0,0,66879,10,0,0,0,1,0,1,0
335,0,47958,0,0,0,0,0,0,0,0,0,0,0,0,0
337,0,133002,0,1,0,0,15672,21,150,1,1,1,0,1,0
338,0,42363,0,0,0,0,0,0,0,0,0,0,0,0,0
339,0,133370,0,1,0,0,44299,18,0,0,0,1,0,1,0
340,1,278457,6727,1,0,0,57313,27,1000,2,0,1,1,1,0
341,0,105166,1374,1,0,0,37663,22,0,0,0,1,0,1,0
342,0,34956,0,0,0,0,0,0,0,0,0,0,1,0,0
343,0,46963,0,0,0,0,1500,5,0,0,0,0,0,0,0
344,0,55788,0,1,0,0,24831,12,0,0,0,1,0,1,0
345,1,174910,0,1,0,0,63960,20,200,1,0,1,0,1,1
346,0,13812,0,1,0,0,15149,39,0,0,0,1,0,1,0
347,0,38718,0,0,0,0,0,0,0,0,0,0,0,0,0
348,1,112501,0,0,0,1,19140,11,0,0,4,1,0,1,1
349,0,54005,0,0,0,0,1500,5,0,0,0,0,1,0,0
350,1,66863,0,1,0,0,36532,9,0,0,0,0,1,1,0
351,0,93045,0,1,0,0,17636,15,0,0,0,1,0,1,0
352,0,197328,0,1,0,0,60447,12,0,0,0,1,0,1,0
353,0,151301,0,1,0,0,37772,14,0,0,0,1,0,1,0
354,1,87938,0,0,0,0,11268,2,0,0,0,1,1,0,0
355,0,15283,0,0,0,0,1250,3,0,0,0,0,0,0,0
356,0,105423,0,1,0,0,20802,14,0,0,0,0,0,1,0
357,0,312512,0,0,0,0,100,1,100,1,0,1,1,0,0
358,0,13680,0,0,0,0,0,0,0,0,0,1,0,0,0
359,0,41279,0,1,0,0,14462,20,1650,6,0,1,0,1,0
360,0,25313,0,1,0,0,7491,13,0,0,0,0,0,1,0
361,0,148691,0,0,0,0,3000,3,1000,2,0,0,1,0,0
362,0,224081,0,1,0,0,40108,15,150,2,0,1,0,1,0
363,0,51088,0,0,0,0,0,0,0,0,0,0,0,0,0
364,0,95305,0,1,0,0,3189,13,0,0,0,1,1,1,0
365,1,22080,0,0,0,0,12200,47,1950,9,0,1,0,0,0
366,0,11660,0,0,0,0,140,1,0,0,0,0,1,0,0
367,1,222227,0,1,0,0,38127,14,500,1,0,1,0,1,0
368,0,16200,0,0,0,0,160,1,0,0,0,0,0,0,0
369,0,38227,0,1,0,0,8612,13,0,0,0,1,0,1,0
370,1,80214,0,0,0,0,500,1,500,1,0,1,1,0,0
371,1,53985,0,0,0,0,1000,1,0,0,0,1,0,0,0
372,0,14414,0,0,0,0,0,0,0,0,0,0,0,0,0
373,0,44457,0,0,0,0,225,3,0,0,0,1,0,0,1
374,0,161813,0,1,0,0,126941,20,0,0,0,0,0,1,0
375,0,138020,0,1,0,0,6568,15,0,0,0,1,0,1,0
376,1,107707,0,1,0,0,19407,25,2211,12,0,1,0,1,0
377,0,95656,0,1,0,0,62666,27,0,0,0,1,0,1,1
378,0,149678,0,0,0,0,0,0,0,0,0,1,0,0,0
379,0,15113,0,1,0,0,10574,19,0,0,0,0,1,1,0
380,1,231,0,0,0,0,29900,24,5300,15,1,1,0,0,0
381,0,22380,0,0,0,0,300,2,200,1,0,1,0,0,0
382,0,146263,0,1,0,0,20853,21,350,1,0,1,0,1,0
383,0,24598,0,0,0,0,0,0,0,0,0,0,0,0,0
384,0,76150,0,1,0,0,36907,17,0,0,0,1,0,1,0
385,1,377252,0,1,0,0,230629,30,6393,13,0,1,0,1,0
386,0,167670,0,1,1,0,15907,13,0,0,0,0,1,1,0
387,0,86853,0,1,0,0,42293,21,500,1,0,0,1,1,0
388,1,479989,0,1,0,0,66516,26,1600,6,0,1,0,1,0
389,0,28193,0,1,0,1,103456,32,0,0,0,1,0,1,1
390,0,67086,0,1,0,0,18157,16,0,0,0,1,0,1,0
391,0,35969,0,1,0,0,11665,21,0,0,0,0,1,1,0
393,0,53790,0,1,0,0,28717,19,0,0,0,0,0,1,0
394,0,198859,0,1,0,0,17855,14,500,1,0,1,0,1,0
395,0,91939,0,1,0,0,1244,8,0,0,0,1,1,1,0
396,0,88449,0,1,0,0,11402,18,1450,5,0,1,1,1,0
397,0,54842,0,1,0,0,20792,15,0,0,0,1,0,1,1
398,0,11189,0,1,1,0,9044,20,0,0,0,1,1,1,0
399,0,16999,0,0,0,0,140,1,0,0,0,0,1,0,0
400,0,114713,0,0,0,0,7142,18,0,0,0,1,1,0,0
401,0,1612,0,1,1,0,955,9,0,0,0,0,0,1,0
402,0,97763,0,0,0,0,2000,9,0,0,0,1,0,0,0
403,0,15129,0,0,0,0,0,0,0,0,0,1,0,0,0
404,0,15669,0,0,0,0,1205,4,0,0,0,0,1,0,1
405,0,26720,0,1,0,0,913,3,0,0,0,0,1,1,0
406,0,205292,0,1,0,0,5471,13,0,0,0,1,1,1,0
407,0,56635,0,0,0,0,1024,8,359,2,0,1,1,0,0
408,0,127297,0,1,0,0,8510,12,0,0,0,1,1,1,0
409,0,8927,0,0,0,0,0,0,0,0,0,0,1,0,0
