row#,user_id,vehicle_model_id,package_id,travel_type_id,from_area_id,to_area_id,from_city_id,to_city_id,from_date,to_date,online_booking,mobile_site_booking,booking_created,from_lat,from_long,to_lat,to_long,car_cancellation
18,7500,12,,2,112,393,,,1/2/13 8:38,,0,0,1/1/13 22:41,12.93331,77.56666,13.19956,77.70688,0
19,19322,12,,2,515,186,,,1/2/13 6:28,,1,0,1/2/13 0:41,12.97896,77.67345,12.80257,77.70453,1
20,12827,12,,2,793,949,,,1/2/13 9:36,,0,0,1/2/13 7:24,13.02239,77.59492,12.98275,77.61582,0
21,22223,12,,2,455,1183,,,1/2/13 11:31,,0,0,1/2/13 8:05,12.999874,77.67812,12.965563,77.668576,0
22,15611,12,,2,516,393,,,1/2/13 10:33,,0,0,1/2/13 8:05,13.0056,77.65799,13.19956,77.70688,0
23,21235,12,,2,393,217,,,1/24/13 11:16,,1,0,1/2/13 8:45,13.19956,77.70688,13.0011,77.6235,0
24,15529,12,2,3,217,,,,1/2/13 14:24,,0,0,1/2/13 9:04,13.0011,77.6235,,,0
25,22226,12,,2,344,585,,,1/2/13 16:48,,1,0,1/2/13 9:21,12.94788,77.67092,12.97677,77.5727,0
26,22229,12,2,3,1053,,,,1/2/13 11:31,,0,0,1/2/13 10:29,12.912799,77.589784,,,0
27,22230,85,,2,1301,393,,,1/2/13 17:31,,0,0,1/2/13 10:48,12.937222,77.626915,13.19956,77.70688,0
28,21333,28,,2,1223,585,,,1/2/13 21:36,,0,0,1/2/13 10:52,13.012419,77.555151,12.97677,77.5727,0
29,22234,12,,2,58,1069,,,1/2/13 12:43,,0,0,1/2/13 11:58,12.88963,77.60119,12.949764,77.643524,0
30,18777,12,1,3,293,,,,1/2/13 17:02,1/2/13 0:00,1,0,1/2/13 12:15,12.849482,77.663187,,,0
31,22196,12,,2,1194,409,,,1/2/13 13:55,,0,0,1/2/13 12:30,13.00446,77.56923,13.07746,77.60668,0
32,1112,12,,2,353,393,,,1/2/13 20:09,,1,0,1/2/13 12:59,13.03241,77.59914,13.19956,77.70688,0
33,22239,85,,2,393,1056,,,1/2/13 19:26,1/3/13 0:00,1,0,1/2/13 14:06,13.19956,77.70688,12.919199,77.60931,0
34,19545,12,,2,1068,105,,,1/2/13 17:31,,1,0,1/2/13 14:46,13.044009,77.606805,13.01766,77.64503,0
35,22243,12,,2,479,393,,,1/3/13 5:45,,0,0,1/2/13 15:12,13.02298,77.60922,13.19956,77.70688,0
36,22245,12,,2,1084,112,,,1/2/13 23:02,,0,0,1/2/13 15:45,12.892657,77.581866,12.93331,77.56666,0
37,22252,12,,2,393,1237,,,1/2/13 21:21,,0,0,1/2/13 18:04,13.19956,77.70688,12.92645,77.61206,0
38,16903,12,,2,293,292,,,1/2/13 19:26,,0,0,1/2/13 18:14,12.849482,77.663187,12.93944,77.62923,0
39,22255,12,,2,352,393,,,1/3/13 4:04,,0,0,1/2/13 19:19,13.03369,77.62821,13.19956,77.70688,0
40,33542,12,,2,393,171,,,1/2/13 22:19,,0,0,1/2/13 19:25,13.19956,77.70688,12.98479,77.66128,0
41,21148,12,,2,585,458,,,1/2/13 21:50,,0,0,1/2/13 20:16,12.97677,77.5727,13.00037,77.72746,0
42,17888,12,,2,849,1312,,,1/3/13 8:09,,1,0,1/2/13 20:38,12.95434,77.60072,12.839879,77.658145,0
43,21761,12,,2,392,297,,,1/2/13 22:33,,1,0,1/2/13 20:39,12.986284,77.735245,12.99789,77.61488,0
44,22265,12,,2,156,585,,,1/3/13 6:28,,0,0,1/2/13 22:09,13.02622,77.70143,12.97677,77.5727,0
45,22266,12,,2,1192,968,,,1/3/13 6:00,,0,0,1/2/13 22:14,12.97677,77.5727,12.96555,77.61912,0
46,21941,85,,2,585,112,,,1/3/13 9:07,,0,0,1/3/13 7:36,12.97677,77.5727,12.93331,77.56666,0
47,22274,12,,2,572,793,,,1/3/13 12:00,,0,0,1/3/13 9:45,12.91873,77.61494,13.02239,77.59492,0
48,41448,12,1,3,767,,,,1/5/13 14:24,1/5/13 0:00,1,0,1/3/13 10:32,12.9122,77.51043,,,0
49,21343,85,,2,410,393,,,1/4/13 8:24,,0,0,1/3/13 13:27,13.05121,77.54113,13.19956,77.70688,0
50,22282,65,,2,450,393,,,1/5/13 7:12,1/6/13 0:00,1,0,1/3/13 15:10,12.9334,77.62652,13.19956,77.70688,0
51,22285,12,,2,1085,393,,,1/4/13 4:19,,1,0,1/3/13 16:01,12.911942,77.651582,13.19956,77.70688,0
52,22286,12,,2,1388,1390,,,1/3/13 18:00,,1,0,1/3/13 16:16,12.919722,77.592806,12.969368,77.641302,0
53,22063,12,,2,585,767,,,1/3/13 22:33,,0,0,1/3/13 17:49,12.97677,77.5727,12.9122,77.51043,0
54,22293,12,,2,1183,393,,,1/4/13 8:24,,0,0,1/3/13 18:14,12.965563,77.668576,13.19956,77.70688,0
55,9506,12,,2,572,708,,,1/4/13 6:28,,0,0,1/3/13 21:08,12.91873,77.61494,13.03504,77.62341,0
56,22303,12,,2,849,393,,,1/5/13 6:57,,0,0,1/3/13 23:13,12.95434,77.60072,13.19956,77.70688,0
57,1186,12,,2,83,393,,,1/4/13 4:19,,0,0,1/3/13 23:14,12.92415,77.67229,13.19956,77.70688,0
58,22297,12,,2,1166,1096,,,1/4/13 12:43,,0,0,1/4/13 10:16,12.997198,77.669514,12.96519,77.71932,0
59,20109,12,,2,667,585,,,1/4/13 14:24,,0,0,1/4/13 10:29,12.97165,77.51316,12.97677,77.5727,0
60,18046,12,,2,393,1136,,,1/4/13 16:19,,1,0,1/4/13 10:47,13.19956,77.70688,12.99049,77.69798,0
61,22236,24,2,3,1191,,,,1/4/13 12:28,,0,0,1/4/13 11:24,13.03017,77.56684,,,0
62,22318,65,,1,293,,15,32,1/5/13 7:55,1/6/13 0:00,0,0,1/4/13 12:43,12.849482,77.663187,,,0
63,19126,12,2,3,145,,,,1/4/13 15:50,,0,0,1/4/13 14:23,12.99067,77.65587,,,0
64,22325,85,,2,1384,1298,,,1/7/13 6:28,,0,0,1/4/13 14:54,13.02853,77.54625,12.879678,77.646355,0
65,22327,12,,2,1095,1371,,,1/5/13 12:14,,0,0,1/4/13 15:19,12.92415,77.67229,13.000418,77.674835,0
66,22335,85,,2,293,393,,,1/5/13 6:43,,0,0,1/4/13 17:06,12.849482,77.663187,13.19956,77.70688,0
67,756,12,,2,83,849,,,1/4/13 19:26,,0,0,1/4/13 17:28,12.92415,77.67229,12.95434,77.60072,0
68,2017,12,,2,571,136,,,1/4/13 22:04,,0,0,1/4/13 18:07,12.95185,77.69642,12.90796,77.62418,0
69,22338,12,,2,852,1078,,,1/4/13 18:57,,0,0,1/4/13 18:07,12.98758,77.60512,12.992123,77.581667,0
70,20690,12,,2,271,455,,,1/4/13 22:19,,0,0,1/4/13 18:20,12.95641,77.64076,12.999874,77.67812,0
71,15485,12,,2,1217,410,,,1/5/13 16:33,,1,0,1/4/13 18:26,13.04937,77.51179,13.05121,77.54113,0
72,22343,28,,2,768,393,,,1/5/13 5:31,,0,0,1/4/13 19:04,12.98999,77.55332,13.19956,77.70688,0
73,22347,12,,2,1044,393,,,1/5/13 3:36,,1,0,1/4/13 20:08,12.968887,77.644329,13.19956,77.70688,0
74,22352,28,2,3,115,,,,1/6/13 1:26,1/6/13 0:00,1,0,1/4/13 21:02,12.99319,77.54472,,,0
75,22360,12,,2,393,1033,,,1/7/13 8:09,,1,0,1/4/13 22:46,13.19956,77.70688,12.906358,77.599547,0
76,19163,12,,2,293,1166,,,1/5/13 12:28,,1,0,1/4/13 23:36,12.849482,77.663187,12.997198,77.669514,0
77,22367,12,,2,1384,839,,,1/6/13 6:43,,0,0,1/5/13 9:02,13.02853,77.54625,12.85773,77.78642,0
78,20430,12,1,3,89,,,,1/5/13 10:48,,0,0,1/5/13 9:28,12.96519,77.71932,,,0
79,22369,12,1,3,1170,,,,1/5/13 12:00,1/5/13 0:00,1,0,1/5/13 10:28,12.98793,77.52612,,,0
80,22377,12,,2,974,393,,,1/6/13 4:33,,1,0,1/5/13 11:48,13.07557,77.55904,13.19956,77.70688,0
81,15272,28,,2,585,767,,,1/6/13 11:16,,1,0,1/5/13 13:27,12.97677,77.5727,12.9122,77.51043,0
82,1055,12,,2,352,168,,,1/6/13 5:02,,0,0,1/5/13 13:47,13.03369,77.62821,12.99313,77.59828,0
83,22381,12,,2,1056,625,,,1/5/13 15:21,,0,0,1/5/13 13:54,12.919199,77.60931,12.95431,77.6553,0
84,16934,12,2,3,293,,,,1/5/13 15:36,,0,0,1/5/13 14:38,12.849482,77.663187,,,0
85,18898,12,,2,363,393,,,1/7/13 4:48,,0,0,1/5/13 15:10,12.99287,77.71662,13.19956,77.70688,0
86,18898,85,,2,393,363,,,1/25/13 22:33,,0,0,1/5/13 15:14,13.19956,77.70688,12.99287,77.71662,0
87,18310,12,,2,814,570,,,1/5/13 16:19,1/6/13 0:00,1,0,1/5/13 15:15,12.908993,77.6889,12.94832,77.5882,0
88,22346,12,,2,784,393,,,1/6/13 4:19,,0,0,1/5/13 15:33,12.96634,77.60709,13.19956,77.70688,0
89,20916,12,,2,849,601,,,1/5/13 23:02,,0,0,1/5/13 16:31,12.95434,77.60072,13.02434,77.56593,0
90,22388,12,,2,393,515,,,1/5/13 23:31,,1,0,1/5/13 16:49,13.19956,77.70688,12.97896,77.67345,0
91,22389,85,,2,571,667,,,1/5/13 18:00,,0,0,1/5/13 16:59,12.95185,77.69642,12.97165,77.51316,0
92,16425,12,,2,1383,567,,,1/6/13 8:24,,0,0,1/5/13 18:16,12.930451,77.685822,12.95764,77.6043,0
93,18275,12,,2,142,567,,,1/6/13 8:09,,1,0,1/5/13 19:19,12.91281,77.60923,12.95764,77.6043,0
94,22357,12,,2,218,271,,,1/6/13 10:33,,0,0,1/5/13 19:24,12.96799,77.58882,12.95641,77.64076,0
95,22397,12,,2,393,1371,,,1/6/13 10:04,,0,0,1/5/13 20:02,13.19956,77.70688,13.000418,77.674835,0
96,22404,12,,2,1086,852,,,1/6/13 0:57,,0,0,1/5/13 21:48,12.907487,77.64729,12.98758,77.60512,0
97,756,12,,2,603,83,,,1/5/13 23:31,,0,0,1/5/13 22:47,12.97357,77.61043,12.92415,77.67229,0
98,22412,12,,1,344,,15,160,1/6/13 7:55,1/6/13 8:00,0,0,1/5/13 23:51,12.94788,77.67092,,,0
99,22416,65,,2,452,393,,,1/6/13 12:57,,0,0,1/6/13 1:27,12.95278,77.59088,13.19956,77.70688,0
100,22417,12,,2,1038,393,,,1/6/13 13:40,,0,0,1/6/13 3:32,12.981266,77.637162,13.19956,77.70688,0
101,19900,12,,2,1111,1349,,,1/6/13 8:38,,0,0,1/6/13 7:19,12.90796,77.62418,12.993686,77.587527,0
102,4099,12,,2,393,542,,,1/7/13 5:31,,0,0,1/6/13 7:56,13.19956,77.70688,12.93823,77.62289,0
103,21901,12,2,3,58,,,,1/6/13 12:00,1/6/13 0:00,1,0,1/6/13 8:31,12.88963,77.60119,,,0
104,22422,12,1,3,450,,,,1/6/13 12:57,,0,0,1/6/13 8:42,12.9334,77.62652,,,0
105,22424,12,,2,433,1084,,,1/6/13 16:33,,0,0,1/6/13 9:19,12.91226,77.59773,12.892657,77.581866,0
106,21727,85,,2,393,793,,,1/6/13 21:36,,0,0,1/6/13 12:07,13.19956,77.70688,13.02239,77.59492,0
107,22434,12,,2,561,393,,,1/7/13 19:55,,0,0,1/6/13 12:11,13.00983,77.62967,13.19956,77.70688,0
108,22437,12,,2,448,1192,,,1/6/13 18:57,,0,0,1/6/13 13:11,12.92732,77.63575,12.97677,77.5727,0
109,7500,28,2,3,112,,,,1/6/13 15:07,,0,0,1/6/13 13:12,12.93331,77.56666,,,0
110,22440,23,,2,1379,393,,,1/6/13 17:02,,1,0,1/6/13 14:01,13.062088,77.473672,13.19956,77.70688,0
111,22442,85,,2,1181,393,,,1/6/13 17:16,,0,0,1/6/13 14:05,12.97896,77.67345,13.19956,77.70688,0
112,22448,12,,2,1056,1021,,,1/6/13 18:57,,0,0,1/6/13 16:46,12.919199,77.60931,13.02853,77.54625,0
113,22236,12,,2,393,949,,,1/7/13 4:19,,1,0,1/6/13 16:53,13.19956,77.70688,12.98275,77.61582,0
114,15800,12,,2,689,601,,,1/6/13 18:57,,0,0,1/6/13 17:13,12.97672,77.64927,13.02434,77.56593,0
115,22456,12,,2,1189,1384,,,1/7/13 8:24,1/8/13 0:00,1,0,1/6/13 20:10,12.91873,77.61494,13.02853,77.54625,0
116,22460,12,,2,1059,393,,,1/7/13 6:14,,0,0,1/6/13 20:49,12.90881,77.631127,13.19956,77.70688,0
117,17008,12,,2,1084,1384,,,1/7/13 9:21,,0,0,1/6/13 22:10,12.892657,77.581866,13.02853,77.54625,0
118,22321,12,,2,1333,393,,,1/9/13 6:28,,0,0,1/6/13 23:04,12.895675,77.602293,13.19956,77.70688,0
119,22466,12,,2,601,681,,,1/7/13 8:24,,0,0,1/7/13 7:36,13.02434,77.56593,13.09925,77.38845,0
120,16239,12,,2,1017,1334,,,1/7/13 10:04,,1,0,1/7/13 8:26,13.11084,77.60074,13.050994,77.593661,0
121,22470,12,,2,571,168,,,1/7/13 12:43,,0,0,1/7/13 8:36,12.95185,77.69642,12.99313,77.59828,0
122,4227,12,,2,339,392,,,1/7/13 9:50,,0,0,1/7/13 8:40,12.91028,77.64512,12.986284,77.735245,0
123,22471,12,,2,297,1389,,,1/7/13 10:04,,1,0,1/7/13 8:47,12.99789,77.61488,12.919785,77.577031,0
124,22476,65,,2,410,393,,,1/8/13 15:07,,0,0,1/7/13 10:42,13.05121,77.54113,13.19956,77.70688,0
125,22372,12,,2,846,585,,,1/7/13 15:07,,0,0,1/7/13 10:58,12.98635,77.58203,12.97677,77.5727,0
126,22212,12,,2,393,1096,,,1/9/13 11:45,,1,0,1/7/13 11:07,13.19956,77.70688,12.96519,77.71932,0
127,19280,12,,2,1063,156,,,1/7/13 12:43,,0,0,1/7/13 11:19,12.934477,77.611284,13.02622,77.70143,0
128,22481,12,,2,83,529,,,1/7/13 16:33,,0,0,1/7/13 12:33,12.92415,77.67229,12.93615,77.61322,0
129,16801,12,1,3,1054,,,,1/7/13 16:04,1/7/13 0:00,1,0,1/7/13 12:34,12.90184,77.581587,,,0
130,868,85,,2,561,393,,,1/7/13 17:02,,0,0,1/7/13 12:49,13.00983,77.62967,13.19956,77.70688,0
131,22482,12,,2,1373,393,,,1/7/13 15:50,,0,0,1/7/13 13:12,13.037255,77.58166,13.19956,77.70688,0
132,22486,12,,2,293,83,,,1/7/13 15:21,,0,0,1/7/13 14:16,12.849482,77.663187,12.92415,77.67229,0
133,18476,12,,2,220,393,,,1/8/13 3:50,,1,0,1/7/13 15:31,12.99722,77.62003,13.19956,77.70688,0
134,22484,12,,2,625,758,,,1/7/13 16:19,,0,0,1/7/13 16:02,12.95431,77.6553,12.98768,77.59851,0
135,15676,12,,2,393,1096,,,1/7/13 22:33,,0,0,1/7/13 16:08,13.19956,77.70688,12.96519,77.71932,0
136,22486,28,,2,83,393,,,1/7/13 17:02,,0,0,1/7/13 16:11,12.92415,77.67229,13.19956,77.70688,0
137,22325,12,2,3,1298,,,,1/8/13 9:36,,0,0,1/7/13 16:53,12.879678,77.646355,,,0
138,22489,85,,2,243,1059,,,1/7/13 21:07,,0,0,1/7/13 17:07,13.24373,77.70915,12.90881,77.631127,0
139,19545,85,,2,105,1068,,,1/8/13 10:33,,1,0,1/7/13 17:32,13.01766,77.64503,13.044009,77.606805,0
140,8919,12,1,3,293,,,,1/7/13 18:57,1/7/13 0:00,1,0,1/7/13 17:33,12.849482,77.663187,,,0
141,22491,54,,2,357,463,,,1/7/13 18:57,,0,0,1/7/13 17:46,13.03064,77.6491,12.96037,77.58132,0
142,22493,28,,2,1045,585,,,1/7/13 21:36,,1,0,1/7/13 18:56,12.940238,77.589161,12.97677,77.5727,0
143,12550,12,,2,393,1261,,,1/8/13 19:26,,0,0,1/7/13 19:14,13.19956,77.70688,13.08324,77.480214,0
144,22496,12,,2,25,1108,,,1/7/13 21:36,,0,0,1/7/13 19:46,12.98059,77.57475,13.00097,77.65079,0
145,22499,12,,2,184,1384,,,1/11/13 6:00,1/12/13 0:00,1,0,1/7/13 20:41,12.95871,77.56337,13.02853,77.54625,0
146,20199,65,2,3,1010,,,,1/8/13 10:04,,0,0,1/7/13 20:57,12.96691,77.74935,,,0
147,17888,12,1,3,849,,,,1/8/13 7:40,1/8/13 0:00,1,0,1/7/13 22:17,12.95434,77.60072,,,0
148,12479,12,,2,1096,455,,,1/8/13 18:43,,0,0,1/8/13 0:51,12.96519,77.71932,12.999874,77.67812,0
149,22511,12,,2,433,1384,,,1/8/13 5:02,,0,0,1/8/13 4:29,12.91226,77.59773,13.02853,77.54625,0
150,22515,12,,2,1010,58,,,1/8/13 8:38,,0,0,1/8/13 8:13,12.96691,77.74935,12.88963,77.60119,0
151,22520,12,,2,768,393,,,1/9/13 9:07,,1,0,1/8/13 11:08,12.98999,77.55332,13.19956,77.70688,0
152,22521,28,,2,1061,393,,,1/8/13 16:48,,0,0,1/8/13 12:59,12.924878,77.566255,13.19956,77.70688,0
153,13265,12,,2,1281,186,,,1/9/13 5:31,,0,0,1/8/13 15:04,12.934634,77.611283,12.80257,77.70453,0
154,21186,12,1,3,83,,,,1/8/13 16:33,,0,0,1/8/13 15:53,12.92415,77.67229,,,0
155,2374,65,2,3,1294,,,,1/10/13 9:07,,0,0,1/8/13 16:59,12.964653,77.599573,,,0
156,20916,12,,2,253,793,,,1/8/13 17:45,,0,0,1/8/13 17:11,12.97635,77.61468,13.02239,77.59492,0
157,20501,12,,2,1165,1175,,,1/8/13 18:00,,0,0,1/8/13 17:27,12.990947,77.687112,12.959979,77.647998,0
158,22534,12,,2,1034,463,,,1/12/13 1:26,,0,0,1/8/13 19:13,13.047926,77.597766,12.96037,77.58132,0
159,21479,85,,2,393,308,,,1/10/13 0:43,,0,0,1/8/13 19:20,13.19956,77.70688,12.99049,77.69798,0
160,22536,12,,2,1122,1021,,,1/8/13 22:04,,0,0,1/8/13 19:25,13.02622,77.70143,13.02853,77.54625,0
161,18310,12,,2,1077,197,,,1/8/13 21:36,,0,0,1/8/13 19:27,12.990236,77.586393,12.9119,77.54682,0
162,22537,12,2,3,846,,,,1/9/13 9:07,1/9/13 0:00,1,0,1/8/13 19:41,12.98635,77.58203,,,0
163,22270,12,1,3,601,,,,1/9/13 8:38,,0,0,1/8/13 20:31,13.02434,77.56593,,,0
164,22543,12,,2,112,393,,,1/9/13 8:24,,1,0,1/8/13 21:06,12.93331,77.56666,13.19956,77.70688,0
165,868,12,,2,1375,393,,,1/9/13 6:00,,0,0,1/8/13 21:18,12.94371,77.600549,13.19956,77.70688,0
166,20774,12,,2,150,393,,,1/9/13 6:14,,0,0,1/8/13 21:30,12.89724,77.61065,13.19956,77.70688,0
167,868,12,,2,219,1154,,,1/9/13 6:57,,0,0,1/8/13 21:42,12.97029,77.56597,12.87153,77.60206,0
168,22551,12,1,3,1169,,,,1/9/13 8:24,,0,0,1/9/13 7:32,13.018523,77.644366,,,0
169,4734,85,,2,1147,393,,,1/9/13 12:00,,0,0,1/9/13 7:53,13.03064,77.6491,13.19956,77.70688,0
170,22552,12,1,3,1083,,,,1/9/13 10:48,,0,0,1/9/13 8:59,12.900648,77.589183,,,0
171,22557,24,,2,149,1096,,,1/9/13 11:31,,0,0,1/9/13 9:53,12.93022,77.56039,12.96519,77.71932,0
172,20994,12,,2,1021,358,,,1/9/13 16:33,,0,0,1/9/13 11:12,13.02853,77.54625,13.13785,77.47725,0
173,13164,12,1,3,450,,,,1/9/13 13:12,,0,0,1/9/13 12:13,12.9334,77.62652,,,0
174,22562,12,,2,1232,393,,,1/10/13 4:33,1/11/13 0:00,1,0,1/9/13 12:16,12.88019,77.64558,13.19956,77.70688,0
175,22568,12,,2,1192,393,,,1/10/13 5:31,,0,0,1/9/13 14:13,12.97677,77.5727,13.19956,77.70688,0
176,22559,12,,2,789,677,,,1/9/13 15:36,,0,0,1/9/13 14:59,12.9634,77.60343,13.05845,77.64075,1
177,22502,12,,2,1068,1244,,,1/9/13 19:55,,1,0,1/9/13 18:20,13.044009,77.606805,12.96462,77.68779,0
178,22594,85,,2,1192,571,,,1/10/13 7:26,,0,0,1/9/13 20:06,12.97677,77.5727,12.95185,77.69642,0
179,12849,12,2,3,330,,,,1/10/13 6:43,,0,0,1/9/13 20:19,12.858833,77.589127,,,0
180,19767,12,,2,1230,149,,,1/9/13 21:36,,0,0,1/9/13 20:33,13.02239,77.59492,12.93022,77.56039,0
181,22597,12,,2,1330,393,,,1/11/13 4:48,,0,0,1/9/13 20:49,12.953434,77.70651,13.19956,77.70688,0
182,22601,12,,2,168,1388,,,1/10/13 19:12,,1,0,1/9/13 22:15,12.99313,77.59828,12.919722,77.592806,0
183,22603,28,,2,271,585,,,1/11/13 5:02,,1,0,1/9/13 22:52,12.95641,77.64076,12.97677,77.5727,0
184,17664,12,,2,767,1234,,,1/10/13 11:31,,1,0,1/9/13 22:57,12.9122,77.51043,12.98635,77.58203,0
185,22481,12,,2,529,83,,,1/10/13 8:24,,0,0,1/9/13 23:31,12.93615,77.61322,12.92415,77.67229,0
186,22606,28,,2,393,625,,,1/10/13 18:57,,1,0,1/9/13 23:36,13.19956,77.70688,12.95431,77.6553,0
187,20415,12,2,3,572,,,,1/10/13 9:07,,0,0,1/10/13 1:00,12.91873,77.61494,,,0
188,22611,85,,2,1010,832,,,1/10/13 5:02,,0,0,1/10/13 4:40,12.96691,77.74935,12.88019,77.64558,0
189,22619,12,2,3,784,,,,1/10/13 10:33,,0,0,1/10/13 9:32,12.96634,77.60709,,,0
190,3355,12,,2,293,448,,,1/10/13 14:24,,0,0,1/10/13 14:13,12.849482,77.663187,12.92732,77.63575,0
191,22569,85,,2,1354,393,,,1/10/13 15:50,,0,0,1/10/13 14:33,12.900166,77.630421,13.19956,77.70688,0
192,22637,85,,2,393,949,,,1/26/13 23:02,,0,0,1/10/13 15:05,13.19956,77.70688,12.98275,77.61582,0
193,22638,12,,2,89,393,,,1/12/13 6:00,,0,0,1/10/13 15:25,12.96519,77.71932,13.19956,77.70688,0
194,22640,85,,2,393,1314,,,1/11/13 17:45,,1,0,1/10/13 15:41,13.19956,77.70688,12.973553,77.62179,0
195,22646,28,,2,571,451,,,1/10/13 18:14,,1,0,1/10/13 16:48,12.95185,77.69642,12.9739,77.57914,1
196,22645,24,,2,1390,393,,,1/10/13 18:14,,0,0,1/10/13 16:50,12.969368,77.641302,13.19956,77.70688,0
197,22648,12,,2,201,393,,,1/11/13 18:00,,0,0,1/10/13 18:12,13.03779,77.59884,13.19956,77.70688,0
198,8769,65,,2,571,393,,,1/11/13 23:02,,1,0,1/10/13 18:55,12.95185,77.69642,13.19956,77.70688,0
199,21039,12,,2,24,849,,,1/10/13 21:36,,0,0,1/10/13 19:05,13.03289,77.59194,12.95434,77.60072,0
200,8769,65,,2,571,393,,,1/11/13 22:04,,1,0,1/10/13 19:10,12.95185,77.69642,13.19956,77.70688,0
201,22652,12,,2,1286,393,,,1/11/13 8:24,,0,0,1/10/13 19:13,12.973448,77.62032,13.19956,77.70688,0
202,16504,12,,2,571,585,,,1/10/13 23:45,,1,0,1/10/13 22:13,12.95185,77.69642,12.97677,77.5727,0
203,19390,12,,1,1323,,15,131,1/12/13 6:00,1/13/13 0:00,0,0,1/10/13 22:24,12.869805,77.653211,,,0
204,22671,12,,2,463,393,,,1/11/13 5:02,,0,0,1/10/13 22:30,12.96037,77.58132,13.19956,77.70688,0
205,22681,12,,2,104,271,,,1/11/13 8:24,,0,0,1/11/13 7:33,12.93652,77.54481,12.95641,77.64076,0
206,864,12,2,3,1084,,,,1/11/13 11:02,,0,0,1/11/13 8:11,12.892657,77.581866,,,0
207,22682,12,,2,293,393,,,1/11/13 10:04,,1,0,1/11/13 8:24,12.849482,77.663187,13.19956,77.70688,0
208,21858,12,,2,1181,1038,,,1/11/13 10:04,,0,0,1/11/13 8:35,12.97896,77.67345,12.981266,77.637162,0
209,314,12,1,3,117,,,,1/11/13 11:02,,0,0,1/11/13 8:39,12.86966,77.62737,,,0
210,22492,28,,2,95,393,,,1/11/13 18:28,,1,0,1/11/13 9:33,13.05707,77.50716,13.19956,77.70688,0
211,15094,28,1,3,601,,,,1/11/13 12:57,1/11/13 0:00,1,0,1/11/13 9:38,13.02434,77.56593,,,0
212,17888,12,,2,849,393,,,1/11/13 19:40,,1,0,1/11/13 9:59,12.95434,77.60072,13.19956,77.70688,0
213,21558,28,2,3,540,,,,1/11/13 12:00,1/11/13 0:00,1,0,1/11/13 10:21,12.92768,77.62664,,,0
214,8272,12,,2,1192,51,,,1/11/13 22:04,,0,0,1/11/13 10:24,12.97677,77.5727,12.96158,77.61425,0
215,13606,12,,2,1237,1384,,,1/11/13 19:40,1/12/13 0:00,1,0,1/11/13 11:02,12.92645,77.61206,13.02853,77.54625,0
216,74,12,,2,492,667,,,1/11/13 18:00,,0,0,1/11/13 11:38,12.851218,77.521664,12.97165,77.51316,0
217,22691,28,,2,243,484,,,1/11/13 23:02,,0,0,1/11/13 11:53,13.24373,77.70915,12.90013,77.48279,0
218,22695,12,,2,450,393,,,1/12/13 6:00,,0,0,1/11/13 13:02,12.9334,77.62652,13.19956,77.70688,0
